name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,dispossessed,interceptionWon,fouls,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,totalTackle,wasFouled,accurateCross,totalOffside,keyPass,challengeLost,shotOffTarget,bigChanceCreated,blockedScoringAttempt,captain,team,teamType,punches,outfielderBlock,hitWoodwork
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,False,41.0,25.0,14.0,3.0,0.0,8.0,,,90.0,53.0,6.8,16.0,"{'original': 6.8, 'alternative': None}",1.0,6.0,2.0,6.0,,,1.0,,,,,,,,,,,,2.0,,,,Deportivo Pereira,away,,1.0,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,43.0,29.0,11.0,4.0,0.0,4.0,,,90.0,51.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,5.0,1.0,6.0,,,1.0,,,,,,1.0,,,,1.0,,2.0,,,,Deportivo Pereira,away,,,1.0
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,40.0,33.0,6.0,3.0,0.0,,,,90.0,61.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,4.0,,,1.0,4.0,,,,,3.0,1.0,,,1.0,,,,,,Deportivo Pereira,away,,,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,21.0,13.0,2.0,1.0,0.0,1.0,,,90.0,42.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,7.0,2.0,,2.0,2.0,8.0,3.0,,1.0,1.0,,1.0,3.0,,3.0,1.0,1.0,,,,Deportivo Pereira,away,,,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,34.0,31.0,6.0,4.0,0.0,1.0,,,90.0,46.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,4.0,,1.0,1.0,,,,1.0,,3.0,1.0,,,,,,,,,Deportivo Pereira,away,,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,43.0,37.0,5.0,4.0,0.0,2.0,,,90.0,55.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",3.0,,7.0,4.0,,,2.0,1.0,1.0,,,,1.0,3.0,,,1.0,1.0,,,,,Deportivo Pereira,away,,,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,False,13.0,11.0,1.0,1.0,0.0,1.0,,,45.0,24.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,5.0,2.0,,,2.0,3.0,1.0,,,,1.0,,2.0,,2.0,,2.0,,,,Deportivo Pereira,away,,,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,709,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,30.0,16.0,2.0,,1.0,,,,90.0,44.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",2.0,,2.0,5.0,,,,2.0,1.0,1.0,,,1.0,3.0,1.0,,2.0,,1.0,1.0,,True,Deportivo Pereira,away,,,
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,97,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,False,10.0,8.0,1.0,1.0,0.0,1.0,,,77.0,19.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,4.0,2.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,Deportivo Pereira,away,,,
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",,Eduar Arízalas,,17,True,8.0,4.0,1.0,,0.0,,,,45.0,19.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,3.0,3.0,,,1.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,,,,,,,Deportivo Pereira,away,,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,,,,,0.0,,,,13.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",3.0,,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,Deportivo Pereira,away,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Alejandro Álvarez,alejandro-alvarez,A. Álvarez,F,30,175.0,10,1643442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083542400.0,,,Alejandro Álvarez,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Santiago Mosquera,santiago-mosquera,S. Mosquera,,37,,2,2038190,{},EUR,,,,Santiago Mosquera,,37,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Nicolas Rengifo,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,,Nicolas Rengifo,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
