name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,fouls,totalCross,accurateCross,wasFouled,keyPass,dispossessed,shotOffTarget,onTargetScoringAttempt,challengeLost,blockedScoringAttempt,bigChanceMissed,hitWoodwork,totalOffside,bigChanceCreated,captain,team,teamType,ownGoals,goals
Joyce Ossa,Joyce Ossa,,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",,23,False,20.0,18.0,2.0,1.0,0.0,,,,90.0,29.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,4.0,1.0,,,,1.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,Deportivo Pasto,away,,
Andrés Alarcón,Andrés Alarcón,,andres-alarcon,A. Alarcón,D,24,192.0,45,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,,24,False,18.0,13.0,5.0,3.0,0.0,,,,90.0,24.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,1.0,,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Luis Caicedo,,,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,4,False,22.0,14.0,11.0,4.0,0.0,,,,90.0,30.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,,2.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,Deportivo Pasto,away,,
Mauricio Castaño,Mauricio Castaño,,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",,20,False,14.0,10.0,,,0.0,,,,65.0,30.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,1.0,3.0,3.0,,,3.0,1.0,1.0,2.0,2.0,1.0,,,,,2.0,,1.0,,,,,,,Deportivo Pasto,away,,
Gustavo Torres,,,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,9,False,15.0,12.0,1.0,,0.0,,,,71.0,25.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",3.0,3.0,6.0,6.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,Deportivo Pasto,away,,
Johan Caicedo,Johan Caicedo,,johan-caicedo,J. Caicedo,M,6,,52,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",,6,False,26.0,21.0,2.0,1.0,0.0,,,,90.0,41.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,7.0,5.0,,,4.0,,2.0,3.0,5.0,3.0,1.0,1.0,,,,1.0,,,,,,,,Deportivo Pasto,away,,
Felipe Jaramillo,,,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,17,False,31.0,25.0,2.0,,1.0,,,,90.0,46.0,7.0,7.0,"{'original': 7, 'alternative': None}",3.0,2.0,6.0,6.0,1.0,,4.0,1.0,2.0,3.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,Deportivo Pasto,away,,
Facundo Boné,,,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,77,False,10.0,5.0,1.0,1.0,0.0,,,,70.0,27.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,4.0,5.0,3.0,2.0,3.0,,,,,3.0,1.0,2.0,,2.0,,,,2.0,,,,,,Deportivo Pasto,away,,
Nicolás Morínigo,,,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,27,False,22.0,14.0,,,0.0,,,,79.0,27.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",7.0,4.0,9.0,5.0,1.0,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,Deportivo Pasto,away,,
Fabian Villa,Fabian Villa,,fabian-villa,F. Villa,F,38,,5,1808388,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600,,,38,True,5.0,2.0,1.0,,0.0,,,,25.0,8.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Gonzalo Ritacco,,,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,10,True,7.0,5.0,,,0.0,,,,20.0,10.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,3.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,Deportivo Pasto,away,,
Yair Arboleda,,,yair-arboleda,Y. Arboleda,F,31,178.0,21,818654,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828835200,"{'value': 160000, 'currency': 'EUR'}",,31,True,3.0,2.0,,,0.0,,,,19.0,5.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Diego Castillo,Diego Castillo,,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",,19,True,2.0,1.0,,,0.0,,,,11.0,7.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,3.0,3.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,Deportivo Pasto,away,,
Kevin Lopez,Kevin Lopez,,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Gustavo Charrupi,,,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Déinner Quiñones,,,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
