name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,duelLost,totalContest,wonContest,shotOffTarget,interceptionWon,fouls,aerialLost,aerialWon,totalTackle,challengeLost,dispossessed,onTargetScoringAttempt,outfielderBlock,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed,hitWoodwork,blockedScoringAttempt
Luis Escorcia,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600.0,"{'value': 260000, 'currency': 'EUR'}",,Luis Escorcia,,39,False,41.0,37.0,2.0,1.0,0.0,4.0,4.0,1.0,,,,,,45.0,47.0,6.9,4.0,,"{'original': 6.9, 'alternative': None}",,,,,,,,,,3.0,,,,,,,,Independiente Medellín,away,,,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,79.0,73.0,10.0,4.0,0.0,2.0,2.0,,,,,,,90.0,88.0,7.3,9.0,1.0,"{'original': 7.3, 'alternative': None}",1.0,,2.0,3.0,2.0,1.0,,1.0,,,,,,,,,,Independiente Medellín,away,1.0,,,
Mender García,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800.0,"{'value': 830000, 'currency': 'EUR'}",,,,8,False,25.0,15.0,2.0,1.0,0.0,3.0,3.0,2.0,,,,,,90.0,35.0,6.7,13.0,,"{'original': 6.7, 'alternative': None}",1.0,,4.0,1.0,,,,1.0,2.0,1.0,,,,,,3.0,,Independiente Medellín,away,,,,
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,,15,False,50.0,41.0,9.0,3.0,0.0,5.0,1.0,1.0,,,,,,75.0,61.0,6.6,13.0,,"{'original': 6.6, 'alternative': None}",,,5.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,True,Independiente Medellín,away,,,,
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400.0,"{'value': 420000, 'currency': 'EUR'}",,,,14,False,38.0,30.0,3.0,,0.0,8.0,1.0,2.0,,,,,,90.0,48.0,7.1,11.0,1.0,"{'original': 7.1, 'alternative': None}",,,8.0,,,,,2.0,5.0,2.0,4.0,,1.0,,,,,Independiente Medellín,away,,,,
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,43.0,35.0,5.0,1.0,0.0,6.0,,3.0,,,,,,90.0,65.0,6.9,18.0,,"{'original': 6.9, 'alternative': None}",7.0,1.0,2.0,,,2.0,2.0,1.0,,2.0,1.0,,1.0,,,1.0,,Independiente Medellín,away,,,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",,,,19,False,13.0,8.0,1.0,,0.0,2.0,,,,,,,,59.0,19.0,6.6,8.0,,"{'original': 6.6, 'alternative': None}",,,3.0,,,,,,1.0,2.0,,,2.0,1.0,,,,Independiente Medellín,away,,,,
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",,,,9,False,33.0,24.0,4.0,1.0,0.0,3.0,1.0,2.0,,,,,,90.0,48.0,6.7,18.0,3.0,"{'original': 6.7, 'alternative': None}",1.0,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,,Independiente Medellín,away,,1.0,1.0,
Diego Moreno,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,,,31,False,23.0,19.0,,,0.0,2.0,,,,,,,,59.0,29.0,7.0,6.0,1.0,"{'original': 7, 'alternative': None}",2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,Independiente Medellín,away,,,,
Homer Martinez,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",,,18,True,34.0,29.0,3.0,2.0,0.0,3.0,,,,,,,,45.0,37.0,6.7,7.0,,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,1.0,2.0,1.0,,,,,1.0,,Independiente Medellín,away,,,,
Marcus Vinicius,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",,Marcus Vinicius,,10,True,18.0,16.0,1.0,1.0,0.0,1.0,,1.0,,,,,,31.0,23.0,6.5,5.0,,"{'original': 6.5, 'alternative': None}",,,5.0,1.0,,,,2.0,,,,,2.0,,,,,Independiente Medellín,away,,,,1.0
Brayan Léon Muñiz,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",,Brayan Léon Muñiz,,27,True,8.0,4.0,,,0.0,4.0,,2.0,,,,,,31.0,14.0,6.7,7.0,,"{'original': 6.7, 'alternative': None}",,,3.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,1.0,,Independiente Medellín,away,,,,
Alexis Serna,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800.0,"{'value': 230000, 'currency': 'EUR'}",,,,80,True,19.0,14.0,3.0,,0.0,5.0,,1.0,,,,,,15.0,21.0,6.7,5.0,,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,,,,3.0,,,,,,,,Independiente Medellín,away,,,,
Eder Chaux,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",,Léider Berrío,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
