name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,fouls,keyPass,interceptionWon,wasFouled,shotOffTarget,totalCross,aerialLost,aerialWon,outfielderBlock,penaltyConceded,accurateCross,onTargetScoringAttempt,totalOffside,dispossessed,blockedScoringAttempt,goals,captain,team,teamType,bigChanceMissed,penaltyWon,bigChanceCreated
Juan Arias,arias-juan,J. Arias,D,23,184.0,72,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,False,29.0,23.0,3.0,0.0,8.0,,,,,90.0,37.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,Atlético Nacional,away,,,
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,315,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,48.0,40.0,15.0,0.0,7.0,,,,,90.0,61.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",7.0,1.0,4.0,1.0,1.0,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,Atlético Nacional,away,,,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,282,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,37.0,32.0,5.0,1.0,1.0,,,,,90.0,48.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",4.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,,,3.0,1.0,,,,2.0,,,,,,,Atlético Nacional,away,,,
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,703,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,,21,False,51.0,45.0,6.0,0.0,2.0,,,,,90.0,63.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",2.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,Atlético Nacional,away,,,
Juan Zapata,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,,,80,False,39.0,36.0,2.0,0.0,,,,,,90.0,45.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",2.0,4.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,2.0,,,,1.0,,1.0,1.0,,,Atlético Nacional,away,1.0,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3106,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,18,False,25.0,21.0,,0.0,1.0,,,,,90.0,40.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",,4.0,5.0,,4.0,2.0,,,3.0,,3.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,Atlético Nacional,away,,,
Billy Arce,billy-arce,B. Arce,M,11,177.0,507,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,,11,False,33.0,31.0,,0.0,,,,,,87.0,43.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,3.0,2.0,,,,1.0,3.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,Atlético Nacional,away,,,
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,False,11.0,7.0,,0.0,,,,,,67.0,24.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,7.0,4.0,1.0,3.0,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,,2.0,,,,Atlético Nacional,away,,,
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2275,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,9,False,26.0,21.0,4.0,0.0,,,,,,67.0,40.0,9.0,11.0,"{'original': 9, 'alternative': None}",2.0,,5.0,,,,,,1.0,,3.0,1.0,,,2.0,,,,3.0,,,,2.0,,Atlético Nacional,away,,1.0,
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,True,33.0,29.0,5.0,0.0,5.0,,,,,75.0,53.0,7.0,8.0,"{'original': 7, 'alternative': None}",4.0,3.0,2.0,,,,1.0,1.0,,3.0,,,,2.0,1.0,,,,1.0,,,,,,Atlético Nacional,away,,,
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,699,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,True,3.0,3.0,,0.0,1.0,,,,,23.0,8.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,Atlético Nacional,away,,,1.0
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,True,10.0,8.0,1.0,0.0,,,,,,23.0,14.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,4.0,,,,,1.0,,,,,,1.0,4.0,,,,,,,,,,Atlético Nacional,away,,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,Kilian Toscano,,5,True,1.0,1.0,,0.0,,,,,,9.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,134,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
