name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,keyPass,shotOffTarget,outfielderBlock,penaltyConceded,fouls,onTargetScoringAttempt,interceptionWon,totalTackle,accurateCross,goals,wasFouled,blockedScoringAttempt,totalOffside,captain,team,teamType,bigChanceCreated,bigChanceMissed,penaltyMiss
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",,30,False,24.0,18.0,2.0,,0.0,1.0,2.0,,,,76.0,33.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,3.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,Fortaleza CEIF,away,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",,27,False,26.0,18.0,2.0,,0.0,,3.0,,,,90.0,43.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,3.0,2.0,,,,,1.0,,,,2.0,1.0,,2.0,1.0,,,,,,Fortaleza CEIF,away,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,25,False,29.0,26.0,2.0,1.0,0.0,1.0,3.0,,,,73.0,40.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",3.0,,4.0,,1.0,,,,4.0,,,,1.0,1.0,,2.0,2.0,,2.0,1.0,,,Fortaleza CEIF,away,,1.0,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,14,False,35.0,29.0,1.0,1.0,0.0,,2.0,,,,90.0,46.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,3.0,1.0,,,Fortaleza CEIF,away,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,10,False,30.0,25.0,4.0,1.0,0.0,,3.0,,,,73.0,42.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,1.0,4.0,1.0,,2.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,Fortaleza CEIF,away,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",,9,False,13.0,9.0,,,0.0,1.0,3.0,,,,85.0,26.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,2.0,4.0,,1.0,1.0,,1.0,1.0,3.0,,,,1.0,1.0,,,,2.0,2.0,,,Fortaleza CEIF,away,,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",,19,False,20.0,19.0,2.0,2.0,0.0,4.0,4.0,,,,76.0,26.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,Fortaleza CEIF,away,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",,8,True,15.0,11.0,2.0,2.0,0.0,,,,,,17.0,20.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,1.0,,,,Fortaleza CEIF,away,,,
Juan Pablo Díaz,,,juan-pablo-diaz,J. P. Díaz,M,20,,9,1019417,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,946684800.0,"{'value': 155000, 'currency': 'EUR'}",,20,True,9.0,8.0,1.0,,0.0,2.0,4.0,,,,17.0,13.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,Fortaleza CEIF,away,,,
Enmanuel Arrechea,Enmanuel Arrechea,,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,,17,True,4.0,4.0,,,0.0,,1.0,,,,14.0,6.0,6.7,,"{'original': 6.7, 'alternative': None}",,,2.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,Fortaleza CEIF,away,,,
Carlos Gonzalez,Carlos Gonzalez,,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,,29,True,4.0,3.0,2.0,1.0,0.0,1.0,1.0,,,,14.0,9.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,Fortaleza CEIF,away,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,22,True,2.0,2.0,,,0.0,,,,,,17.0,3.0,6.1,,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,,,,,Fortaleza CEIF,away,,1.0,1.0
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
Manuel Lasso,Manuel Lasso,,manuel-lasso,M. Lasso,D,2,188.0,4,2038232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1131062400.0,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
