name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,interceptionWon,totalTackle,fouls,keyPass,outfielderBlock,totalOffside,blockedScoringAttempt,challengeLost,wonContest,wasFouled,shotOffTarget,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,hitWoodwork
Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",Jan Ángulo,,,20,False,45.0,34.0,18.0,10.0,0.0,1.0,3.0,5.0,,,,,90.0,59.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,,,1.0,1.0,,,,,1.0,,,,,2.0,,,,,,Llaneros FC,away,
Juan José Vásquez,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000.0,,Juan José Vásquez,,,99,False,19.0,13.0,5.0,4.0,0.0,1.0,1.0,2.0,,,,,71.0,32.0,6.2,10.0,"{'original': 6.2, 'alternative': None}",,,2.0,7.0,1.0,,,2.0,,,,,2.0,,,,,,,,Llaneros FC,away,
Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",Duván Mosquera,,,27,False,49.0,42.0,6.0,4.0,0.0,,5.0,1.0,,,,,90.0,64.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",1.0,,,3.0,1.0,,3.0,2.0,1.0,,1.0,,,,2.0,1.0,,,,,Llaneros FC,away,
Dannovi Quiñonez,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800.0,"{'value': 210000, 'currency': 'EUR'}",,,,45,False,18.0,14.0,6.0,2.0,0.0,1.0,2.0,1.0,,,,,56.0,21.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,,,,,,,1.0,,,,,,Llaneros FC,away,
Carlos Sierra,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,,,14,False,21.0,18.0,1.0,,0.0,,6.0,3.0,,,,,71.0,35.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,,1.0,1.0,,5.0,,,1.0,,,,,1.0,,,1.0,,,Llaneros FC,away,
Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",Freddy Espinal,,,11,False,23.0,19.0,1.0,,0.0,,3.0,,,,,,90.0,37.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",5.0,2.0,,3.0,1.0,,,,3.0,,,1.0,1.0,,3.0,,1.0,,,,Llaneros FC,away,
Michael Rangel,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,,,9,False,18.0,15.0,4.0,4.0,0.0,4.0,6.0,,,,,,84.0,31.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",1.0,,3.0,6.0,1.0,,1.0,,1.0,,,,,1.0,,,3.0,3.0,,,Llaneros FC,away,
Bryan Urueña,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,,,10,False,59.0,49.0,4.0,,0.0,1.0,4.0,,,,,,84.0,75.0,6.8,20.0,"{'original': 6.8, 'alternative': None}",4.0,,1.0,6.0,4.0,,,1.0,,,,,,2.0,1.0,1.0,2.0,,,True,Llaneros FC,away,1.0
Eyder Restrepo,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,,,5,True,35.0,33.0,1.0,1.0,0.0,,1.0,,,,,,34.0,38.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,1.0,,,,,,,,,,,,,,Llaneros FC,away,
Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",Kener Valencia,,,70,True,9.0,8.0,,,0.0,,,,,,,,19.0,13.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,Llaneros FC,away,
Harold Reina,harold-reina,H. Reina,F,17,177.0,20,312306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,648259200.0,"{'value': 52000, 'currency': 'EUR'}",,,,17,True,12.0,9.0,,,0.0,1.0,3.0,,,,,,19.0,16.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,,1.0,1.0,,,,,,,,,,2.0,,,1.0,,,Llaneros FC,away,
Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000.0,,Brandon Churi,,,19,True,1.0,1.0,,,0.0,,,,,,,,11.0,3.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,1.0,,,,,Llaneros FC,away,
Maicol Medina,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,,,18,True,5.0,4.0,,,0.0,,,1.0,,,,,11.0,8.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,1.0,,,,1.0,,,,,,,,,,,Llaneros FC,away,
Humberto Acevedo,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600.0,"{'value': 53000, 'currency': 'EUR'}",,,,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,
Óscar Vega,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Oscar Vega,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,
