name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,wasFouled,fouls,onTargetScoringAttempt,goals,aerialLost,dispossessed,shotOffTarget,totalTackle,keyPass,accurateCross,blockedScoringAttempt,bigChanceCreated,bigChanceMissed,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Gonzalo Ritacco,,,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,10,False,13.0,11.0,,,0.0,,45.0,20.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,,3.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,Deportivo Pasto,away,,
Diego Castillo,Diego Castillo,,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",,19,False,11.0,8.0,1.0,,0.0,1.0,71.0,22.0,6.1,7.0,"{'original': 6.1, 'alternative': None}",,1.0,6.0,3.0,,,,,1.0,2.0,,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,Deportivo Pasto,away,,
Facundo Boné,,,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,77,False,12.0,9.0,2.0,1.0,0.0,,86.0,18.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,5.0,3.0,1.0,1.0,,,2.0,2.0,,,2.0,,,,,,,,,1.0,,Deportivo Pasto,away,,
Felipe Jaramillo,,,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,17,True,20.0,15.0,3.0,2.0,0.0,,33.0,24.0,6.1,5.0,"{'original': 6.1, 'alternative': None}",,1.0,3.0,3.0,,,,1.0,2.0,2.0,,,,,,,1.0,,,,,1.0,,Deportivo Pasto,away,,
Nicolás Morínigo,,,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,27,True,,,,,0.0,,19.0,,6.2,,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,,,,,,,,,,Deportivo Pasto,away,,
Ray Vanegas,,,ray-vanegas,R. Vanegas,F,11,176.0,27,355864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,731894400,"{'value': 48000, 'currency': 'EUR'}",,11,True,,,,,0.0,,10.0,3.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Felipe Ordonez,,,ordonez-felipe,F. Ordonez,M,18,168.0,29,1158789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1075680000,"{'value': 48000, 'currency': 'EUR'}",,18,True,1.0,1.0,,,0.0,,9.0,3.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Kevin Lopez,Kevin Lopez,,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Luis Caicedo,,,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Kevin Rendón,,,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200,"{'value': 49000, 'currency': 'EUR'}",,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
