name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,fouls,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,totalCross,accurateCross,onTargetScoringAttempt,interceptionWon,challengeLost,totalContest,aerialLost,dispossessed,shotOffTarget,wonContest,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,bigChanceCreated,goals
Victor Moreno,,,victor-moreno,V. Moreno,D,3,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400.0,"{'value': 540000, 'currency': 'EUR'}",180.0,3,False,36.0,35.0,5.0,4.0,0.0,7.0,6.0,4.0,,,,,90.0,49.0,7.6,2.0,"{'original': 7.6, 'alternative': None}",3.0,1.0,,3.0,,1.0,1.0,,,,2.0,,,,1.0,,,,Independiente Santa Fe,away,,,,
Christian Mafla,,,christian-mafla,C. Mafla,D,32,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000.0,"{'value': 240000, 'currency': 'EUR'}",175.0,32,False,28.0,23.0,4.0,2.0,0.0,2.0,2.0,,1.0,,,,90.0,46.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",4.0,3.0,1.0,1.0,,2.0,2.0,,,1.0,,,1.0,,,,,,Independiente Santa Fe,away,,,,
Yeicar Perlaza,Yaicar Perlaza,,yeicar-perlaza,Y. Perlaza,D,27,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400.0,,180.0,27,False,10.0,8.0,,,0.0,4.0,,1.0,2.0,,,,45.0,20.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,,,,2.0,,,,,2.0,,2.0,,1.0,1.0,,Independiente Santa Fe,away,,,,
Yilmar Velázquez,,,yilmar-velazquez,Y. Velázquez,M,20,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600.0,"{'value': 930000, 'currency': 'EUR'}",185.0,20,False,59.0,49.0,12.0,6.0,0.0,3.0,1.0,2.0,,,,,67.0,73.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,
Johan Torres,Johan Torres,,johan-torres,J. Torres,M,14,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200.0,"{'value': 1100000, 'currency': 'EUR'}",178.0,14,False,51.0,46.0,5.0,3.0,0.0,2.0,1.0,1.0,,,,,67.0,61.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",3.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,Independiente Santa Fe,away,,,,
Omar Fernández,,,omar-fernandez,O. Fernández,M,8,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800.0,"{'value': 945000, 'currency': 'EUR'}",166.0,8,False,35.0,28.0,5.0,2.0,1.0,3.0,,1.0,2.0,,,,89.0,48.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",1.0,,3.0,,1.0,,7.0,1.0,,,,,,1.0,,,,,Independiente Santa Fe,away,,,1.0,
Ángelo Rodríguez,,,angelo-rodriguez,Á. Rodríguez,F,9,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",182.0,9,False,10.0,7.0,,,0.0,,,,,,,,84.0,17.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",5.0,2.0,2.0,,,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,Independiente Santa Fe,away,,,,
Hugo Rodallega,,,hugo-rodallega,H. Rodallega,F,11,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",181.0,11,False,25.0,19.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,,,,90.0,44.0,7.0,12.0,"{'original': 7, 'alternative': None}",3.0,,1.0,,3.0,1.0,1.0,1.0,,,,,1.0,2.0,2.0,,,True,Independiente Santa Fe,away,,,,
Omar Albornoz,,,omar-albornoz,O. Albornoz,M,80,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400.0,"{'value': 515000, 'currency': 'EUR'}",173.0,80,True,18.0,12.0,2.0,,0.0,2.0,,,2.0,,,,45.0,31.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",2.0,,1.0,,1.0,,1.0,,1.0,1.0,,2.0,,,1.0,,,,Independiente Santa Fe,away,,,,1.0
Daniel Torres,,,daniel-torres,D. Torres,M,16,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200.0,"{'value': 260000, 'currency': 'EUR'}",186.0,16,True,7.0,5.0,,,0.0,,1.0,,,,,,23.0,12.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,,,,,,,,1.0,,,,1.0,,,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,
Lucas Ríos,,,lucas-rios,L. Ríos,M,29,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200.0,"{'value': 620000, 'currency': 'EUR'}",176.0,29,True,7.0,5.0,2.0,1.0,0.0,,,,,,,,23.0,10.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,Independiente Santa Fe,away,,,,
Jeison Angulo,,,jeison-angulo,J. Angulo,D,24,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600.0,"{'value': 310000, 'currency': 'EUR'}",182.0,24,True,3.0,2.0,1.0,1.0,0.0,,,,,,,,12.0,9.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",2.0,,,,,,1.0,,,,,,,2.0,,,,,Independiente Santa Fe,away,,,,
Ivan Scarpeta,,,ivan-scarpetta,I. Scarpeta,D,15,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800.0,"{'value': 425000, 'currency': 'EUR'}",180.0,15,True,2.0,1.0,1.0,1.0,0.0,2.0,,,1.0,,,,1.0,5.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,Independiente Santa Fe,away,,,,
Jhoyler Andrades,Jhoyler Andrades,,jhoyler-andrades,J. Andrades,G,35,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000.0,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,
Joseph Zea,Joseph Zea,,joseph-zea,J. Zea,,36,3,2108939,{},EUR,,,,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,
