name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,aerialLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,dispossessed,totalOffside,hitWoodwork,blockedScoringAttempt,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,69,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,29,False,24.0,14.0,9.0,2.0,0.0,,90.0,34.0,6.5,"{'original': 6.5, 'alternative': None}",,,3.0,4.0,4.0,,,4.0,1.0,,3.0,11.0,,1.0,,,1.0,1.0,,,,,,,,Envigado FC,away,,
Brayan Murillo,Brayan Murillo,,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,36,False,19.0,13.0,1.0,,0.0,,90.0,43.0,6.5,"{'original': 6.5, 'alternative': None}",,,1.0,6.0,4.0,,,2.0,1.0,,2.0,17.0,1.0,1.0,4.0,2.0,1.0,,,1.0,,,,,,Envigado FC,away,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",,6,False,25.0,15.0,4.0,,0.0,,90.0,32.0,6.3,"{'original': 6.3, 'alternative': None}",,,1.0,2.0,2.0,,,2.0,,1.0,1.0,13.0,,,,,,,1.0,1.0,,,,,,Envigado FC,away,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,21,False,32.0,21.0,7.0,4.0,0.0,,88.0,44.0,6.4,"{'original': 6.4, 'alternative': None}",,,1.0,6.0,2.0,1.0,,5.0,1.0,,2.0,14.0,,1.0,,,1.0,,1.0,2.0,,,,,,Envigado FC,away,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,,15,False,7.0,6.0,,,0.0,,72.0,22.0,6.7,"{'original': 6.7, 'alternative': None}",,,,2.0,4.0,,,1.0,1.0,3.0,1.0,4.0,,1.0,,,1.0,,2.0,,,,1.0,,,Envigado FC,away,,
Dorlan Pabón,,,dorlan-pabon,D. Pabón,M,8,168.0,354,186847,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,569980800.0,"{'value': 55000, 'currency': 'EUR'}",,8,False,15.0,13.0,2.0,1.0,0.0,,78.0,24.0,7.1,"{'original': 7.1, 'alternative': None}",3.0,,,,1.0,,2.0,,,1.0,1.0,6.0,2.0,,,,1.0,,,,,,1.0,,True,Envigado FC,away,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,,26,False,22.0,19.0,1.0,,0.0,,90.0,35.0,6.8,"{'original': 6.8, 'alternative': None}",1.0,,,6.0,4.0,,,,,2.0,,10.0,1.0,1.0,5.0,2.0,2.0,,,2.0,,1.0,,,,Envigado FC,away,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,147,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,8.0,7.0,,,0.0,,72.0,16.0,6.6,"{'original': 6.6, 'alternative': None}",,,1.0,6.0,2.0,,,,,,1.0,5.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,,,Envigado FC,away,,
William Hurtado,William Hurtado,,william-hurtado,W. Hurtado,M,18,182.0,38,1146865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085961600.0,,,18,True,10.0,7.0,1.0,,0.0,,18.0,13.0,6.6,"{'original': 6.6, 'alternative': None}",,,,1.0,1.0,,,,,1.0,,4.0,,1.0,,,,,,,,,,,,Envigado FC,away,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,192,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,,19,True,2.0,1.0,,,0.0,,18.0,3.0,6.5,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,Envigado FC,away,,
Tomás Soto,Tomás Soto,,tomas-soto,T. Soto,M,13,,6,1388637,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1097539200.0,,,13,True,4.0,2.0,,,0.0,,12.0,5.0,6.6,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,Envigado FC,away,,
Frey Berrio,Frey Berrio,,frey-berrio,F. Berrio,,19,,4,2038790,{},EUR,,,,31,True,4.0,2.0,,,0.0,,8.0,5.0,6.5,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,Envigado FC,away,,
Jorman Mendoza,,,jorman-mendoza,J. Mendoza,G,1,185.0,38,1840467,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1200268800.0,,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Andrés Vargas,Andrés Vargas,,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
