name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,fouls,bigChanceMissed,shotOffTarget,totalClearance,aerialLost,onTargetScoringAttempt,challengeLost,blockedScoringAttempt,wasFouled,bigChanceCreated,goals,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock,penaltyConceded
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",,José Cuenú,,4,False,24.0,20.0,5.0,3.0,0.0,,,,90.0,37.0,6.8,5.0,,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,1.0,,,,,,1.0,,,6.0,1.0,,,,,,,,,Junior Barranquilla,away,,,3.0,
Howell Mena,howell-mena,H. Mena,D,2,185.0,37,1174858,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987638400,"{'value': 490000, 'currency': 'EUR'}",,Howell Mena,,2,False,20.0,14.0,8.0,4.0,0.0,,,,90.0,29.0,6.8,7.0,,"{'original': 6.8, 'alternative': None}",,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,Junior Barranquilla,away,,,4.0,
Carlos Cantillo,carlos-cantillo,C. Cantillo,M,19,176.0,48,1174862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045785600,"{'value': 140000, 'currency': 'EUR'}",,Carlos Cantillo,,19,False,26.0,21.0,5.0,2.0,0.0,,,,90.0,42.0,6.1,9.0,,"{'original': 6.1, 'alternative': None}",3.0,,,1.0,,,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,Junior Barranquilla,away,,,,1.0
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,36.0,31.0,5.0,3.0,0.0,,,,90.0,51.0,7.6,7.0,,"{'original': 7.6, 'alternative': None}",,,1.0,1.0,4.0,,,,1.0,3.0,,,1.0,4.0,1.0,1.0,,,,,1.0,,,Junior Barranquilla,away,,,,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,,,16,False,25.0,24.0,,,0.0,,,,90.0,41.0,6.5,7.0,,"{'original': 6.5, 'alternative': None}",,,,4.0,2.0,1.0,3.0,1.0,,,,,,3.0,1.0,,,,1.0,,,,,Junior Barranquilla,away,,,2.0,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,19.0,16.0,3.0,2.0,0.0,,,,80.0,34.0,6.6,9.0,,"{'original': 6.6, 'alternative': None}",1.0,,,3.0,5.0,,1.0,,,,,,1.0,,1.0,,1.0,,5.0,,,,,Junior Barranquilla,away,,,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,False,13.0,9.0,1.0,,0.0,,,,74.0,24.0,6.4,12.0,,"{'original': 6.4, 'alternative': None}",,,,3.0,3.0,,,,,,2.0,,,,1.0,,,,3.0,,,,True,Junior Barranquilla,away,,,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,False,13.0,11.0,2.0,,0.0,,,,74.0,25.0,6.6,9.0,2.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,,2.0,2.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,Junior Barranquilla,away,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,False,9.0,7.0,1.0,,0.0,,,,80.0,18.0,6.6,6.0,,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,2.0,,,,,2.0,,,1.0,2.0,1.0,,,,,,,1.0,,Junior Barranquilla,away,,,,
Jesús Díaz,jesus-diaz,J. Díaz,M,90,173.0,128,1174856,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084492800,"{'value': 110000, 'currency': 'EUR'}",,Jesús Díaz,,90,True,4.0,3.0,1.0,1.0,0.0,,,,16.0,7.0,6.4,2.0,,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,,,,,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,
Leider Berdugo,leider-berdugo,L. Berdugo,M,33,176.0,47,1106565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1014076800,"{'value': 385000, 'currency': 'EUR'}",,Leider Berdugo,,33,True,13.0,13.0,2.0,2.0,0.0,,,,16.0,15.0,6.6,,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,1.0,,,,,,,,,Junior Barranquilla,away,,,1.0,
Miller Bacca,miller-bacca,M. Bacca,F,22,,50,1461241,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1067126400,"{'value': 180000, 'currency': 'EUR'}",,,,22,True,4.0,3.0,,,0.0,,,,10.0,5.0,6.4,2.0,,"{'original': 6.4, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Joel Canchimbo,joel-morales,J. Canchimbo,F,21,177.0,67,1562435,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123804800,"{'value': 155000, 'currency': 'EUR'}",,Joel Morales,,21,True,3.0,3.0,,,0.0,,,,10.0,6.0,6.4,3.0,,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Miguel Agámez Cabarcas,miguel-agamez-cabarcas,M. A. Cabarcas,M,24,,92,1899906,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1242345600,,,Miguel,Agámez Cabarcas,24,True,2.0,,1.0,,0.0,,,,10.0,3.0,6.3,2.0,,"{'original': 6.3, 'alternative': None}",,,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,
Jaime Acosta,acosta-jaime,J. Acosta,G,12,191.0,24,1160556,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006732800,"{'value': 49000, 'currency': 'EUR'}",,Jaime Acosta,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
José Caicedo,jose-caicedo,J. Caicedo,D,35,188.0,3,2030748,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,977875200,,,José Caicedo,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
