name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,fouls,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,accurateCross,dispossessed,bigChanceCreated,keyPass,challengeLost,interceptionWon,onTargetScoringAttempt,goals,totalOffside,hitWoodwork,captain,team,teamType,punches,bigChanceMissed
Juan Castaño,,,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,15,False,29.0,20.0,4.0,,0.0,3.0,,,,90.0,49.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,2.0,5.0,,,,,,,4.0,,,,,,1.0,1.0,,,,,,Once Caldas,away,,
Iván Rojas,,,ivan-rojas,I. Rojas,M,5,177,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,5,False,18.0,18.0,2.0,2.0,0.0,,,,,73.0,21.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,1.0,1.0,4.0,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,Once Caldas,away,,
Luis Palacios,,,palacios-luis,L. Palacios,M,24,181,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,24,False,22.0,15.0,2.0,,0.0,1.0,,,,73.0,37.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",4.0,2.0,2.0,2.0,6.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,,,,,,1.0,,,,,Once Caldas,away,,1.0
Alejandro García,,,alejandro-garcia,A. García,M,20,185,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,20,False,45.0,42.0,4.0,4.0,0.0,,,,,90.0,62.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",8.0,1.0,,2.0,,,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,,Once Caldas,away,,
Juan Diaz,,,juan-diaz,J. Diaz,M,6,180,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,6,False,10.0,8.0,,,0.0,,,,,36.0,14.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,,Once Caldas,away,,
Michael Barrios,,,michael-barrios,M. Barrios,M,7,163,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,7,False,9.0,7.0,1.0,1.0,0.0,,,,,45.0,10.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,,3.0,,,,,1.0,,,,,,,,,1.0,,,,,,,Once Caldas,away,,
Dayro Moreno,,,dayro-moreno,D. Moreno,F,17,178,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,17,False,16.0,14.0,2.0,2.0,0.0,,,,,45.0,21.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",1.0,2.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,True,Once Caldas,away,,
Johan Esteban Beltran Montaño,,,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,8,True,36.0,32.0,4.0,2.0,0.0,1.0,,,,54.0,46.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,,,3.0,2.0,,,,,1.0,1.0,,2.0,1.0,3.0,,1.0,,,,,,,,Once Caldas,away,,
Mateo Zuleta,Mateo,Zuleta,mateo-zuleta,M. Zuleta,M,28,170,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,28,True,19.0,15.0,,,0.0,,,,,45.0,28.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,3.0,3.0,1.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,Once Caldas,away,,
Gilbert Álvarez,,,gilbert-alvarez,G. Álvarez,F,9,187,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,5.0,4.0,1.0,1.0,0.0,,,,,45.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Juan García,,,juan-garcia,J. García,M,2,185,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400,"{'value': 155000, 'currency': 'EUR'}",,2,True,8.0,5.0,,,0.0,1.0,,,,17.0,11.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Joel Contreras,,,contreras-joel,J. Contreras,F,16,165,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,16,True,6.0,5.0,,,0.0,,,,,17.0,7.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Felipe Parra,,,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Jerson Malagón,,,jerson-malagon,J. Malagón,D,3,185,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
