name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,fouls,keyPass,bigChanceMissed,shotOffTarget,blockedScoringAttempt,challengeLost,dispossessed,bigChanceCreated,captain,team,teamType,outfielderBlock,penaltyConceded
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400,"{'value': 410000, 'currency': 'EUR'}",,5,False,9.0,3.0,4.0,1.0,0.0,3.0,,,,,,90.0,20.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,2.0,,,8.0,,,1.0,,,,,,,,,Unión Magdalena,away,1.0,
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 97000, 'currency': 'EUR'}",,4,False,15.0,11.0,4.0,2.0,1.0,3.0,1.0,1.0,,,,90.0,31.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,3.0,,,2.0,,1.0,,1.0,,1.0,,1.0,1.0,,,Unión Magdalena,away,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,"{'value': 480000, 'currency': 'EUR'}",,10,False,27.0,19.0,2.0,1.0,0.0,,,,,,,86.0,30.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,Unión Magdalena,away,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 390000, 'currency': 'EUR'}",,24,False,21.0,14.0,7.0,2.0,0.0,3.0,,,1.0,,,84.0,32.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,2.0,,1.0,,1.0,,,,,,,,Unión Magdalena,away,1.0,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200,"{'value': 290000, 'currency': 'EUR'}",,16,False,24.0,16.0,5.0,1.0,0.0,2.0,,,1.0,,,84.0,30.0,6.1,11.0,"{'original': 6.1, 'alternative': None}",2.0,,1.0,,3.0,,,,1.0,1.0,2.0,,,,,,1.0,,True,Unión Magdalena,away,,1.0
Dilan Ortiz,Dilan Ortiz,,dilan-ortiz,D. Ortiz,D,6,,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800,,,6,False,19.0,12.0,5.0,1.0,0.0,1.0,,,,,,90.0,35.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,,,8.0,3.0,1.0,,,,,,,1.0,,,Unión Magdalena,away,2.0,
Eric Krame,,,eric-krame,E. Krame,F,7,,23,1472384,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,921456000,,,15,False,6.0,5.0,,,0.0,,,,,,,67.0,13.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,,,3.0,1.0,1.0,,,,1.0,,,2.0,,,2.0,,,Unión Magdalena,away,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,180.0,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400,"{'value': 190000, 'currency': 'EUR'}",,11,False,15.0,8.0,1.0,,0.0,5.0,,,1.0,,,67.0,22.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,6.0,4.0,8.0,,,,,,2.0,1.0,,,,1.0,,,,Unión Magdalena,away,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200,,,8,True,3.0,1.0,1.0,1.0,0.0,,1.0,,,,,23.0,6.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,,,Unión Magdalena,away,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800,"{'value': 230000, 'currency': 'EUR'}",,17,True,2.0,2.0,,,0.0,,1.0,,,,,23.0,5.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,,3.0,,,,,,1.0,,,,,1.0,,,,Unión Magdalena,away,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800,"{'value': 185000, 'currency': 'EUR'}",,21,True,1.0,,1.0,,0.0,1.0,,,1.0,,,14.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,,,1.0,,,,,,,,,Unión Magdalena,away,,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000,"{'value': 165000, 'currency': 'EUR'}",,28,True,,,,,0.0,,,,,,,14.0,,6.2,,"{'original': 6.2, 'alternative': None}",,,,,1.0,,,,,,1.0,,,,,,,,,Unión Magdalena,away,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400,,,13,True,1.0,,,,0.0,,,,,,,12.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,Unión Magdalena,away,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000,"{'value': 105000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000,,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
