"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","asistencias_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png.x","archivo_png.y","archivo_png"
"C. Graciano","Deportivo Cali","Deportivo Cali","LB",22,0,NA,20,727,0,0.16,0,0.27,15.1,63.93,"Colombia","Colombia","derecho",0,0,"si",10.89,7.68,80.65,2.72,40.91,0,0,0.12,4.7,7.08,0.37,0,0,0,0,1.49,0,0,0,0.02,0,0,4,0.5,50,0,1.49,16.67,0.25,0,1.24,20,0,1.36,63.64,3.59,55.17,0.5,0.74,0.12,25.25,1.36,0.5,37.02,81.94,10.89,71.59,5.94,97.92,13.12,82.08,29.09,90.64,6.69,57.41,21.75,32.4,0.03,0.37,0,0,0.12,100,0.37,5.32,65.12,1.73,42.86,0.12,0,0.5,0.37,6.81,67.27,0,NA,0,NA,0,0,0,0,NA,NA,0.87,NA,0,0,0,0,0,0,"Colombia","CAL","COL_CAL","Defensas",NA,NA,NA
"F. Castillo","Deportivo Cali","Deportivo Cali","LAMF",33,450000,NA,16,726,0,0.35,1,0.65,22.07,42.13,"Colombia","Colombia","derecho",171,70,"no",5.08,5.33,53.49,1.49,16.67,0,0,0,2.23,3.44,1.49,0,0,1,0.12,3.84,0,0,0,0.04,0,0,8,0.99,25,0,1.86,20,1.61,23.08,0.25,0,0.25,4.71,60.53,13.76,40.54,1.61,4.96,0.25,24.92,1.61,1.24,34.21,76.09,11.9,72.92,4.83,92.31,9.67,73.08,30.99,80.8,1.36,45.45,15.38,17.04,0.08,0.99,0,0,0.74,50,0.5,6.2,74,3.97,40.63,0.74,33.33,1.12,0.5,6.57,83.02,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.37,0,0,0.87,0,0,"Colombia","CAL","COL_CAL","Mediocampo_Ofensivo",NA,NA,NA
"Y. Perlaza","Santa Fe","Santa Fe","RW",22,0,NA,16,721,1,0.55,1,1.88,15.23,54.92,"Colombia","Colombia","unknown",180,63,"si",4.24,3.25,69.23,2.75,50,0,0,0,2,2.7,0.5,0,0,0,0,3.99,0.12,1,0.12,0.07,0,0,9,1.12,55.56,11.111,3,54.17,0.12,100,2.87,52.17,0.12,2.62,66.67,7.61,52.46,1.75,1.87,0.37,12.36,1.37,1.5,17.6,73.76,4.74,60.53,2.37,84.21,7.12,77.19,13.36,79.44,1.5,58.33,21.13,21.56,0.23,1.37,0.25,0,0,0,0.87,1.62,84.62,2.62,61.9,0.12,0,0.62,1.5,3.87,74.19,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0.25,0,0,"Colombia","STF","COL_STF","Extremos",NA,NA,NA
"J. Holguín","Envigado","Envigado","LB",20,0,NA,8,719,0,0.4,0,0.14,13.77,46.36,"Colombia","Colombia","unknown",178,76,"no",9.39,8.14,49.23,2.38,36.84,0,0,0.13,5.38,7.21,1.88,3,0.38,0,0,0.63,0,0,0,0.05,0,0,7,0.88,0,0,1.25,20,1.25,20,0,0,0.13,0.5,75,2.25,50,1.25,1,0,20.65,1.25,0.63,28.92,75.76,13.14,65.71,4.76,89.47,5.38,86.05,23.41,86.1,4.38,34.29,22.69,38.39,0.02,0.25,0,0,0,0,0.13,5.01,67.5,1,25,0,0,0.13,0.25,6.26,64,0,NA,0,NA,0,0,0,0,NA,NA,0.38,NA,0,0,0,0,0,0,"Colombia","ENV","COL_ENV","Defensas",NA,NA,NA
"M. Castillo","América de Cali","América de Cali","RB",22,0,"2027-12-31",10,718,0,0.42,1,0.19,18.8,54.67,"Colombia","Colombia","unknown",0,0,"no",9.28,6.27,72,2.51,45,1.5,2.5,0.63,3.26,5.42,1,1,0.13,1,0.13,3.13,0,0,0,0.05,0,0,8,1,12.5,0,1.75,35.71,0.38,0,1.38,45.45,0.13,3.89,61.29,8.77,50,1,2.63,0.63,22.81,2.01,1.38,33.22,81.89,12.53,72,6.02,95.83,10.15,88.89,27.7,90.05,3.89,45.16,18.95,24.23,0.02,0.38,0.13,0,0.25,0,0.25,4.64,72.97,1.88,40,0.5,0,0.25,0.63,6.14,71.43,0,NA,0,NA,0,0,0,0,NA,NA,0.63,NA,0,0,0,0,0,0,"Colombia","AME","COL_AME","Defensas",NA,NA,NA
"J. Riquett","Once Caldas","Once Caldas","LCB",35,2e+05,"2025-12-31",10,717,0,0,0,0,8.54,64.71,"Colombia","Colombia","izquierdo",188,80,"no",7.78,4.9,69.23,1.76,50,0.13,0.18,0.5,4.27,6.26,1,2,0.25,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,85.71,0.25,0,0,18.58,0.13,0.75,29.37,86.32,10.54,75,2.26,88.89,14.06,92.86,24.98,93.97,4.39,42.86,20.38,32.79,0,0,0.13,0,0,0,0,2.76,59.09,0,0,0.25,100,0,0,3.64,51.72,0,NA,0,NA,0,0,0,0,NA,NA,1.76,NA,0,0,0,0,0,0,"Colombia","ONC","COL_ONC","Defensas",NA,NA,NA
"N. Lara","Águilas Doradas","Águilas Doradas","LCB",22,0,"2027-12-31",10,715,0,0.09,0,0,11.83,71.28,"Colombia","Colombia","izquierdo",183,74,"no",8.94,6.55,78.85,2.77,54.55,0.25,0.37,0.38,3.52,5.22,1.13,5,0.63,0,0,0.38,0,0,0,0.01,0,0,2,0.25,0,0,0.13,100,0,0,0.13,100,0,0.38,66.67,1.26,70,0.38,1.26,0,20.77,0.88,0.76,32.48,81.78,14.98,72.27,2.39,94.74,12.46,89.9,26.31,89,6.04,50,19.52,29.65,0,0.13,0,0,0,0,0.13,5.41,69.77,0.76,33.33,0.38,33.33,0.25,0,7.93,53.97,0,NA,0,NA,0,0,0,0,NA,NA,0.76,NA,0.13,0.13,0,0,0,0,"Colombia","AGD","COL_AGD","Defensas",NA,NA,NA
"L. Castro","Millonarios","Millonarios","CF",33,1200000,"2025-12-31",9,712,6,5,0,0.22,11.38,27.78,"Colombia","Colombia","derecho",180,80,"no",2.15,1.77,35.71,2.15,29.41,0.38,0.61,0.13,1.14,1.82,0.63,2,0.25,0,0,1.77,0.76,3,0.38,0.63,0,0,18,2.28,44.44,33.333,0.25,50,0.25,50,0,0,0,2.15,29.41,5.56,22.73,1.64,0.13,0,14.16,1.26,1.01,16.69,75.76,3.67,48.28,5.06,92.5,4.93,79.49,14.66,78.45,1.77,57.14,16.32,36.5,0.03,0.38,0,0,0.25,0,0.25,1.9,66.67,2.15,35.29,0.76,0,0.63,0.13,1.9,80,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.13,0.13,0,0,4,75,"Colombia","MIL","COL_MIL","Delanteros",NA,NA,NA
"S. Silva","América de Cali","América de Cali","GK",26,7e+05,NA,7,705,0,0,0,0,0.77,50,"Uruguay","Uruguay","derecho",190,78,"no",1.53,0.26,0,0.13,100,0,0,0,1.53,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,50,0,0,0,8.17,0.38,0.26,16.47,83.72,11.74,79.35,0.13,100,4.21,93.94,7.66,93.33,8.81,75.36,35.43,46.39,0,0,0,0,0,0,0,1.79,64.29,0,0,0.13,0,0,0,7.66,75,7,0.89,39,4.98,4,82.05,11.97,1.53,4.97,0.634,0.13,1.79,NA,NA,NA,0,0,0,"Colombia","AME","COL_AME","Arqueros",NA,NA,NA
"Y. Rodallega","Medellín","Medellín","LWB",24,650000,NA,16,703,0,0.05,0,1.35,12.16,47.37,"Colombia","Colombia","izquierdo",178,73,"si",5.5,5.38,61.9,2.69,47.62,0.13,0.21,0,2.05,3.29,0.64,1,0.13,0,0,2.56,0,0,0,0.01,0,0,2,0.26,0,0,4.61,50,4.61,50,0,0,0.38,0.77,33.33,3.2,28,1.92,0.51,0.13,21.64,2.94,0.38,25.73,70.65,5.38,61.9,5.25,87.8,9.86,72.73,20.23,76.58,1.79,57.14,18.58,26.33,0.17,1.41,0,0,0,0,0.64,1.41,63.64,3.84,56.67,0.13,0,0.77,2.05,5.5,69.77,0,NA,0,NA,0,0,0,0,NA,NA,0.26,NA,0,0,0,0,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"A. Tovar","Envigado","Envigado","GK",19,0,NA,7,701,0,0,0,0,1.67,69.23,"Colombia","Colombia","izquierdo",180,80,"no",0.51,0.51,50,0.9,100,0,0,0,0.26,0.4,0.13,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,6.29,0.13,0.13,10.14,86.08,5.91,78.26,0,0,3.85,96.67,6.03,100,4.11,65.63,35.5,54.42,0,0,0,0,0,0,0,1.93,53.33,0.13,0,0,0,0,0,3.08,83.33,10,1.28,22,2.82,1,54.55,7.14,0.92,-2.86,-0.367,0,2.31,NA,NA,NA,0,0,0,"Colombia","ENV","COL_ENV","Arqueros",NA,NA,NA
"M. Sierra","Llaneros","Llaneros","DMF",30,250000,NA,16,700,0,0.07,0,0,11.57,55.56,"Colombia","Colombia","derecho",174,70,"no",8.1,5.4,64.29,3.34,53.85,0.13,0.17,0.51,4.5,6.07,1.03,3,0.39,1,0.13,0.51,0,0,0,0.01,0,0,1,0.13,100,0,0.51,75,0,0,0.51,75,0,0.13,0,2.06,43.75,0.13,0.13,0,23.27,0.13,0.51,35.87,85.66,10.67,73.49,4.24,93.94,16.71,90,29.83,89.22,5.53,67.44,20.73,37.75,0,0,0.13,0.13,0,0,0.13,6.94,70.37,1.16,44.44,0.26,0,0.51,0.26,5.01,69.23,0,NA,0,NA,0,0,0,0,NA,NA,0.9,NA,0,0,0,0,0,0,"Colombia","LNR","COL_LNR","Mediocampo_Defensivo",NA,NA,NA
"T. Gutiérrez","Junior","Junior","CF",40,50000,NA,15,699,1,0.94,2,1.07,14.68,45.61,"Colombia","Colombia","derecho",177,81,"no",3.22,3.35,61.54,1.93,6.67,0.13,0.21,0,1.03,1.71,0.77,3,0.39,0,0,2.7,0.13,1,0.13,0.12,0,0,6,0.77,83.33,16.667,1.8,42.86,0.9,28.57,0.9,57.14,0.39,1.55,75,7.34,45.61,1.93,2.32,0,44.03,2.19,1.93,54.08,77.38,15.71,62.3,12.49,88.66,15.71,79.51,47.77,81.4,4.64,50,15.74,19.4,0.14,1.55,0.13,0,0.26,50,0.77,7.98,64.52,5.28,48.78,0.9,14.29,2.7,0.64,8.37,89.23,0,NA,0,NA,0,0,0,0,NA,NA,0.13,NA,0,0,0,1.42,0,0,"Colombia","JNR","COL_JNR","Delanteros",NA,NA,NA
"L. Escorcia","Fortaleza","Fortaleza","CB",21,0,"2026-12-31",11,698,0,0.14,0,0,11.22,63.22,"Colombia","Colombia","unknown",0,0,"si",7.61,4,67.74,4.26,60.61,0,0,0.39,4.9,7.81,0.9,0,0,0,0,0.39,0,0,0,0.02,0,0,5,0.64,0,0,0,0,0,0,0,0,0,0.39,100,1.29,80,0.13,0.9,0,25.92,1.16,1.03,37.65,88.01,16.76,84.62,2.71,100,14.7,91.23,32.49,91.67,5.16,65,17.91,29.13,0,0,0,0,0,0,0,2.58,75,0.13,0,0,0,0,0,7.09,61.82,0,NA,0,NA,0,0,0,0,NA,NA,1.81,NA,0,0,0,0,0,0,"Colombia","FOZ","COL_FOZ","Defensas",NA,NA,NA
"F. Gil","Atlético Bucaramanga","Atlético Nacional","RAMF",30,9e+05,"2026-12-31",15,694,0,1.25,0,1.03,14.14,49.54,"Colombia","Colombia","derecho",178,75,"si",4.02,3.89,53.33,0.91,57.14,0.13,0.24,0,1.82,3.31,1.17,1,0.13,0,0,3.5,0,0,0,0.16,0,0,12,1.56,25,0,3.76,44.83,0.52,25,3.24,48,0.26,2.85,50,7.91,47.54,3.24,1.69,0.13,20.62,3.89,2.59,24.9,78.65,4.8,59.46,6.1,97.87,8.69,76.12,20.49,86.08,1.04,25,19.09,18.14,0.13,1.04,0.39,0,0.39,0,0.39,1.69,46.15,3.76,55.17,0.39,0,1.17,1.69,3.63,82.14,0,NA,0,NA,0,0,0,0,NA,NA,0.39,NA,0,0,0,0,0,0,"Colombia","BUC","COL_BUC","Mediocampo_Ofensivo",NA,NA,NA
"J. Figueroa","Alianza","Alianza","RCB",29,350000,"2027-12-31",13,693,1,0.61,0,0.69,13.38,55.34,"Colombia","Colombia","derecho",180,75,"no",7.01,2.86,81.82,5.97,56.52,0,0,0.26,4.68,6.84,0.65,0,0,0,0,0.65,0.13,1,0.13,0.08,0,0,6,0.78,50,16.667,0.39,33.33,0,0,0.39,33.33,0.13,0.26,50,1.95,40,1.17,0.26,0,15.97,0.65,0.52,29.35,74.34,14.68,59.29,1.56,100,9.48,90.41,23.9,84.24,5.06,30.77,21.16,29.03,0.09,0.13,0,0,0,0,0,3.25,44,1.43,9.09,0.78,0,0,0.13,5.45,42.86,0,NA,0,NA,0,0,0,0,NA,NA,1.04,NA,0,0,0,0,0,0,"Colombia","ALV","COL_ALV","Defensas","DEFENSAS_ALIANZA_J_FIGUEROA.png","DEFENSAS_ALIANZA_J_FIGUEROA.png","DEFENSAS_ALIANZA_J_FIGUEROA.png"
"J. Muñoz","Alianza","Alianza","AMF",31,150000,NA,14,689,0,0.65,1,0.64,15.54,45.38,"Colombia","Colombia","derecho",168,65,"no",4.96,3.92,60,1.83,21.43,0.26,0.48,0.13,2.35,4.32,1.18,2,0.26,0,0,0.65,0,0,0,0.09,0,0,13,1.7,0,0,1.31,20,0.26,0,1.04,25,0.13,0.78,50,7.45,42.11,1.57,0.65,0,28.08,0.91,2.74,34.75,79.7,10.58,61.73,5.36,100,12.02,84.78,30.3,84.05,3.27,64,19.93,27.81,0.08,1.57,0,0,0,0,0.52,5.36,63.41,3.27,40,0.65,60,1.18,0.13,5.75,84.09,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,1.44,0.13,0,4.44,0,0,"Colombia","ALV","COL_ALV","Mediocampo_Ofensivo","MEDIOCAMPO_OFENSIVO_ALIANZA_J_MUÑOZ.png","MEDIOCAMPO_OFENSIVO_ALIANZA_J_MUÑOZ.png","MEDIOCAMPO_OFENSIVO_ALIANZA_J_MUÑOZ.png"
"G. Banguera","Águilas Doradas","Águilas Doradas","GK",29,350000,NA,7,687,0,0,0,0,0.66,100,"Colombia","Colombia","derecho",187,80,"no",0.92,0.13,100,0.26,100,0,0,0,0.79,1.25,0,2,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,9.43,0.13,0.39,15.33,88.03,8.38,84.38,0,0,6.42,95.92,9.96,97.37,5.24,72.5,33.05,52.79,0,0,0,0,0,0,0,1.05,37.5,0.13,0,0,0,0,0,4.19,75,7,0.92,20,2.62,2,65,5.6,0.73,-1.4,-0.183,0,1.57,NA,NA,NA,0,0,0,"Colombia","AGD","COL_AGD","Arqueros",NA,NA,NA
"E. Londoño","Envigado","Envigado","LB",19,0,NA,7,686,0,0,0,0.25,13.12,53,"Colombia","Colombia",NA,0,0,"no",8.66,6.69,56.86,1.97,66.67,0.39,0.62,0.26,4.46,7.03,1.31,3,0.39,0,0,1.44,0,0,0,0,0,0,2,0.26,0,0,1.44,36.36,1.44,36.36,0,0,0.13,1.31,70,3.02,47.83,0.39,0.39,0,16.79,0.39,0.13,25.58,74.87,10.5,60,3.54,96.3,6.69,80.39,20.34,85.16,3.94,36.67,21.15,41.44,0.03,0.52,0,0,0,0,0.13,3.54,48.15,1.31,20,0.13,0,0.13,0.52,5.38,51.22,0,NA,0,NA,0,0,0,0,NA,NA,0.13,NA,0.26,0,0,0.13,0,0,"Colombia","ENV","COL_ENV","Defensas",NA,NA,NA
"K. Valencia","Llaneros","Llaneros","CF",23,350000,"2025-12-31",15,682,3,1.08,0,0.34,16.63,30.95,"Colombia","Colombia","derecho",184,79,"si",2.9,2.64,65,4.88,27.03,0.26,0.43,0,0.92,1.52,1.32,1,0.13,0,0,1.45,0.4,3,0.4,0.14,1,0.13,9,1.19,55.56,33.333,0.92,0,0.26,0,0.66,0,0.13,1.32,60,6.47,20.41,2.64,0.79,0.13,7.92,2.11,0.53,9.63,73.97,1.19,44.44,1.85,100,3.17,70.83,8.58,83.08,0.53,0,12.38,11.12,0.04,0.79,0,0,0,0,0,0.4,33.33,0.26,0,0,0,0.13,0.13,0.26,50,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Colombia","LNR","COL_LNR","Delanteros",NA,NA,NA
"K. Parra","La Equidad","La Equidad","CF",22,0,"2027-12-31",16,670,1,0.9,0,0.31,18.13,45.93,"Colombia","Colombia","derecho",168,60,"no",4.3,3.22,75,1.34,40,0,0,0,1.88,2.49,0,0,0,0,0,2.96,0.13,1,0.13,0.12,0,0,12,1.61,50,8.333,1.61,16.67,0.54,25,1.07,12.5,0.13,4.03,46.67,12.36,40.22,1.48,2.28,0.4,18.13,1.88,2.96,22.7,81.07,3.22,70.83,4.97,97.3,8.87,83.33,19.34,89.58,1.88,42.86,18.75,24.85,0.04,0.94,0,0,0,0,0.13,2.96,68.18,1.21,44.44,0.27,50,0.4,0.27,2.15,93.75,0,NA,0,NA,0,0,0,0,NA,NA,0.67,NA,0.54,0.27,0,0.13,0,0,"Colombia","EQU","COL_EQU","Delanteros",NA,NA,NA
"F. Chaverra","La Equidad","La Equidad","LW",22,0,"2026-06-30",12,668,1,0.61,1,1.29,21.83,38.27,"Colombia","Colombia",NA,0,0,"no",3.91,4.31,50,2.29,23.53,0,0,0,1.75,2.25,1.35,2,0.27,0,0,4.45,0.13,1,0.13,0.08,0,0,15,2.02,26.67,6.667,1.35,40,0.81,50,0.54,25,0,6.33,53.19,12.8,36.84,2.56,4.18,1.48,13.61,1.62,1.35,16.98,81.75,3.37,68,4.99,94.59,4.04,93.33,15.36,86.84,0.4,33.33,14.58,11.1,0.17,1.21,0,0.13,0,0,0.54,1.21,77.78,1.08,75,0,0,0.81,0.4,1.48,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0.27,0,0,"Colombia","EQU","COL_EQU","Extremos",NA,NA,NA
"E. Rivero Almario","Atlético Nacional","Atlético Nacional","RDMF",19,0,NA,14,667,0,0.06,0,0.61,13.22,51.02,"Colombia","Colombia","unknown",0,0,"no",6.61,6.61,57.14,1.48,36.36,1.08,1.74,0.27,1.75,2.83,1.48,3,0.4,0,0,0.54,0,0,0,0.01,0,0,5,0.67,0,0,0.13,0,0,0,0.13,0,0,0.94,57.14,3.24,54.17,0,0,0,29.55,0.13,1.21,39.67,87.07,12.14,80,6.07,97.78,15.92,87.29,35.76,90.19,3.78,60.71,19.44,26.03,0.08,0.54,0.27,0,0,0,0.27,6.21,76.09,1.35,50,0.67,40,0.67,0,5.53,82.93,0,NA,0,NA,0,0,0,0,NA,NA,0.94,NA,0,0,0,0,0,0,"Colombia","NAC","COL_NAC","Mediocampo_Defensivo",NA,NA,NA
"F. Torijano","Medellín","Medellín","CB",36,2e+05,"2025-12-31",12,664,0,0.25,0,0,11.11,68.29,"Colombia","Colombia","derecho",182,73,"no",8.13,4.47,84.85,4.2,67.74,0.14,0.19,0.27,4.2,6,0.27,0,0,0,0,0.14,0,0,0,0.03,0,0,2,0.27,50,0,0,0,0,0,0,0,0,0,0,1.08,25,0.81,0.27,0,20.74,0.27,0.41,32.39,89.12,11.79,78.16,1.63,100,13.42,96.97,28.06,93.72,4.34,59.38,18.53,22.24,0,0,0,0,0,0,0,2.44,66.67,0,0,0,0,0.41,0,5.29,51.28,0,NA,0,NA,0,0,0,0,NA,NA,1.49,NA,0,0,0,0,0,0,"Colombia","MDL","COL_MDL","Defensas",NA,NA,NA
"G. Charrupí","Deportivo Pasto","Deportivo Pasto","LCMF",20,0,"2027-06-30",13,655,0,0.17,0,0.36,15.39,52.68,"Colombia","Colombia",NA,0,0,"no",7.69,6.87,66,0.69,40,0.14,0.17,0.14,3.02,3.82,0.96,2,0.27,0,0,0.55,0,0,0,0.02,0,0,5,0.69,40,0,0,0,0,0,0,0,0,0.55,50,6.18,42.22,0.14,0.27,0,25.56,0.41,1.65,37.24,89.3,9.76,80.28,6.87,94,14.7,95.33,35.45,90.31,1.79,69.23,21.26,24.15,0.05,0.69,0,0,0,0,0.27,5.91,79.07,0.82,33.33,0.55,25,0.27,0,4.4,75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.41,0,0,0.55,0,0,"Colombia","PAS","COL_PAS","Mediocampo",NA,NA,NA
"S. Salazar","Boyacá Chicó","Boyacá Chicó","RCMF",29,2e+05,NA,9,651,0,0.05,0,0,10.23,48.65,"Colombia","Colombia","derecho",180,79,"no",8.16,5.67,56.1,0.69,40,0.41,0.59,0.69,4.56,6.47,0.97,0,0,0,0,0.41,0,0,0,0.01,0,0,2,0.28,50,0,0.14,0,0,0,0.14,0,0,0.69,20,2.63,31.58,0,0.28,0,19.08,0.14,0.97,28.34,86.83,7.6,74.55,3.73,100,11.61,92.86,26.27,90,1.94,50,16.02,16.81,0,0,0,0,0.14,100,0,3.18,69.57,0.41,0,0.28,50,0,0,3.46,68,0,NA,0,NA,0,0,0,0,NA,NA,0.41,NA,0,0,0,0,0,0,"Colombia","BYC","COL_BYC","Mediocampo",NA,NA,NA
"R. Manjarrés","Alianza","Alianza","RCMF",25,550000,NA,14,648,1,0.44,1,0.36,17.5,51.59,"Colombia","Colombia","derecho",184,68,"no",8.33,5.42,51.28,2.64,63.16,0.97,1.24,0.42,4.58,5.82,1.81,3,0.42,0,0,1.53,0.14,1,0.14,0.06,0,0,7,0.97,28.57,14.286,0.83,33.33,0.42,66.67,0.42,0,0.28,1.25,55.56,7.36,47.17,0.97,1.53,0,24.86,0.97,1.25,38.33,78.62,12.5,67.78,6.53,91.49,13.47,88.66,34.03,82.86,3.47,48,18.48,30.89,0.05,0.56,0,0,0.28,100,0.42,6.25,71.11,2.36,41.18,0.56,50,0.97,0.42,6.39,80.43,0,NA,0,NA,0,0,0,0,NA,NA,0.28,NA,0.69,0,0,1.11,0,0,"Colombia","ALV","COL_ALV","Mediocampo","MEDIOCAMPO_ALIANZA_R_MANJARRÉS.png","MEDIOCAMPO_ALIANZA_R_MANJARRÉS.png","MEDIOCAMPO_ALIANZA_R_MANJARRÉS.png"
"J. Micolta","La Equidad","La Equidad","LW",23,0,NA,16,647,1,1.25,0,0.04,20.45,46.26,"Colombia","Colombia","derecho",173,0,"no",6.26,6.54,53.19,2.92,33.33,0.42,0.54,0,2.36,3.07,1.95,1,0.14,1,0.14,3.06,0.14,1,0.14,0.17,0,0,13,1.81,53.85,7.692,0.7,20,0.42,33.33,0.28,0,0,3.2,60.87,10.02,44.44,1.25,2.78,0.42,12.8,0.42,2.09,17.39,71.2,4.17,40,3.62,92.31,5.7,85.37,15.58,75.89,1.25,33.33,15.34,13.71,0.01,0.42,0.14,0.14,0.14,0,0.42,2.23,37.5,0.97,57.14,0.28,0,0.42,0.14,2.09,73.33,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0.28,0,0,"Colombia","EQU","COL_EQU","Extremos",NA,NA,NA
"J. Wallens","Alianza","Alianza","GK",33,1e+05,NA,7,646,0,0,0,0,0.42,100,"Colombia","Colombia","derecho",190,75,"no",1.25,0,0,0.42,100,0,0,0,1.25,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0.14,10.45,86.67,5.99,79.07,0,0,3.9,96.43,6.83,97.96,3.62,65.38,33.24,52.37,0,0,0,0,0,0,0,0.84,50,0,0,0,0,0,0,2.79,80,5,0.7,25,3.48,4,80,5.84,0.81,0.84,0.117,0,1.67,NA,NA,NA,0,0,0,"Colombia","ALV","COL_ALV","Arqueros","ARQUEROS_ALIANZA_J_WALLENS.png","ARQUEROS_ALIANZA_J_WALLENS.png","ARQUEROS_ALIANZA_J_WALLENS.png"
"Ó. Barreto","Unión Magdalena","Unión Magdalena","RCMF",32,3e+05,NA,12,629,0,1.04,0,0.57,14.74,44.66,"Colombia","Colombia","derecho",175,68,"no",4.86,5.29,37.84,2,21.43,1,1.45,0.29,1.86,2.69,1.43,4,0.57,0,0,2.29,0,0,0,0.15,0,0,16,2.29,25,0,0.72,80,0.29,100,0.43,66.67,0,1.72,66.67,5.29,54.05,1.29,1.57,0.43,29.62,1.29,2.29,39.92,84.23,12.45,71.26,5.87,87.8,14.31,90,34.48,89.63,4.72,45.45,19.36,30.36,0.08,1.14,0,0,0.29,0,0.43,6.72,72.34,3.15,45.45,1.29,33.33,1.29,0.57,7.3,82.35,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,1.29,0,0,"Colombia","UMG","COL_UMG","Mediocampo",NA,NA,NA
