goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.5,0.33,0.0,2.32,36.84,0.5,37.5,0.33,0.0,86.92,2.82,36.96,90,1.66,1.0,1.99,1.49,0,0,0,1.16,0.0,0,0,0,0,4.98,0.0,15.44,0.17,0.0,0.0,0.83,83.33,0.33,0.33,0.17,0.0,2.49,1.0,0.83,20.0,0.17,1.49,,0.0,0,0.0,Radamel Falcao,Millonarios
0.29,0.29,0.0,2.04,63.64,1.46,38.46,0.0,0.0,82.67,3.5,50.0,90,1.75,0.58,0.29,2.33,0,0,0,0.58,0.0,0,0,0,0,4.95,0.0,18.06,0.87,0.29,25.0,1.46,100.0,0.29,0.87,0.0,0.58,3.2,1.75,0.58,9.09,0.0,0.29,,0.0,0,0.0,Gustavo Ramírez,Deportes Tolima
0.25,0.25,0.0,4.26,43.59,0.75,27.27,1.0,0.25,78.95,5.01,40.0,90,2.51,1.75,1.0,2.51,0,0,0,1.0,0.0,0,0,0,0,8.27,0.25,22.56,1.25,0.0,0.0,2.01,80.0,0.5,0.5,0.75,0.0,2.01,0.75,0.0,12.5,0.25,0.25,,0.0,0,0.0,Adalberto Peñaranda,Atlético Bucaramanga
0.35,0.07,0.07,1.52,44.9,0.21,23.08,0.28,0.07,83.83,1.73,40.32,90,0.97,0.97,0.14,1.31,0,0,0,0.9,0.28,0,0,0,0,3.38,0.0,9.67,0.35,0.07,25.0,0.76,78.57,0.07,0.14,0.21,0.14,1.59,0.62,0.41,21.74,0.0,0.9,,0.0,0,0.0,Bayron Garcés,Envigado FC
0.13,0.13,0.0,1.43,26.19,2.34,51.43,0.13,0.13,69.61,3.77,37.66,90,1.04,2.21,0.91,1.3,0,0,0,0.78,0.13,0,0,0,0,2.99,0.13,9.23,0.78,0.0,0.0,0.39,50.0,0.26,0.91,0.26,0.13,2.08,0.91,0.39,6.25,0.0,0.52,,0.0,0,0.0,Samy Jr Merheg,Deportivo Pereira
0.32,0.0,0.0,2.7,43.59,2.07,32.5,0.32,0.16,68.75,4.77,37.97,90,1.91,2.54,0.32,2.7,0,0,0,0.95,0.16,0,0,0,0,2.07,0.0,8.75,0.48,0.0,0.0,0.0,0.0,0.16,1.27,0.16,0.0,3.02,0.95,0.32,10.53,0.0,0.95,,0.0,0,0.0,Gianfranco Peña,Deportivo Pereira
0.23,0.57,0.0,4.1,46.15,0.68,28.57,0.68,0.0,70.41,4.78,42.42,90,2.51,1.82,1.25,1.25,0,0,0,0.91,0.23,0,0,0,0,5.35,0.0,13.56,1.03,0.11,20.0,0.68,37.5,0.23,0.68,0.23,0.0,1.59,0.91,0.46,14.29,0.0,1.14,,0.11,0,0.0,Ricardo Márquez,Unión Magdalena
0.0,0.0,0.0,3.49,50.0,1.31,66.67,0.22,0.0,72.0,4.79,53.66,90,2.18,1.09,1.74,1.96,0,0,0,0.22,0.22,0,0,0,0,4.14,0.0,11.77,1.09,0.44,50.0,0.22,50.0,0.0,0.44,0.44,0.22,2.4,0.87,0.44,0.0,0.0,0.0,,0.0,0,0.0,Juan Camilo Cantillo,Deportivo Cali
0.24,0.24,0.0,3.3,42.19,0.61,41.67,0.24,0.0,81.46,3.91,42.11,90,2.45,1.1,1.59,2.08,0,0,0,1.22,0.12,0,0,0,0,9.17,0.12,20.42,0.98,0.73,11.54,0.98,66.67,0.37,0.24,0.24,0.12,2.2,0.37,0.61,11.11,0.0,0.24,,0.0,0,0.0,Jhon Vásquez,Atlético Bucaramanga
0.43,0.14,0.0,1.14,25.0,2.0,45.16,0.0,0.0,69.51,3.14,34.92,90,0.71,1.57,1.43,2.28,0,0,0,1.0,0.14,0,0,0,0,3.42,0.0,8.13,1.14,0.14,20.0,0.0,0.0,0.0,0.29,0.29,0.0,1.71,0.71,0.57,25.0,0.0,0.29,,0.0,0,0.0,Kener Valencia,Llaneros FC
0.0,0.0,0.0,1.05,18.75,3.16,64.29,0.7,0.0,71.79,4.22,40.0,90,0.0,2.11,1.76,2.11,0,0,0,0.7,0.0,0,0,0,0,7.03,0.0,19.69,1.76,0.35,16.67,0.0,0.0,0.7,0.7,0.0,0.0,2.46,1.05,0.7,0.0,0.0,0.0,,0.0,0,0.0,Jhon Martínez,Fortaleza CEIF
0.3,0.3,0.0,2.21,37.5,0.59,14.29,0.0,0.0,83.59,2.8,27.94,90,1.33,1.48,1.48,2.07,0,0,0,1.62,0.3,0,0,0,0,5.75,0.15,15.79,1.18,0.74,25.0,1.03,63.64,0.0,0.0,0.0,0.0,2.36,0.74,0.44,12.5,0.0,0.74,,0.0,0,0.0,Ayron Del Valle,Deportivo La Equidad
