goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.11,0.22,0.0,2.63,48.96,0.84,57.69,0.22,0.0,85.62,3.47,50.82,90,0.5,1.34,0.45,1.01,0.0,0,0,0.73,0.06,0,0,0,0,6.33,0.0,38.05,0.39,0.11,100.0,2.58,62.16,1.01,0.84,0.5,0.06,1.34,0.28,0.22,8.33,0.06,0.0,,0.0,0.0,0.0,Edwin Castro,Atlético Bucaramanga
0.61,0.25,0.0,4.06,48.53,0.49,50.0,1.23,0.0,79.06,4.55,48.68,90,0.86,0.98,0.86,1.6,0.0,0,0,0.61,0.0,0,0,0,0,12.42,0.0,26.93,1.35,0.12,12.5,1.35,73.33,0.61,0.12,0.12,0.0,2.09,0.74,0.49,29.41,0.0,0.12,,0.0,0.0,0.0,Kevin Palacios,Millonarios
0.19,0.45,0.0,2.5,37.86,0.58,39.13,0.38,0.19,80.11,3.07,38.1,90,1.35,2.18,0.77,1.41,0.0,0,0,0.45,0.06,0,0,0,0,10.57,0.13,28.38,2.05,1.02,25.81,1.47,54.76,0.38,0.32,0.58,0.0,2.5,0.83,0.7,7.69,0.06,0.26,,0.0,0.0,0.0,Léider Berrío,Independiente Medellín
0.21,0.14,0.0,1.78,33.78,0.64,39.13,0.57,0.21,80.28,2.42,35.05,90,0.57,0.86,1.14,1.21,0.0,0,0,0.78,0.14,0,0,0,0,8.06,0.14,24.68,1.64,1.21,28.81,1.21,62.96,0.57,0.21,0.36,0.0,1.71,0.78,0.29,12.5,0.0,0.07,,0.0,0.0,0.0,Alexis Zapata,Independiente Santa Fe
0.0,0.39,0.06,3.67,58.16,0.9,58.33,0.13,0.0,89.98,4.57,58.2,90,1.35,1.74,0.39,1.1,0.0,0,0,0.84,0.13,0,0,0,0,8.76,0.0,54.37,0.71,0.13,66.67,4.32,75.28,1.16,0.9,0.52,0.0,0.13,0.0,0.06,0.0,0.0,0.0,,0.0,0.0,0.0,Jorman Campuzano,Atlético Nacional
0.06,0.38,0.0,4.19,51.56,0.32,38.46,0.19,0.0,88.6,4.51,50.35,90,1.97,1.97,0.57,1.14,0.0,0,0,0.83,0.25,0,0,0,0,11.57,0.0,41.5,1.27,0.06,16.67,3.75,69.41,0.83,1.02,0.51,0.06,1.59,0.76,0.38,4.0,0.06,0.06,,0.0,0.0,0.0,Mateo García,Once Caldas
0.0,0.45,0.0,3.72,53.23,0.45,40.0,0.45,0.0,86.54,4.17,51.39,90,0.9,1.92,0.45,1.24,0.0,0,0,0.0,0.0,0,0,0,0,8.46,0.0,36.99,0.9,0.0,0.0,2.82,73.53,0.79,1.69,0.45,0.0,1.13,0.45,0.56,0.0,0.0,0.0,,0.0,0.0,0.0,Dewar Victoria,Millonarios
0.05,0.0,0.0,3.73,62.18,0.2,28.57,0.6,0.05,86.97,3.93,58.65,90,1.61,0.45,0.66,1.16,0.0,0,0,0.81,0.1,0,0,0,0,10.58,0.05,40.01,0.6,0.4,25.81,3.28,70.65,0.55,0.55,0.4,0.15,1.01,0.4,0.3,5.0,0.0,0.05,,0.0,0.0,0.0,Yimmi Chará,Junior Barranquilla
0.16,0.11,0.0,1.95,57.81,1.47,70.0,0.16,0.0,80.75,3.42,62.5,90,0.95,0.53,0.47,1.0,0.0,0,0,1.37,0.21,0,0,0,0,4.16,0.0,26.05,0.58,0.0,0.0,1.95,43.02,1.05,3.16,0.26,0.0,0.79,0.42,0.05,20.0,0.0,0.05,,0.0,0.0,0.0,Frank Lozano,Boyacá Chicó FC
0.17,0.17,0.0,3.1,66.67,0.69,42.11,0.17,0.09,89.17,3.79,60.27,90,2.07,0.52,0.52,1.64,0.0,0,0,0.43,0.09,0,0,0,0,12.93,0.09,36.21,1.12,0.17,14.29,0.95,61.11,0.17,0.52,0.43,0.09,3.19,0.78,1.12,5.41,0.0,0.0,,0.0,0.0,0.0,Diego Moreno,Independiente Medellín
