name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,aerialLost,duelLost,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,totalOffside,interceptionWon,wonContest,goals,bigChanceCreated,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,28.0,22.0,8.0,0.0,,,90.0,35.0,6.1,7.0,"{'original': 6.1, 'alternative': None}",4.0,,,,2.0,,2.0,,,,3.0,,,,,,,1.0,2.0,,,,,Boyacá Chicó FC,away,,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,,,30,False,17.0,14.0,2.0,0.0,1.0,2.0,90.0,28.0,6.1,3.0,"{'original': 6.1, 'alternative': None}",,,,1.0,2.0,,,,,,3.0,1.0,1.0,,,,,2.0,,,,1.0,,Boyacá Chicó FC,away,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,,,22,False,31.0,26.0,3.0,0.0,,1.0,90.0,47.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",2.0,,,,2.0,1.0,,1.0,,,3.0,,1.0,1.0,,,,2.0,,,,,,Boyacá Chicó FC,away,,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",Edgard Camargo,,,28,False,20.0,15.0,,0.0,1.0,2.0,64.0,28.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,,2.0,5.0,,,,,,1.0,,2.0,1.0,1.0,,,1.0,,,,,,Boyacá Chicó FC,away,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,23.0,19.0,2.0,0.0,,3.0,90.0,33.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,,,,3.0,1.0,,,1.0,,3.0,1.0,1.0,2.0,2.0,,,,,1.0,,,True,Boyacá Chicó FC,away,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,False,11.0,6.0,4.0,0.0,1.0,2.0,50.0,15.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,Boyacá Chicó FC,away,,
Vladimir Hernández,vladimir-hernandez,V. Hernández,M,16,160.0,108,47093,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,602899200.0,"{'value': 52000, 'currency': 'EUR'}",,,,16,False,11.0,9.0,1.0,0.0,1.0,4.0,64.0,21.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",1.0,,,1.0,3.0,1.0,1.0,,,,1.0,,2.0,,1.0,,1.0,,,,,,,Boyacá Chicó FC,away,,
Hassan Vergara,hassan-vergara,H. Vergara,F,99,185.0,11,988798,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923097600.0,"{'value': 110000, 'currency': 'EUR'}",,,,99,False,14.0,8.0,3.0,0.0,2.0,4.0,64.0,16.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",3.0,,,4.0,4.0,,,,,,,,,,2.0,,1.0,,,,,,,Boyacá Chicó FC,away,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,16.0,14.0,1.0,0.0,,2.0,75.0,24.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,3.0,1.0,,,,1.0,,,1.0,2.0,,,,1.0,,,,1.0,,Boyacá Chicó FC,away,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,,8,True,22.0,20.0,4.0,0.0,,,40.0,24.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,Boyacá Chicó FC,away,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,True,7.0,5.0,,0.0,,,26.0,8.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,,,,Boyacá Chicó FC,away,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,,21,True,8.0,6.0,,0.0,,,26.0,12.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,Boyacá Chicó FC,away,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,,29,True,7.0,6.0,,1.0,1.0,3.0,26.0,9.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,Boyacá Chicó FC,away,,
Carlos Cabarcas,carlos-cabarcas,C. Cabarcas,,7,,3,2123091,{},EUR,,,Carlos Cabarcas,,,7,True,3.0,3.0,1.0,0.0,1.0,4.0,15.0,8.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,Boyacá Chicó FC,away,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400.0,,Elian Peralta,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,
