name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,wasFouled,fouls,aerialLost,outfielderBlock,keyPass,aerialWon,shotOffTarget,blockedScoringAttempt,accurateCross,totalContest,wonContest,challengeLost,dispossessed,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,bigChanceCreated,bigChanceMissed
Jaison Mina,Jaison Mina,,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000.0,"{'value': 145000, 'currency': 'EUR'}",28,False,36.0,28.0,9.0,2.0,0.0,7.0,,,90.0,50.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,3.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,Llaneros FC,away,,,,1.0,,
Jhildrey Lasso,Jhildrey Lasso,,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",33,False,19.0,14.0,2.0,,0.0,3.0,,,90.0,43.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",2.0,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,Llaneros FC,away,,,,,,
Duván Mosquera,Duván Mosquera,,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",27,False,27.0,22.0,2.0,2.0,0.0,2.0,,,65.0,40.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",2.0,4.0,3.0,,2.0,,3.0,,,1.0,,,1.0,,3.0,1.0,,,,,,,Llaneros FC,away,,,,,,
Eyder Restrepo,,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",5,False,26.0,25.0,2.0,2.0,0.0,3.0,,,80.0,32.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Geovan Montes,,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",31,False,14.0,11.0,1.0,1.0,0.0,,,,81.0,28.0,7.0,8.0,"{'original': 7, 'alternative': None}",3.0,2.0,6.0,,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,Llaneros FC,away,,,,,1.0,
Andrés López,,,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800.0,"{'value': 145000, 'currency': 'EUR'}",8,False,32.0,28.0,4.0,3.0,0.0,,,,81.0,38.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,2.0,3.0,,,2.0,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,Llaneros FC,away,,,,,,
Bryan Urueña,,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",10,False,35.0,30.0,5.0,4.0,2.0,,,,90.0,58.0,8.0,17.0,"{'original': 8, 'alternative': None}",8.0,2.0,2.0,,1.0,1.0,,,,3.0,,,,3.0,1.0,,,1.0,,,,True,Llaneros FC,away,,,,,1.0,
Michael Rangel,,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",9,False,20.0,18.0,1.0,1.0,0.0,1.0,,,90.0,31.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,4.0,3.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,1.0,2.0,1.0,,,Llaneros FC,away,,,,,,1.0
Freddy Espinal,Freddy Espinal,,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",11,True,1.0,,,,0.0,,,,25.0,10.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",4.0,2.0,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,Llaneros FC,away,,,,,,
Harold Reina,,,harold-reina,H. Reina,F,17,177.0,20,312306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,648259200.0,"{'value': 52000, 'currency': 'EUR'}",17,True,3.0,3.0,,,0.0,1.0,,,25.0,5.0,7.2,,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,1.0,1.0,,,Llaneros FC,away,,,,,,
Óscar Vega,Oscar Vega,,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,30,True,10.0,7.0,2.0,1.0,0.0,,,,10.0,12.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Marlon Sierra,,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",6,True,6.0,6.0,2.0,2.0,0.0,,,,9.0,10.0,7.0,,"{'original': 7, 'alternative': None}",,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Jhonatan Mayorga,,,jhonatan-mayorga,J. Mayorga,F,10,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200.0,,16,True,6.0,5.0,,,0.0,,,,9.0,8.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,Llaneros FC,away,,,,,,
Kevin Armesto,Kevin Armesto,,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Josman Pulgarín,Josman Pulgarín,,josman-pulgarin,J. Pulgarín,M,26,,3,2161994,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
