name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,blockedScoringAttempt,totalClearance,totalTackle,fouls,shotOffTarget,interceptionWon,keyPass,wonContest,accurateCross,challengeLost,onTargetScoringAttempt,outfielderBlock,goals,bigChanceCreated,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,punches,totalKeeperSweeper,accurateKeeperSweeper
David Barrera,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,,,25,False,27.0,24.0,1.0,,0.0,2.0,1.0,,,58.0,39.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",4.0,,,2.0,,,,3.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,Fortaleza CEIF,away,,,,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,,,14,False,47.0,41.0,6.0,4.0,0.0,3.0,2.0,,,90.0,54.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,True,Fortaleza CEIF,away,,,,
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,,,10,False,27.0,21.0,2.0,1.0,0.0,7.0,4.0,,,90.0,49.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",3.0,,,4.0,1.0,2.0,,1.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,Fortaleza CEIF,away,,,,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,,,22,False,30.0,23.0,3.0,2.0,0.0,3.0,1.0,,,90.0,50.0,7.0,13.0,"{'original': 7, 'alternative': None}",,2.0,,5.0,,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,Fortaleza CEIF,away,,,,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",Emilio Aristizábal,,,19,False,16.0,11.0,1.0,1.0,0.0,1.0,,,,76.0,23.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,,5.0,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,Fortaleza CEIF,away,,,,
Kelvin Florez,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",Kelvin Florez,,,16,False,13.0,11.0,1.0,1.0,1.0,1.0,,,,58.0,27.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,1.0,,2.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,,,Fortaleza CEIF,away,,,,
Harold Balanta,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",Harold Balanta,,,18,True,14.0,12.0,1.0,,0.0,6.0,2.0,,,32.0,23.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,3.0,2.0,1.0,,,4.0,1.0,1.0,,,,,,,,,,,,,Fortaleza CEIF,away,,,,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",Cristián Mosquera,,,27,True,5.0,3.0,2.0,1.0,0.0,1.0,,,,32.0,15.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,Fortaleza CEIF,away,,,,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",Ronaldo Pájaro,,,13,True,25.0,22.0,3.0,2.0,0.0,2.0,1.0,,,32.0,29.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,Fortaleza CEIF,away,,,,
Santiago Córdoba,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",,,,9,True,2.0,2.0,,,0.0,,,,,14.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,,3.0,,,,,,2.0,,,,,,,1.0,,,,,,Fortaleza CEIF,away,,,,
Enmanuel Arrechea,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,Enmanuel Arrechea,,,17,True,,,,,0.0,,,,,8.0,,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,,
Michael Barragán,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,Michael Barragán,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,,
Kevin Salazar,kevin-salazar,K. Salazar,M,11,170.0,30,852208,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823824000.0,"{'value': 160000, 'currency': 'EUR'}",,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,,
