name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalTackle,wasFouled,fouls,keyPass,challengeLost,interceptionWon,aerialLost,onTargetScoringAttempt,outfielderBlock,blockedScoringAttempt,aerialWon,totalContest,shotOffTarget,dispossessed,goals,penaltyWon,wonContest,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltyConceded
Brayan Medina,,,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,23,False,18.0,9.0,7.0,2.0,0.0,9.0,,90.0,30.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,América de Cali,away,,,
Marcos Mina,,,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,14,False,19.0,11.0,4.0,,0.0,2.0,,90.0,42.0,6.7,18.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,2.0,3.0,2.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,América de Cali,away,,,
Cristian Barrios,,,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,7,False,29.0,22.0,2.0,1.0,0.0,,,90.0,45.0,7.0,14.0,"{'original': 7, 'alternative': None}",,,6.0,5.0,2.0,2.0,,2.0,1.0,,,,,1.0,,4.0,2.0,2.0,,,1.0,,,América de Cali,away,,,
Éder Balanta,,,eder-balanta,É. Balanta,M,3,181.0,493,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",3,False,20.0,15.0,5.0,4.0,0.0,1.0,,90.0,28.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,4.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,,,,,América de Cali,away,,,
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,173.0,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000,"{'value': 325000, 'currency': 'EUR'}",,15,False,27.0,25.0,3.0,2.0,0.0,,,86.0,37.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,6.0,3.0,2.0,1.0,3.0,,,,,,,,,,,3.0,,,,,,América de Cali,away,,,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,11,False,21.0,14.0,,,0.0,,,90.0,38.0,6.5,19.0,"{'original': 6.5, 'alternative': None}",2.0,,6.0,3.0,,1.0,3.0,,,,,1.0,,,,2.0,,3.0,,,2.0,,True,América de Cali,away,,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,21,False,10.0,6.0,,,0.0,,,56.0,12.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,1.0,,,,,2.0,,,1.0,1.0,,,,,,,1.0,,,,,América de Cali,away,,,
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,22,False,20.0,13.0,2.0,1.0,1.0,,,82.0,34.0,6.5,19.0,"{'original': 6.5, 'alternative': None}",1.0,,5.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,3.0,,1.0,,,,,,América de Cali,away,,,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,17,True,5.0,5.0,,,0.0,,,34.0,16.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,3.0,5.0,5.0,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,América de Cali,away,,,
Luis Gómez,,,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,16,True,6.0,5.0,,,0.0,,,8.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,América de Cali,away,,,
Franco Leys,,,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400,"{'value': 360000, 'currency': 'EUR'}",,32,True,9.0,9.0,1.0,1.0,0.0,,,13.0,10.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,América de Cali,away,,,
Santiago Silva,,,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,
Omar Bertel,,,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 565000, 'currency': 'EUR'}",,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,
Luis Alejandro Paz,,,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000,"{'value': 47000, 'currency': 'EUR'}",,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,
