name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,penaltyConceded,wasFouled,fouls,keyPass,outfielderBlock,challengeLost,interceptionWon,totalOffside,blockedScoringAttempt,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,captain,team,teamType,penaltyWon
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,58.0,50.0,6.0,3.0,0.0,,,,,90.0,71.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,3.0,2.0,3.0,3.0,,4.0,,,1.0,,,1.0,,1.0,,,,,,,,,Once Caldas,away,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800.0,"{'value': 235000, 'currency': 'EUR'}",,,,15,False,24.0,15.0,5.0,2.0,0.0,,,,,90.0,47.0,7.0,12.0,"{'original': 7, 'alternative': None}",1.0,,2.0,4.0,6.0,8.0,1.0,4.0,3.0,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,Once Caldas,away,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400.0,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,46.0,38.0,5.0,2.0,0.0,,,,,90.0,66.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,,6.0,3.0,1.0,2.0,1.0,,2.0,2.0,2.0,,,3.0,,1.0,2.0,,,2.0,,,Once Caldas,away,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,25.0,20.0,3.0,1.0,0.0,,,,,72.0,29.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,Once Caldas,away,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000.0,"{'value': 570000, 'currency': 'EUR'}",,Jefry Zapata,,14,False,19.0,18.0,1.0,1.0,0.0,,,,,55.0,33.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",1.0,,,,5.0,3.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,5.0,2.0,1.0,,,,Once Caldas,away,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400.0,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,28.0,23.0,2.0,,0.0,,,,,55.0,46.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",3.0,,,,2.0,7.0,1.0,1.0,2.0,,5.0,,,,,,,,1.0,,,,,,Once Caldas,away,
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000.0,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,9.0,7.0,,,0.0,,,,,90.0,20.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,1.0,1.0,4.0,4.0,1.0,,1.0,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,Once Caldas,away,
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178.0,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800.0,"{'value': 95000, 'currency': 'EUR'}",,,,17,False,15.0,13.0,1.0,1.0,0.0,,,,,90.0,23.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,,1.0,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,2.0,2.0,1.0,True,Once Caldas,away,
Jaider Riquett,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600.0,"{'value': 215000, 'currency': 'EUR'}",,,,18,True,24.0,22.0,1.0,,0.0,,,,,29.0,25.0,5.5,2.0,"{'original': 5.5, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,,,,Once Caldas,away,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800.0,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,6.0,3.0,4.0,1.0,0.0,,,,,35.0,20.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",5.0,2.0,,,,2.0,,2.0,,,2.0,,1.0,,,1.0,,,,,,,,,Once Caldas,away,
Manuel Arteaga,manuel-arteaga,M. Arteaga,M,31,167.0,15,922464,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919987200.0,"{'value': 205000, 'currency': 'EUR'}",,,,31,True,16.0,13.0,2.0,2.0,0.0,,,,,35.0,23.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,1.0,,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,Once Caldas,away,
Juan García,juan-garcia,J. García,M,2,185.0,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400.0,"{'value': 155000, 'currency': 'EUR'}",,,,2,True,1.0,1.0,,,0.0,,,,,18.0,2.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,3.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,Once Caldas,away,
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800.0,"{'value': 310000, 'currency': 'EUR'}",,,,16,True,1.0,1.0,,,0.0,,,,,18.0,2.0,7.0,,"{'original': 7, 'alternative': None}",,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,Once Caldas,away,1.0
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200.0,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,
