name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,fouls,penaltyConceded,wasFouled,aerialLost,challengeLost,blockedScoringAttempt,keyPass,shotOffTarget,onTargetScoringAttempt,totalOffside,captain,team,teamType,goals,penaltyWon
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,39.0,31.0,6.0,2.0,0.0,,,90.0,51.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,1.0,,2.0,,,,9.0,1.0,1.0,1.0,,,,,,,,,,,,Millonarios,away,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,35.0,26.0,5.0,2.0,0.0,,,90.0,50.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,8.0,5.0,,2.0,1.0,3.0,,,1.0,3.0,,,1.0,3.0,,,,,,,Millonarios,away,,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",Dewar Victoria,,,8,False,32.0,28.0,4.0,3.0,0.0,,,90.0,39.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,,,,,Millonarios,away,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,38.0,32.0,3.0,1.0,0.0,,,90.0,55.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",2.0,,,2.0,5.0,,2.0,2.0,2.0,,2.0,,1.0,,3.0,1.0,,,1.0,,,,,Millonarios,away,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}",Daniel Ruiz,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",18,False,23.0,18.0,,,0.0,,,89.0,35.0,8.8,6.0,"{'original': 8.8, 'alternative': None}",1.0,1.0,,2.0,4.0,,2.0,1.0,,,,2.0,1.0,,1.0,,,,,2.0,3.0,,,Millonarios,away,2.0,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",Néyser Villarreal,,,88,False,10.0,10.0,,,0.0,,,82.0,23.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,,,6.0,4.0,1.0,2.0,,1.0,,1.0,,3.0,,4.0,1.0,,1.0,1.0,,,,,Millonarios,away,,1.0
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",Kevin Palacios,,,77,False,29.0,18.0,1.0,,0.0,,,82.0,47.0,6.8,16.0,"{'original': 6.8, 'alternative': None}",,,1.0,6.0,5.0,2.0,2.0,,1.0,,,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,,Millonarios,away,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,Luis Marimón,,,43,False,10.0,8.0,,,0.0,,,64.0,19.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,2.0,5.0,6.0,1.0,,,,,,3.0,1.0,,1.0,3.0,,,,,,,,Millonarios,away,,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,4.0,2.0,,,0.0,,,26.0,10.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,2.0,3.0,,1.0,,,,,2.0,1.0,,1.0,,,,,,,1.0,,Millonarios,away,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",10,True,7.0,6.0,,,0.0,,,8.0,10.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,Millonarios,away,,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,141,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,True,3.0,2.0,,,0.0,,,8.0,8.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,3.0,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,Millonarios,away,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",13,True,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
