name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,goals,totalTackle,wasFouled,fouls,keyPass,interceptionWon,wonContest,blockedScoringAttempt,aerialWon,shotOffTarget,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock
Brayan Carabalí,,,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,2,False,36.0,28.0,7.0,2.0,0.0,4.0,,90.0,47.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,4.0,,,,,,2.0,1.0,,,,,,1.0,,,,Deportivo Pasto,away,,,3.0
Andrés Alarcón,Andrés Alarcón,,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,,24,False,25.0,24.0,5.0,4.0,0.0,3.0,,45.0,33.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,Deportivo Pasto,away,,,1.0
Joyce Ossa,Joyce Ossa,,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",,23,False,32.0,30.0,4.0,2.0,0.0,7.0,,90.0,45.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,,5.0,,,,,,1.0,3.0,,,1.0,,,1.0,,,,Deportivo Pasto,away,,,1.0
Edwin Velasco,,,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200,"{'value': 265000, 'currency': 'EUR'}",,21,False,26.0,22.0,2.0,1.0,0.0,5.0,,90.0,43.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",2.0,,,3.0,3.0,,1.0,1.0,,,2.0,1.0,1.0,,1.0,,,,,,,Deportivo Pasto,away,,,
Déinner Quiñones,,,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,70,False,14.0,12.0,1.0,,0.0,1.0,,72.0,34.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,,,2.0,6.0,,1.0,3.0,,,1.0,3.0,1.0,,,2.0,,,,1.0,,Deportivo Pasto,away,,,
Felipe Jaramillo,,,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,17,False,51.0,41.0,5.0,2.0,0.0,,,90.0,57.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",,,1.0,3.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,Deportivo Pasto,away,,,
Juan Castilla,,,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,13,False,24.0,21.0,2.0,,0.0,1.0,,64.0,34.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,4.0,,,,,,1.0,3.0,,,1.0,,,,,,,Deportivo Pasto,away,,,
Gustavo Torres,,,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,9,False,7.0,7.0,1.0,1.0,0.0,1.0,,45.0,18.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,2.0,6.0,,,3.0,,,2.0,3.0,,,,1.0,,,1.0,,,Deportivo Pasto,away,,,
Facundo Boné,,,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,77,False,19.0,15.0,2.0,,0.0,1.0,,64.0,25.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,1.0,6.0,4.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,,,,2.0,,1.0,,Deportivo Pasto,away,,,
Mauricio Castaño,Mauricio Castaño,,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",,20,True,18.0,11.0,4.0,,0.0,1.0,,45.0,22.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,Deportivo Pasto,away,,,
Diego Castillo,Diego Castillo,,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",,19,True,10.0,7.0,,,0.0,,,45.0,16.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",3.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,Deportivo Pasto,away,,,
Gustavo Charrupi,,,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,8,True,12.0,11.0,3.0,2.0,0.0,,,26.0,18.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,,4.0,,,2.0,,,1.0,1.0,,,,2.0,,,,,,Deportivo Pasto,away,,,
Ray Vanegas,,,ray-vanegas,R. Vanegas,F,11,176.0,27,355864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,731894400,"{'value': 48000, 'currency': 'EUR'}",,11,True,2.0,2.0,,,0.0,,,22.0,5.0,6.1,1.0,"{'original': 6.1, 'alternative': None}",,,,2.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,Deportivo Pasto,away,,,
Nicolás Morínigo,,,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,27,True,2.0,1.0,,,0.0,,,18.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,,,,1.0,,,,,,,,,,Deportivo Pasto,away,,,
Kevin Lopez,Kevin Lopez,,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,
Gonzalo Ritacco,,,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,
