name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,totalContest,blockedScoringAttempt,interceptionWon,penaltyConceded,fouls,keyPass,duelWon,shotOffTarget,onTargetScoringAttempt,totalTackle,aerialLost,dispossessed,wonContest,outfielderBlock,challengeLost,wasFouled,goals,aerialWon,totalOffside,penaltyWon,captain,team,teamType,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,False,36.0,32.0,3.0,3.0,0.0,3.0,,90.0,45.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,4.0,2.0,,1.0,,2.0,1.0,2.0,2.0,,1.0,,,,,,,,1.0,,,,Millonarios,away,,,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,False,21.0,17.0,1.0,,0.0,,,45.0,26.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,Millonarios,away,,,,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,8.0,8.0,1.0,1.0,0.0,,,64.0,20.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,,1.0,,,,,,6.0,,,2.0,,,1.0,,,3.0,,,,,,Millonarios,away,,,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,9.0,7.0,2.0,1.0,0.0,,,90.0,18.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,,2.0,1.0,,,,,,3.0,,1.0,,,1.0,,1.0,,2.0,1.0,1.0,,1.0,,Millonarios,away,,,,
Carlos Sarabia,carlos-sarabia,C. Sarabia,D,2,,101,1888931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1118620800,,,Carlos Sarabia,,2,True,5.0,2.0,2.0,1.0,0.0,1.0,,45.0,11.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,2.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,Millonarios,away,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,True,17.0,15.0,2.0,1.0,0.0,,,44.0,23.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,,,,,,,,1.0,2.0,,,,,,,,,2.0,,,,,,Millonarios,away,,,,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,True,7.0,6.0,,,0.0,,,26.0,15.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,5.0,3.0,1.0,,,,,3.0,,,2.0,2.0,1.0,1.0,,,,,,,,,Millonarios,away,,,,
Felix Charrupí,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000,"{'value': 760000, 'currency': 'EUR'}",,,,7,True,10.0,6.0,1.0,,0.0,2.0,,26.0,14.0,5.9,4.0,"{'original': 5.9, 'alternative': None}",,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,Millonarios,away,,,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,True,2.0,2.0,,,0.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
