name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,fouls,aerialWon,duelWon,dispossessed,blockedScoringAttempt,outfielderBlock,keyPass,accurateCross,totalContest,wonContest,shotOffTarget,totalTackle,wasFouled,onTargetScoringAttempt,goals,hitWoodwork,totalOffside,captain,team,teamType,fieldTranslations,saves,penaltyConceded
Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800,"{'value': 145000, 'currency': 'EUR'}",Jhildrey Lasso,,33,False,21.0,19.0,1.0,1.0,0.0,3.0,,81.0,36.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",3.0,2.0,2.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,Llaneros FC,away,,,
Bryan Urueña,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600,"{'value': 240000, 'currency': 'EUR'}",,,10,False,67.0,59.0,8.0,6.0,0.0,,,90.0,85.0,7.3,19.0,"{'original': 7.3, 'alternative': None}",10.0,,1.0,,,,,3.0,1.0,,,3.0,1.0,2.0,2.0,,,1.0,,,,,True,Llaneros FC,away,,,
Eyder Restrepo,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600,"{'value': 265000, 'currency': 'EUR'}",,,5,False,49.0,44.0,1.0,1.0,0.0,,,81.0,55.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,,,2.0,,,,,,1.0,,,1.0,1.0,,,,,,Llaneros FC,away,,,
Carlos Sierra,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800,"{'value': 280000, 'currency': 'EUR'}",,,14,False,23.0,23.0,,,0.0,,,64.0,33.0,6.4,,"{'original': 6.4, 'alternative': None}",,2.0,5.0,1.0,,3.0,,2.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,Llaneros FC,away,,,1.0
Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400,"{'value': 330000, 'currency': 'EUR'}",Duván Mosquera,,27,False,59.0,50.0,5.0,2.0,0.0,2.0,,90.0,77.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,,4.0,1.0,2.0,,1.0,8.0,3.0,,,,,3.0,3.0,,3.0,1.0,,,,,,Llaneros FC,away,,,
Michael Rangel,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400,"{'value': 190000, 'currency': 'EUR'}",,,9,False,16.0,12.0,,,0.0,,,90.0,26.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,2.0,2.0,,,,2.0,3.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,Llaneros FC,away,,,
Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600,"{'value': 240000, 'currency': 'EUR'}",Freddy Espinal,,11,False,14.0,9.0,2.0,,0.0,,,64.0,31.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",9.0,,,,,,1.0,3.0,,,,2.0,3.0,,,3.0,1.0,1.0,,,,,,Llaneros FC,away,,,
Jose Bernal,bernal-jose,J. Bernal,M,52,180.0,50,1499044,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1029801600,"{'value': 52000, 'currency': 'EUR'}",José Bernal,,52,True,14.0,14.0,1.0,1.0,0.0,,,26.0,20.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,Llaneros FC,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. برنال', 'hi': 'J. Bernal', 'bn': 'জে বার্নাল'}}",,
Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600,"{'value': 285000, 'currency': 'EUR'}",Kener Valencia,,70,True,7.0,4.0,1.0,,0.0,,,26.0,9.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,Llaneros FC,away,,,
Anderson Mojica,anderson-mojica,A. Mojica,D,4,176.0,5,974190,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,900633600,"{'value': 24000, 'currency': 'EUR'}",,,4,True,12.0,8.0,5.0,4.0,0.0,,,15.0,19.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Roberto Hinojosa,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600,"{'value': 530000, 'currency': 'EUR'}",,,80,True,4.0,3.0,2.0,1.0,0.0,,,9.0,6.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,Llaneros FC,away,,,
Marlon Sierra,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600,"{'value': 97000, 'currency': 'EUR'}",,,6,True,10.0,8.0,1.0,,0.0,,,9.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,1.0,1.0,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Humberto Acevedo,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600,"{'value': 53000, 'currency': 'EUR'}",,,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Martín Marta,martin-marta,M. Marta,D,21,182.0,8,924977,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,854409600,"{'value': 365000, 'currency': 'EUR'}",,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
