name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,goals,totalClearance,totalTackle,wasFouled,fouls,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,totalOffside,aerialLost,blockedScoringAttempt,wonContest,accurateCross,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,clearanceOffLine
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,,,3,False,31.0,24.0,7.0,3.0,0.0,90.0,43.0,7.0,7.0,,"{'original': 7, 'alternative': None}",,1.0,1.0,,,,,,8.0,1.0,,,,1.0,1.0,,,1.0,,,,True,Deportes Tolima,away,,,,,
Marlon Torres,marlon-torres,M. Torres,D,17,180,43,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,,,17,False,39.0,36.0,2.0,1.0,0.0,90.0,46.0,7.1,3.0,,"{'original': 7.1, 'alternative': None}",,,4.0,,,,,,2.0,2.0,1.0,,1.0,,2.0,,,,,,,,Deportes Tolima,away,,,,,
Junior Hernández,junior-hernandez,J. Hernández,D,20,172,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",,,20,False,22.0,20.0,2.0,1.0,0.0,79.0,40.0,7.3,8.0,,"{'original': 7.3, 'alternative': None}",4.0,4.0,4.0,,1.0,1.0,,,3.0,2.0,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,Deportes Tolima,away,,,,,1.0
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,26.0,24.0,3.0,3.0,0.0,90.0,35.0,7.0,6.0,,"{'original': 7, 'alternative': None}",1.0,2.0,2.0,,1.0,1.0,,,,2.0,,,,,1.0,1.0,,,,,1.0,,Deportes Tolima,away,,,,,
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,35.0,32.0,2.0,1.0,0.0,90.0,46.0,7.0,4.0,1.0,"{'original': 7, 'alternative': None}",1.0,1.0,4.0,,,,,,2.0,1.0,1.0,,2.0,,,2.0,,1.0,,,1.0,,Deportes Tolima,away,,,,,
Alex Castro,alex-castro,A. Castro,M,23,170,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,26.0,22.0,3.0,2.0,0.0,61.0,38.0,6.1,13.0,,"{'original': 6.1, 'alternative': None}",3.0,8.0,,1.0,3.0,1.0,,,1.0,,,2.0,,,,,,1.0,,,,,Deportes Tolima,away,,,,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171,135,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,,,25,False,31.0,25.0,1.0,1.0,0.0,61.0,34.0,6.4,9.0,,"{'original': 6.4, 'alternative': None}",,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,Deportes Tolima,away,,,,,
Kevin Pérez,kevin-perez,K. Pérez,M,18,170,39,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,,,18,False,31.0,25.0,1.0,1.0,0.0,75.0,40.0,6.6,8.0,,"{'original': 6.6, 'alternative': None}",,7.0,4.0,1.0,1.0,2.0,,,1.0,1.0,2.0,2.0,,,1.0,,,2.0,,1.0,,,Deportes Tolima,away,,,,,
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178,504,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,13.0,7.0,,,0.0,74.0,17.0,6.4,8.0,,"{'original': 6.4, 'alternative': None}",,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,Deportes Tolima,away,,,,,
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",Samuel Velásquez,,33,True,4.0,4.0,,,0.0,29.0,14.0,6.7,4.0,,"{'original': 6.7, 'alternative': None}",1.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,Deportes Tolima,away,,,,,
Jersson González,jersson-gonzalez,J. González,M,7,172,87,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,,,7,True,3.0,2.0,,,0.0,29.0,11.0,6.3,7.0,,"{'original': 6.3, 'alternative': None}",,4.0,2.0,,2.0,1.0,,,,,2.0,,,,,,,1.0,,,,,Deportes Tolima,away,,,,,
Adrián Parra,adrian-parra,A. Parra,F,24,178,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,,,24,True,3.0,1.0,,,0.0,16.0,5.0,6.5,2.0,,"{'original': 6.5, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,1.0,,,,Deportes Tolima,away,,,,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,,,6,True,2.0,1.0,,,0.0,15.0,3.0,6.6,1.0,,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,1.0,,,,,,,,,,,,,Deportes Tolima,away,,,,,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,,,26,True,6.0,4.0,,,0.0,11.0,9.0,6.6,3.0,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
William Cuesta,william-cuesta,W. Cuesta,G,1,195,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
Jhon Quiñónes,jhon-quinones,J. Quiñónes,D,4,188,14,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,,Jhon Quiñónes,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
