name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,shotOffTarget,outfielderBlock,interceptionWon,wasFouled,fouls,challengeLost,totalTackle,keyPass,totalCross,accurateCross,dispossessed,totalContest,totalOffside,wonContest,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,captain,team,teamType,blockedScoringAttempt
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,38.0,24.0,9.0,1.0,0.0,2.0,4.0,1.0,,,,,64.0,49.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,3.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,América de Cali,away,
Omar Bertel,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",,,,31,False,17.0,12.0,1.0,,0.0,,,,,,,,64.0,31.0,6.0,9.0,"{'original': 6, 'alternative': None}",2.0,5.0,,,2.0,,,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,América de Cali,away,
Luis Alejandro Paz,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000.0,"{'value': 47000, 'currency': 'EUR'}",,,,19,False,21.0,19.0,4.0,2.0,0.0,,1.0,,,,,,45.0,26.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",2.0,3.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,True,América de Cali,away,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,False,7.0,3.0,,,0.0,,3.0,,,,,,45.0,16.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,,,,1.0,2.0,,2.0,,,,2.0,,,,,,,,,América de Cali,away,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,30.0,27.0,4.0,3.0,0.0,1.0,5.0,,,,,,90.0,41.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",2.0,5.0,,,1.0,,2.0,,4.0,2.0,,,1.0,,,,,,1.0,,,América de Cali,away,1.0
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,28.0,27.0,2.0,2.0,0.0,,4.0,,,,,,71.0,46.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,4.0,,,,2.0,2.0,,2.0,2.0,7.0,4.0,,1.0,,,,,1.0,,,América de Cali,away,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000.0,"{'value': 1200000, 'currency': 'EUR'}",,,,7,False,26.0,20.0,,,0.0,1.0,5.0,,,,,,90.0,44.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,6.0,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,,,,,,América de Cali,away,1.0
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",,,,22,False,18.0,15.0,,,0.0,1.0,3.0,,,,,,90.0,27.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",4.0,5.0,,,,2.0,,,,4.0,,,,1.0,,,,,1.0,,,América de Cali,away,1.0
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,,,16,True,20.0,16.0,1.0,,0.0,,2.0,1.0,,,,,45.0,38.0,7.0,10.0,"{'original': 7, 'alternative': None}",,1.0,5.0,,1.0,2.0,,,,1.0,3.0,,1.0,,,,,,,,,América de Cali,away,1.0
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,17.0,8.0,,,0.0,3.0,6.0,,,,,,45.0,34.0,7.2,17.0,"{'original': 7.2, 'alternative': None}",4.0,7.0,,,,2.0,1.0,,1.0,2.0,3.0,,2.0,,1.0,,,,2.0,,,América de Cali,away,
Daniel Bocanegra,daniel-bocanegra,D. Bocanegra,D,2,182.0,143,123272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,546134400.0,"{'value': 46000, 'currency': 'EUR'}",,,,2,True,13.0,9.0,3.0,1.0,0.0,,1.0,,,,,,26.0,17.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,1.0,,,,,,,,,,,,,América de Cali,away,1.0
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,12.0,10.0,2.0,2.0,0.0,,,2.0,,,,,26.0,16.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,,América de Cali,away,
Joel Romero,joel-romero,J. Romero,M,33,174.0,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000.0,,,Joel Romero,,33,True,19.0,16.0,1.0,1.0,0.0,,2.0,,,,,,19.0,24.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,América de Cali,away,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187.0,55,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600.0,,,Kevin Angulo,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,
