name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,dispossessed,outfielderBlock,challengeLost,totalContest,blockedScoringAttempt,onTargetScoringAttempt,goals,bigChanceCreated,accurateCross,captain,team,teamType,wonContest,errorLeadToAGoal,totalOffside
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,6,False,44.0,42.0,5.0,3.0,0.0,1.0,,,,70.0,48.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",1.0,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,Deportivo Cali,away,,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,22.0,19.0,,,0.0,3.0,,,,90.0,40.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",6.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,Deportivo Cali,away,,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,39.0,30.0,2.0,2.0,0.0,,,,,90.0,72.0,7.9,21.0,"{'original': 7.9, 'alternative': None}",7.0,1.0,2.0,6.0,11.0,,3.0,2.0,5.0,1.0,,3.0,,,3.0,1.0,1.0,,,3.0,,Deportivo Cali,away,2.0,,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,12,False,37.0,33.0,5.0,3.0,0.0,1.0,,,,90.0,44.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,1.0,,3.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,Deportivo Cali,away,,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,23,False,29.0,25.0,2.0,1.0,0.0,1.0,,,,58.0,34.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,Deportivo Cali,away,,,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 420000, 'currency': 'EUR'}",,5,False,8.0,8.0,,,0.0,,,,,23.0,10.0,4.9,1.0,"{'original': 4.9, 'alternative': None}",,,,2.0,1.0,,,1.0,,2.0,,,,,,,,,,,,Deportivo Cali,away,,1.0,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,65.0,56.0,16.0,12.0,0.0,2.0,,,,90.0,81.0,7.6,14.0,"{'original': 7.6, 'alternative': None}",6.0,1.0,1.0,2.0,3.0,1.0,,2.0,,,3.0,1.0,,,,,,,,2.0,,Deportivo Cali,away,,,
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,190.0,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600.0,"{'value': 1300000, 'currency': 'EUR'}",,9,False,22.0,16.0,3.0,2.0,0.0,,,,,70.0,32.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",3.0,,1.0,3.0,1.0,2.0,,,,2.0,1.0,,,,1.0,,,,,1.0,,Deportivo Cali,away,,,1.0
Jaider Moreno,,,moreno-jaider,J. Moreno,F,31,180.0,41,1616362,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,"{'value': 165000, 'currency': 'EUR'}",,31,True,15.0,14.0,,,0.0,,,,,67.0,23.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,3.0,4.0,,,,4.0,1.0,,2.0,,,,2.0,,,,,,Deportivo Cali,away,,,2.0
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,44,True,23.0,19.0,3.0,1.0,0.0,,,,,32.0,30.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",1.0,,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,Deportivo Cali,away,,,
Dairon Valencia,,,dairon-valencia,D. Valencia,M,80,,18,973718,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930700800.0,"{'value': 52000, 'currency': 'EUR'}",,80,True,14.0,8.0,3.0,1.0,0.0,,,,,32.0,21.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",2.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,Deportivo Cali,away,,,
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200.0,"{'value': 46000, 'currency': 'EUR'}",,13,True,23.0,18.0,8.0,4.0,0.0,,,,,20.0,33.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,3.0,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,Deportivo Cali,away,,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,True,16.0,11.0,1.0,,0.0,,,,,20.0,18.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,,,,1.0,,,,,,,,,1.0,,,,,,Deportivo Cali,away,,,
Jose Silva,,,jose-silva,J. Silva,G,40,189.0,11,351380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,771379200.0,"{'value': 54000, 'currency': 'EUR'}",,40,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,
Francisco Meza,,,francisco-meza,F. Meza,D,21,187.0,65,162493,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,683424000.0,"{'value': 260000, 'currency': 'EUR'}",,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,
