name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,bigChanceCreated,blockedScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,keyPass,aerialWon,interceptionWon,dispossessed,shotOffTarget,totalOffside,onTargetScoringAttempt,goals,captain,team,teamType,goodHighClaim,outfielderBlock
Rafael Pérez,rafael-perez,R. Pérez,D,2,186.0,86,355846,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,631843200.0,"{'value': 375000, 'currency': 'EUR'}",,,,2,False,23.0,15.0,4.0,1.0,0.0,2.0,1.0,,,,90.0,39.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,,,,7.0,2.0,,,,,,,1.0,,,,,Unión Magdalena,away,,1.0
Martín Payares,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",,,,5,False,28.0,18.0,10.0,5.0,0.0,8.0,1.0,,,,90.0,45.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,,2.0,3.0,,,,10.0,4.0,,,,4.0,2.0,,,,,,,Unión Magdalena,away,,
Dairon Mosquera,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",,,,30,False,14.0,8.0,1.0,,0.0,7.0,1.0,,,,90.0,45.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,,5.0,2.0,,,3.0,5.0,2.0,2.0,,,3.0,,,,,,,Unión Magdalena,away,,2.0
Fabián Cantillo,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",,,,24,False,15.0,12.0,,,0.0,3.0,,,,,90.0,28.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,1.0,7.0,2.0,,,2.0,1.0,2.0,4.0,,,2.0,1.0,,,,,,Unión Magdalena,away,,1.0
Cristian Sención,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",,,,16,False,23.0,14.0,5.0,1.0,0.0,4.0,,,,,90.0,33.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",1.0,,,2.0,1.0,,,3.0,,2.0,1.0,1.0,2.0,2.0,,1.0,,1.0,,,Unión Magdalena,away,,
Jannenson Sarmiento,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",,,,10,False,26.0,16.0,4.0,1.0,1.0,1.0,2.0,1.0,,,90.0,43.0,7.4,18.0,"{'original': 7.4, 'alternative': None}",6.0,2.0,,3.0,1.0,1.0,,1.0,,,,4.0,,1.0,1.0,1.0,2.0,1.0,,True,Unión Magdalena,away,,
Valentin Sanchez,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,Valentin Sanchez,,,8,False,25.0,15.0,2.0,1.0,0.0,2.0,3.0,1.0,,,61.0,34.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",1.0,,,4.0,,,,,,1.0,2.0,,,,,,,,,,Unión Magdalena,away,,
Juan José Tello,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,Juan José Tello,,,26,False,14.0,10.0,2.0,1.0,0.0,3.0,2.0,1.0,,,79.0,28.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,,6.0,1.0,,,2.0,1.0,,3.0,,1.0,1.0,1.0,,,1.0,,,Unión Magdalena,away,,1.0
Ricardo Márquez,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",,,,21,False,15.0,10.0,2.0,,0.0,5.0,1.0,,,,61.0,27.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",,,2.0,7.0,,,,,2.0,1.0,3.0,1.0,2.0,,1.0,,2.0,3.0,1.0,,Unión Magdalena,away,,
Ruyery Blanco,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800.0,"{'value': 230000, 'currency': 'EUR'}",,,,17,True,5.0,3.0,,,0.0,3.0,1.0,,,,29.0,12.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,4.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,Unión Magdalena,away,,
Kleber Díaz,kleber-diaz,K. Díaz,F,19,,3,2040668,{},EUR,1073952000.0,,Kleber Díaz,,,9,True,4.0,1.0,1.0,,0.0,1.0,,,,,29.0,6.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,1.0,,1.0,,,,,,,,,,Unión Magdalena,away,,
Óscar Vanegas,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",,,,33,True,2.0,1.0,2.0,1.0,0.0,,,,,,20.0,5.0,6.0,2.0,"{'original': 6, 'alternative': None}",,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,Unión Magdalena,away,,
Freddy Molina,molina-freddy,F. Molina,D,18,,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,,,,18,True,2.0,2.0,,,0.0,1.0,,,,,11.0,2.0,6.2,,"{'original': 6.2, 'alternative': None}",,,,1.0,1.0,,,,,,,,1.0,,,,,,,,Unión Magdalena,away,,
Guillermo Gómez,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",Guillermo Gómez,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
José Mercado,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",José Mercado,,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
Juan Diego Giraldo,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",,,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
