name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,totalContest,totalClearance,totalTackle,aerialLost,dispossessed,outfielderBlock,interceptionWon,keyPass,blockedScoringAttempt,fouls,accurateCross,shotOffTarget,onTargetScoringAttempt,penaltyConceded,wonContest,goals,bigChanceCreated,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,challengeLost,penaltyWon,bigChanceMissed,totalOffside,penaltyMiss
Deyson Copete,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400.0,"{'value': 145000, 'currency': 'EUR'}",,Deyson David,Copete Cuesta,33,False,20.0,15.0,6.0,3.0,0.0,7.0,2.0,,,60.0,36.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,2.0,,,5.0,,,,2.0,,1.0,2.0,,,1.0,,,,,,Deportivo La Equidad,away,,,,,,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,41.0,34.0,6.0,3.0,0.0,2.0,1.0,,,90.0,53.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,1.0,,4.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,Deportivo La Equidad,away,,,,,,,
Yeider García,yeider-garcia,Y. García,,22,,2,2155362,{},EUR,,,,Yeider García,,22,False,14.0,11.0,2.0,1.0,0.0,,,,,45.0,15.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,21.0,18.0,2.0,2.0,0.0,5.0,4.0,,,61.0,34.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,6.0,1.0,,,,2.0,,,2.0,,3.0,2.0,,,,,,,,Deportivo La Equidad,away,,,,,,,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,Fabian Chaverra,,28,False,16.0,14.0,,,0.0,1.0,1.0,,,90.0,27.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,,4.0,,,,1.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,,Deportivo La Equidad,away,,,,1.0,,,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,False,9.0,9.0,,,0.0,2.0,1.0,,,67.0,21.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,,,,,,,,,1.0,1.0,,,3.0,,,,,,,Deportivo La Equidad,away,,,,,1.0,1.0,1.0
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,,Santiago López,,25,True,14.0,11.0,1.0,,0.0,3.0,,,,56.0,26.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,3.0,,1.0,3.0,1.0,,,1.0,,,2.0,,1.0,,,,,,,Deportivo La Equidad,away,,,,,1.0,,
Jefferson Asprilla,jefferson-asprilla,J. Asprilla,F,37,,5,1855838,{},EUR,,,,Jefferson Asprilla,,37,True,8.0,7.0,,,0.0,2.0,1.0,,,45.0,17.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,Deportivo La Equidad,away,,,,,,,
Deivid Castro,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Deivid Castro,,15,True,16.0,13.0,4.0,2.0,0.0,1.0,,,,30.0,21.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,3.0,1.0,,,1.0,,,,,,,,,,,,,Deportivo La Equidad,away,,,,,,,
Carlos Paternina,paternina-carlos,C. Paternina,M,10,163.0,13,1175236,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987033600.0,,,,,18,True,14.0,9.0,1.0,,0.0,1.0,1.0,,,29.0,20.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,Deportivo La Equidad,away,,,,,,,
Mateo Santamaria,mateo-santamaria,M. Santamaria,M,34,,5,2038233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1125705600.0,,,Mateo Santamaria,,34,True,9.0,8.0,,,0.0,1.0,1.0,,,23.0,13.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,,,,1.0,,2.0,,,,,,,Deportivo La Equidad,away,,,,,,,
Nacho Carrasco,nacho-carrasco,N. Carrasco,,23,,2,2148150,{},EUR,,,,Nacho Carrasco,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,,,,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Miguel Amaya,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,,,,
