name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,challengeLost,totalClearance,outfielderBlock,aerialLost,blockedScoringAttempt,ownGoals,dispossessed,onTargetScoringAttempt,wonContest,accurateCross,bigChanceMissed,penaltyMiss,totalOffside,captain,team,teamType,fieldTranslations,penaltySave,penaltyConceded
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,2,False,18.0,17.0,3.0,3.0,0.0,,,90.0,29.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,2.0,3.0,,1.0,,,2.0,1.0,,1.0,,4.0,1.0,,,,1.0,,,,,,,True,Atlético Bucaramanga,away,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}",,,8,False,38.0,28.0,7.0,2.0,0.0,,,90.0,60.0,6.7,16.0,"{'original': 6.7, 'alternative': None}",1.0,5.0,4.0,1.0,,5.0,3.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,1.0
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,7,False,16.0,12.0,,,0.0,,,90.0,27.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",4.0,2.0,3.0,3.0,,,,1.0,,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,Atlético Bucaramanga,away,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,22,False,39.0,31.0,1.0,1.0,0.0,,,90.0,51.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",,2.0,4.0,,1.0,2.0,4.0,,2.0,,,,3.0,1.0,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,28,False,35.0,30.0,2.0,,0.0,,,89.0,48.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",2.0,5.0,3.0,1.0,1.0,,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,2.0,1.0,,,,,2.0,,,,,Atlético Bucaramanga,away,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,15,False,26.0,22.0,4.0,3.0,0.0,,,60.0,31.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",,,10,False,38.0,31.0,2.0,1.0,0.0,,,89.0,57.0,7.6,14.0,"{'original': 7.6, 'alternative': None}",1.0,7.0,7.0,,1.0,1.0,2.0,5.0,5.0,4.0,,1.0,,,,,,1.0,1.0,,1.0,,,,,Atlético Bucaramanga,away,,,
Andrés Ponce,andres-ponce,A. Ponce,F,9,182.0,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400,"{'value': 465000, 'currency': 'EUR'}",,,9,False,10.0,6.0,,,0.0,,,80.0,22.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",,10.0,1.0,2.0,1.0,,,,2.0,,,,,,8.0,,,,,1.0,,,,,,Atlético Bucaramanga,away,,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400,"{'value': 54000, 'currency': 'EUR'}",,,25,True,10.0,10.0,3.0,3.0,0.0,,,30.0,13.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,3.0,,,,,,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,11,True,4.0,2.0,,,0.0,,,10.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}",,,70,True,2.0,1.0,,,0.0,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,20,True,,,,,0.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Juan Mosquera,juan-camilo-mosquera,J. Mosquera,D,14,187.0,54,1174008,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800,"{'value': 215000, 'currency': 'EUR'}",Juan Camilo Mosquera,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200,"{'value': 49000, 'currency': 'EUR'}",,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
