name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,outfielderBlock,totalTackle,wasFouled,keyPass,aerialLost,totalContest,fouls,aerialWon,shotOffTarget,interceptionWon,dispossessed,onTargetScoringAttempt,totalOffside,wonContest,ownGoals,captain,team,teamType,fieldTranslations,bigChanceCreated,blockedScoringAttempt,hitWoodwork,goals,bigChanceMissed
Marcos Mina,,,marcos-mina,M. Mina,D,14,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200.0,"{'value': 580000, 'currency': 'EUR'}",163.0,14,False,28.0,21.0,3.0,1.0,0.0,4.0,,,,90.0,44.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,2.0,3.0,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,América de Cali,away,,,,,,
Rafael Carrascal,,,rafael-carrascal,R. Carrascal,M,15,256,818936,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,722736000.0,"{'value': 325000, 'currency': 'EUR'}",173.0,15,False,64.0,58.0,8.0,5.0,0.0,2.0,,,,82.0,78.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",,,3.0,6.0,,,3.0,3.0,3.0,,1.0,1.0,,,,1.0,,,,,,América de Cali,away,,1.0,1.0,,,
Sebastián Navarro,,,sebastian-navarro,S. Navarro,M,21,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",186.0,21,False,66.0,60.0,3.0,2.0,0.0,1.0,,,,90.0,74.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,1.0,5.0,,,,3.0,,,1.0,,2.0,,,,,,,,,América de Cali,away,,,,,,
Joel Romero,Joel Romero,,joel-romero,J. Romero,M,33,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000.0,,174.0,33,False,26.0,24.0,,,0.0,,,,,59.0,33.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,4.0,2.0,1.0,,2.0,,1.0,2.0,,1.0,,,2.0,,,,,,,América de Cali,away,,,,,,
Juan Fernando Quintero,,,juan-quintero,J. F. Quintero,M,8,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200.0,"{'value': 2600000, 'currency': 'EUR'}",168.0,8,False,57.0,43.0,10.0,6.0,0.0,,,,,90.0,75.0,8.6,20.0,"{'original': 8.6, 'alternative': None}",2.0,1.0,2.0,4.0,,,,2.0,3.0,,3.0,,,3.0,,1.0,3.0,,2.0,,,América de Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",,1.0,1.0,1.0,
Duván Vergara,,,duvan-vergara,D. Vergara,M,11,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",173.0,11,False,34.0,30.0,5.0,3.0,0.0,,,,,83.0,50.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",4.0,2.0,2.0,2.0,,,,2.0,1.0,,1.0,1.0,,1.0,,,3.0,,,,True,América de Cali,away,,,,,,1.0
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",179.0,22,False,19.0,17.0,1.0,1.0,0.0,,,,,59.0,31.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,2.0,2.0,,,1.0,,2.0,,1.0,2.0,,1.0,,,,2.0,1.0,,,América de Cali,away,,,1.0,,,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",178.0,17,True,12.0,9.0,1.0,,1.0,,,,,31.0,18.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,América de Cali,away,,,,,,
Luis Ramos,,,luis-ramos,L. Ramos,F,9,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",175.0,9,True,7.0,5.0,,,0.0,,,,,31.0,10.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,,,,,,1.0,,,2.0,1.0,,,,,,,,América de Cali,away,,,,,,
Andrés Mosquera,,,andres-mosquera,A. Mosquera,D,4,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",178.0,4,True,4.0,4.0,1.0,1.0,0.0,,,,,9.0,4.0,6.5,,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,América de Cali,away,,,,,,
José Cavadia,,,cavadia,J. Cavadia,M,29,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",177.0,29,True,4.0,4.0,,,0.0,1.0,,,,8.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Luis Gómez,,,luis-gomez,L. Gómez,F,16,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",173.0,16,True,4.0,3.0,,,0.0,,,,,10.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,,,1.0,,,,,,,,,,América de Cali,away,,,,,,
Santiago Silva,,,silva-santiago,S. Silva,G,27,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}",190.0,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,,,
Cristian Tovar,,,cristian-tovar,C. Tovar,D,6,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800.0,"{'value': 470000, 'currency': 'EUR'}",182.0,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",,,,,
