name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,interceptionWon,wasFouled,fouls,keyPass,aerialWon,totalTackle,blockedScoringAttempt,outfielderBlock,wonContest,bigChanceMissed,shotOffTarget,goals,penaltyWon,bigChanceCreated,totalOffside,challengeLost,captain,team,teamType,penaltyConceded,savedShotsFromInsideTheBox
Stalin Valencia,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",Stalin Valencia,,,4,False,37.0,32.0,4.0,2.0,0.0,4.0,,,,90.0,48.0,6.1,7.0,"{'original': 6.1, 'alternative': None}",,,1.0,2.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,Fortaleza CEIF,away,,
Enmanuel Arrechea,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,Enmanuel Arrechea,,,17,False,35.0,29.0,2.0,2.0,0.0,2.0,,,,90.0,56.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",2.0,,,3.0,4.0,1.0,,,3.0,1.0,2.0,,,3.0,,,,,,,,,,,,Fortaleza CEIF,away,,
David Barrera,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,,,25,False,14.0,13.0,,,0.0,,,,,45.0,19.0,6.1,5.0,"{'original': 6.1, 'alternative': None}",2.0,,1.0,6.0,,1.0,,,,,3.0,,,,,,,,,,,,,1.0,,Fortaleza CEIF,away,,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,,,14,False,55.0,51.0,2.0,2.0,0.0,,,,,90.0,63.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,1.0,4.0,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,Fortaleza CEIF,away,,
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,,,10,False,36.0,27.0,4.0,2.0,0.0,,,,,65.0,46.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,4.0,2.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,Fortaleza CEIF,away,,
Juan Pablo Díaz,juan-pablo-diaz,J. P. Díaz,M,20,,9,1019417,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,946684800.0,"{'value': 155000, 'currency': 'EUR'}",,,,20,False,20.0,14.0,3.0,1.0,0.0,,,,,57.0,24.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,2.0,5.0,1.0,,,,,,,,1.0,,,,,,,,,,,3.0,,Fortaleza CEIF,away,,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",Emilio Aristizábal,,,19,False,18.0,14.0,1.0,1.0,0.0,2.0,,,,79.0,33.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,1.0,5.0,6.0,1.0,2.0,,,4.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,Fortaleza CEIF,away,,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,,,22,True,17.0,12.0,3.0,1.0,0.0,,,,,45.0,24.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,Fortaleza CEIF,away,,
Sebastian Ramirez,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,,,,21,True,20.0,16.0,2.0,1.0,0.0,,,,,33.0,24.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,Fortaleza CEIF,away,,
Kelvin Florez,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",Kelvin Florez,,,16,True,4.0,2.0,,,0.0,,,,,25.0,10.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,1.0,2.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,Fortaleza CEIF,away,,
Carlos Gonzalez,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,Carlos Gonzalez,,,29,True,6.0,4.0,,,0.0,,,,,25.0,8.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,Fortaleza CEIF,away,,
Andrés Ricaurte,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",,,,8,True,8.0,8.0,,,0.0,,,,,11.0,12.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,,Fortaleza CEIF,away,,
Jordan García,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",Jordan García,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
Manuel Lasso,manuel-lasso,M. Lasso,D,2,188.0,4,2038232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1131062400.0,,Manuel Lasso,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,
