name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceCreated,totalTackle,fouls,keyPass,aerialLost,aerialWon,totalClearance,interceptionWon,shotOffTarget,outfielderBlock,onTargetScoringAttempt,wasFouled,blockedScoringAttempt,totalOffside,goals,captain,team,teamType,challengeLost,hitWoodwork,bigChanceMissed
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,33,False,23.0,18.0,4.0,2.0,0.0,,,45.0,33.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,2.0,5.0,,,,,1.0,1.0,,,1.0,,2.0,,,,3.0,,,,,Independiente Medellín,away,1.0,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,6,False,10.0,9.0,1.0,,0.0,,,45.0,12.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,Independiente Medellín,away,1.0,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,30.0,23.0,3.0,,0.0,,,65.0,35.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,5.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,Independiente Medellín,away,1.0,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,31,False,28.0,23.0,1.0,1.0,0.0,,,90.0,39.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,2.0,5.0,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,3.0,2.0,,,,Independiente Medellín,away,1.0,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,13,False,22.0,19.0,2.0,2.0,0.0,,,90.0,48.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,5.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,3.0,1.0,,,,,,,Independiente Medellín,away,1.0,1.0,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",,9,False,23.0,20.0,1.0,1.0,0.0,,,90.0,35.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,,5.0,4.0,2.0,,,,,1.0,4.0,2.0,1.0,,,1.0,,,3.0,1.0,,,,Independiente Medellín,away,,,1.0
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",,10,False,19.0,18.0,1.0,1.0,0.0,,,65.0,27.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",1.0,,,2.0,,,,,,,,,,,,2.0,,1.0,2.0,,,,,Independiente Medellín,away,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,41.0,31.0,6.0,2.0,0.0,,,90.0,44.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,True,Independiente Medellín,away,,,
Joaquin Varela,,,joaquin-varela,J. Varela,D,5,187.0,64,805213,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,898905600.0,"{'value': 685000, 'currency': 'EUR'}",,5,True,17.0,6.0,7.0,,0.0,,,45.0,25.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",1.0,,4.0,3.0,,,,,,,,4.0,2.0,4.0,1.0,,1.0,,1.0,,,,,Independiente Medellín,away,,,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400.0,"{'value': 265000, 'currency': 'EUR'}",,11,True,21.0,18.0,2.0,1.0,0.0,,,45.0,31.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",1.0,,3.0,3.0,,,,,2.0,1.0,4.0,2.0,1.0,,2.0,1.0,,,,,,,,Independiente Medellín,away,,,
Nezareth Segura,Nezareth Segura,,nezareth-segura,N. Segura,M,20,,7,2153449,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181520000.0,,,20,True,4.0,3.0,,,0.0,,,25.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,,,,Independiente Medellín,away,,,
Halam Loboa,Halam Loboa,,halam-loboa,H. Loboa,,16,,7,2147451,{},EUR,,,,16,True,6.0,6.0,1.0,1.0,0.0,,,25.0,7.0,6.5,,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,Independiente Medellín,away,,,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 160000, 'currency': 'EUR'}",,23,True,3.0,2.0,1.0,,0.0,,,15.0,4.0,6.0,1.0,"{'original': 6, 'alternative': None}",,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,Independiente Medellín,away,,,
Yimy Gómez,,,yimy-gomez,Y. Gómez,G,1,185.0,11,888100,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,933724800.0,"{'value': 235000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600.0,"{'value': 670000, 'currency': 'EUR'}",,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
