name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalContest,wonContest,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,aerialLost,blockedScoringAttempt,shotOffTarget,onTargetScoringAttempt,challengeLost,bigChanceMissed,dispossessed,bigChanceCreated,totalOffside,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,interceptionWon,outfielderBlock
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",Didier Dawson,,,7,False,12.0,7.0,1.0,,1.0,,,63.0,21.0,7.5,"{'original': 7.5, 'alternative': None}",,,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,,,1.0,1.0,2.0,,,1.0,,,,Envigado FC,away,,,2.0,
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,Daniel Arcila,,,26,False,12.0,9.0,2.0,,0.0,,,87.0,32.0,7.0,"{'original': 7, 'alternative': None}",3.0,,,7.0,4.0,3.0,1.0,,3.0,1.0,16.0,1.0,3.0,,,1.0,,,1.0,,,1.0,,Envigado FC,away,,,1.0,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,8.0,7.0,1.0,1.0,0.0,1.0,,72.0,15.0,7.3,"{'original': 7.3, 'alternative': None}",1.0,,1.0,2.0,2.0,,,1.0,,1.0,4.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,Envigado FC,away,,,,
John Araujo,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,Jhon Araujo,,,70,True,1.0,1.0,1.0,1.0,0.0,2.0,,27.0,7.0,6.3,"{'original': 6.3, 'alternative': None}",,,,5.0,1.0,2.0,,,1.0,2.0,2.0,,,,,,1.0,,,,,,,Envigado FC,away,,,1.0,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",Julián Palacio,,,6,True,3.0,1.0,1.0,,0.0,,,18.0,5.0,6.5,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,,,Envigado FC,away,,,,
Miguel Marulanda,miguel-marulanda,M. Marulanda,M,17,,8,2072991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Marulanda,,,38,True,1.0,,,,0.0,,,18.0,3.0,6.4,"{'original': 6.4, 'alternative': None}",,,,2.0,,,,,,2.0,3.0,,,,,,,,,,,,,Envigado FC,away,,,,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,Geindry Cuervo,,,15,True,1.0,,1.0,,0.0,,,10.0,1.0,6.4,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,Envigado FC,away,,,,
Nilzo Ramírez,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,,,,16,True,2.0,1.0,1.0,,0.0,,,10.0,4.0,6.4,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,3.0,,,,,,,,,,,,,Envigado FC,away,,,,
Andrés Tovar,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",Andrés Tovar,,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Carlos Torres,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",Carlos Torres,,,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
