name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,wasFouled,fouls,keyPass,aerialWon,outfielderBlock,totalTackle,challengeLost,totalOffside,onTargetScoringAttempt,dispossessed,wonContest,goals,captain,team,teamType,fieldTranslations
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",,,4,False,59.0,55.0,6.0,5.0,0.0,,,90.0,67.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,3.0,7.0,6.0,,,,,,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,Deportivo La Equidad,away,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600,"{'value': 340000, 'currency': 'EUR'}",,,24,False,68.0,66.0,6.0,5.0,0.0,,,90.0,72.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,4.0,3.0,,,,,,,,3.0,,2.0,,1.0,,,,,,,,Deportivo La Equidad,away,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",,,3,False,32.0,26.0,6.0,3.0,0.0,,,90.0,51.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",6.0,1.0,,2.0,3.0,,,,1.0,1.0,,,2.0,1.0,2.0,,1.0,,,,,,,True,Deportivo La Equidad,away,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800,"{'value': 335000, 'currency': 'EUR'}",,,16,False,31.0,24.0,2.0,2.0,1.0,,,90.0,45.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",2.0,,,2.0,7.0,2.0,,1.0,,,,3.0,,2.0,1.0,,2.0,,,,1.0,1.0,,,Deportivo La Equidad,away,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400,"{'value': 270000, 'currency': 'EUR'}",,,6,False,31.0,26.0,10.0,6.0,0.0,,,37.0,36.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,5.0,,,,,1.0,,2.0,1.0,,1.0,,2.0,,,,,,,,Deportivo La Equidad,away,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",,,14,False,61.0,53.0,11.0,8.0,0.0,,,90.0,72.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,,,2.0,5.0,,,,2.0,,1.0,3.0,1.0,2.0,,,2.0,,,,1.0,,,,Deportivo La Equidad,away,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",,,7,False,25.0,22.0,2.0,2.0,0.0,,,90.0,42.0,7.0,12.0,"{'original': 7, 'alternative': None}",8.0,2.0,2.0,5.0,3.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,Deportivo La Equidad,away,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600,"{'value': 575000, 'currency': 'EUR'}",,,9,False,14.0,10.0,1.0,1.0,0.0,,,60.0,19.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",2.0,,,3.0,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}"
Deyson Copete,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400,"{'value': 145000, 'currency': 'EUR'}",Deyson David,Copete Cuesta,33,True,30.0,25.0,4.0,4.0,0.0,,,42.0,33.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,,4.0,,1.0,,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,Deportivo La Equidad,away,
Carlos Paternina,paternina-carlos,C. Paternina,M,10,163.0,13,1175236,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987033600,,,,18,True,11.0,9.0,1.0,,0.0,,,19.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,Deportivo La Equidad,away,
Leider Riascos,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",,,29,True,6.0,4.0,,,0.0,,,11.0,13.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,Deportivo La Equidad,away,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400,"{'value': 365000, 'currency': 'EUR'}",,,8,True,7.0,5.0,,,0.0,,,11.0,13.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",4.0,,1.0,2.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,Deportivo La Equidad,away,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",,,10,True,3.0,2.0,1.0,,0.0,,,11.0,5.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,1.0,,,,,Deportivo La Equidad,away,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800,"{'value': 260000, 'currency': 'EUR'}",Bleiner Agrón,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
