name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,shotOffTarget,interceptionWon,totalTackle,keyPass,dispossessed,wasFouled,outfielderBlock,challengeLost,wonContest,accurateCross,fouls,onTargetScoringAttempt,goals,totalOffside,blockedScoringAttempt,bigChanceCreated,captain,team,teamType,hitWoodwork
Auli Oliveros,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000,"{'value': 230000, 'currency': 'EUR'}",,,,33,False,14.0,11.0,1.0,,0.0,,,,,,,45.0,23.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",3.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,,Rionegro Águilas Doradas,away,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,False,14.0,10.0,,,0.0,2.0,5.0,,,,,81.0,25.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,4.0,3.0,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,Rionegro Águilas Doradas,away,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,114,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,,17,False,34.0,22.0,1.0,,0.0,2.0,3.0,1.0,,,,86.0,46.0,6.9,18.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,5.0,2.0,,,,3.0,2.0,,,,1.0,,1.0,,,1.0,1.0,,,Rionegro Águilas Doradas,away,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,33.0,31.0,6.0,4.0,1.0,1.0,5.0,,,,,74.0,50.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",4.0,,3.0,1.0,,,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,,,,,Rionegro Águilas Doradas,away,
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,,Antony Vásquez,,9,True,12.0,8.0,1.0,1.0,0.0,3.0,4.0,,,,,45.0,17.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,2.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,Rionegro Águilas Doradas,away,
Juan Ávalo,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000,,,Juan Ávalo,,24,True,7.0,7.0,,,0.0,,,,,,,16.0,12.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,1.0,4.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
David Lemos,david-lemos,D. Lemos,F,47,175.0,20,830005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799632000,"{'value': 280000, 'currency': 'EUR'}",,,,47,True,2.0,,,,0.0,,,1.0,,,,9.0,5.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,1.0
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,,,3,True,,,,,0.0,,,,,,,10.0,1.0,6.2,,"{'original': 6.2, 'alternative': None}",,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,True,2.0,1.0,,,0.0,,2.0,1.0,,,,10.0,6.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
