name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,onTargetScoringAttempt,penaltyConceded,wasFouled,fouls,outfielderBlock,totalTackle,totalCross,challengeLost,wonContest,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt,interceptionWon,bigChanceCreated,goals,bigChanceMissed,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,penaltyWon,totalOffside,accurateCross
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,35.0,31.0,3.0,,0.0,,1.0,3.0,,,,,90.0,40.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",1.0,5.0,,,,,2.0,,1.0,,2.0,,,,,,1.0,,,,True,Atlético Bucaramanga,away,,,,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,,8,False,30.0,28.0,6.0,5.0,0.0,1.0,5.0,2.0,,,,,90.0,47.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,3.0,2.0,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,83.0,76.0,5.0,4.0,0.0,,2.0,1.0,,,,,90.0,91.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",,2.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,Atlético Bucaramanga,away,,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,23.0,16.0,1.0,,1.0,2.0,3.0,,,,,,84.0,31.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",,2.0,,,,1.0,2.0,,,4.0,,,,,1.0,,,1.0,,,,Atlético Bucaramanga,away,,,1.0,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200.0,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,,70,False,19.0,18.0,1.0,1.0,0.0,,2.0,,,,,,45.0,28.0,7.0,6.0,"{'original': 7, 'alternative': None}",,2.0,3.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,Atlético Bucaramanga,away,,,,1.0,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200.0,"{'value': 49000, 'currency': 'EUR'}",,,,30,False,26.0,23.0,2.0,2.0,0.0,,5.0,,,,,,45.0,37.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",,3.0,1.0,1.0,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,Atlético Bucaramanga,away,,,,,1.0
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",,Diego Chavez,,15,False,50.0,43.0,7.0,4.0,0.0,,5.0,,,,,,72.0,58.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,2.0,,,,4.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,Atlético Bucaramanga,away,,,,,
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800.0,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,21.0,17.0,1.0,1.0,1.0,,2.0,,,,,,84.0,32.0,8.8,9.0,"{'original': 8.8, 'alternative': None}",,2.0,,2.0,,2.0,,,,,,,2.0,1.0,2.0,1.0,,1.0,2.0,,,Atlético Bucaramanga,away,,,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800.0,"{'value': 385000, 'currency': 'EUR'}",,,,28,True,29.0,25.0,2.0,,0.0,,1.0,,,,,,45.0,37.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,2.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,Atlético Bucaramanga,away,,,,,
Adalberto Peñaranda,adalberto-penaranda,A. Peñaranda,F,97,183.0,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800.0,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",,,97,True,13.0,12.0,,,0.0,1.0,2.0,,,,,,45.0,21.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,4.0,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Andrés Ibargüen,andres-ibarguen,A. Ibargüen,F,92,168.0,176,805024,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,705196800.0,"{'value': 365000, 'currency': 'EUR'}",,,,92,True,13.0,12.0,1.0,,0.0,,1.0,,,,,,25.0,20.0,6.0,5.0,"{'original': 6, 'alternative': None}",,3.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Juan Mosquera,juan-camilo-mosquera,J. Mosquera,D,14,187.0,54,1174008,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 215000, 'currency': 'EUR'}",,Juan Camilo Mosquera,,14,True,5.0,5.0,,,0.0,,,,,,,,15.0,5.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400.0,"{'value': 370000, 'currency': 'EUR'}",,,,18,True,6.0,4.0,1.0,1.0,0.0,1.0,1.0,,,,,,15.0,7.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400.0,"{'value': 105000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
