name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalTackle,fouls,keyPass,aerialWon,shotOffTarget,outfielderBlock,wasFouled,challengeLost,blockedScoringAttempt,interceptionWon,totalContest,wonContest,onTargetScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim
José Cuenú,José Cuenú,,jose-cuenu,J. Cuenú,D,4,192,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",,4,False,41.0,32.0,10.0,4.0,0.0,8.0,,,,90.0,54.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,,1.0,2.0,4.0,,1.0,1.0,,2.0,,1.0,1.0,,,2.0,,,,,,Junior Barranquilla,away,
Daniel Rivera,Daniel Rivera,,daniel-rivera,D. Rivera,D,5,184,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,5,False,52.0,39.0,16.0,8.0,0.0,3.0,,,,90.0,66.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",,,,2.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,Junior Barranquilla,away,
Edwin Herrera,,,edwin-herrera,E. Herrera,D,3,170,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,3,False,25.0,21.0,4.0,2.0,0.0,,,,,90.0,37.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,,3.0,3.0,,,2.0,1.0,3.0,,,,,1.0,1.0,1.0,,,,,Junior Barranquilla,away,
Fabián Ángel,,,fabian-angel,F. Ángel,M,80,175,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,80,False,28.0,26.0,1.0,1.0,0.0,,,,,89.0,33.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,2.0,3.0,4.0,,1.0,1.0,,2.0,,,1.0,,,,,,,,,Junior Barranquilla,away,
Didier Moreno,,,didier-moreno,D. Moreno,M,6,177,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,6,False,36.0,31.0,1.0,1.0,0.0,4.0,,,,90.0,55.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,,4.0,3.0,,2.0,1.0,2.0,,,,1.0,1.0,,2.0,2.0,,,,,Junior Barranquilla,away,
Yimmi Chará,,,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,31.0,24.0,2.0,2.0,0.0,,,,,75.0,43.0,7.0,10.0,"{'original': 7, 'alternative': None}",1.0,,,1.0,4.0,,1.0,,,,,1.0,3.0,,,1.0,1.0,,,,,Junior Barranquilla,away,
Guillermo Paiva,,,guillermo-paiva,G. Paiva,F,9,182,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,9,False,28.0,14.0,1.0,,0.0,,,,,61.0,42.0,7.1,18.0,"{'original': 7.1, 'alternative': None}",,,,3.0,12.0,2.0,1.0,,,9.0,1.0,,2.0,1.0,1.0,,,,1.0,,,Junior Barranquilla,away,
Carlos Bacca,,,carlos-bacca,C. Bacca,F,70,181,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,False,8.0,6.0,,,0.0,,,,,61.0,12.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,True,Junior Barranquilla,away,
Bryan Castrillón,,,bryan-castrillon,B. Castrillón,F,88,169,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,88,True,7.0,4.0,,,0.0,,,,,29.0,12.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,,,,2.0,,,,,1.0,,,1.0,,,1.0,,,2.0,,,Junior Barranquilla,away,
Steven Rodríguez,,,steven-rodriguez,S. Rodríguez,F,23,177,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,23,True,6.0,5.0,,,0.0,,,,,29.0,12.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,Junior Barranquilla,away,
Teófilo Gutiérrez,,,teofilo-gutierrez,T. Gutiérrez,F,29,177,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,29,True,7.0,7.0,,,0.0,,,,,15.0,10.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,Junior Barranquilla,away,
Yeferson Moreno,Yeferson Moreno,,yeferson-moreno-mosquera,Y. Moreno,D,15,184,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200,"{'value': 190000, 'currency': 'EUR'}",,15,True,2.0,2.0,,,0.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,
Luis Daniel González,,,luis-daniel-gonzalez,L. D. González,M,10,170,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,10,True,4.0,4.0,,,0.0,,,,,1.0,7.0,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,Junior Barranquilla,away,
Jefersson Martínez,,,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,
Déiber Caicedo,,,deiber-caicedo,D. Caicedo,M,20,169,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,
