name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,challengeLost,dispossessed,totalContest,totalTackle,fouls,keyPass,shotOffTarget,outfielderBlock,interceptionWon,blockedScoringAttempt,wasFouled,totalCross,onTargetScoringAttempt,accurateCross,wonContest,captain,team,teamType,bigChanceMissed
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,64.0,57.0,5.0,3.0,0.0,,1.0,2.0,,,,,90.0,73.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,2.0,,,,1.0,2.0,,,,2.0,,,1.0,,,,,Atlético Nacional,away,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,30.0,23.0,4.0,2.0,0.0,,4.0,1.0,,,,,87.0,48.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,4.0,1.0,,3.0,3.0,,1.0,1.0,,,,,2.0,,,1.0,,Atlético Nacional,away,
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,,21,False,43.0,39.0,3.0,3.0,0.0,,2.0,1.0,,,,,90.0,50.0,7.0,4.0,"{'original': 7, 'alternative': None}",,3.0,1.0,,,1.0,2.0,,,1.0,2.0,,1.0,,,,,,Atlético Nacional,away,
Elkin Rivero,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,,,26,False,31.0,19.0,1.0,,0.0,,2.0,,,,,,87.0,40.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,Atlético Nacional,away,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,18,False,25.0,21.0,1.0,1.0,0.0,,3.0,,,,,,90.0,39.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",1.0,4.0,,1.0,3.0,,,,,,,,2.0,4.0,1.0,,1.0,,Atlético Nacional,away,1.0
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,,10,False,43.0,34.0,12.0,9.0,0.0,,2.0,,,,,,90.0,61.0,7.6,19.0,"{'original': 7.6, 'alternative': None}",,1.0,,1.0,2.0,,,4.0,1.0,,1.0,,,10.0,,2.0,2.0,,Atlético Nacional,away,
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,False,16.0,8.0,3.0,,0.0,2.0,2.0,,,,,,59.0,22.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,Atlético Nacional,away,
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,9,False,11.0,9.0,2.0,1.0,0.0,,2.0,1.0,,,,,58.0,22.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,,,1.0,,,2.0,,,,1.0,1.0,1.0,,,,Atlético Nacional,away,
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,True,,,,,0.0,,1.0,1.0,,,,,32.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,Atlético Nacional,away,
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,True,7.0,6.0,,,0.0,,1.0,,,,,,31.0,10.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,1.0,1.0,,,,,,Atlético Nacional,away,
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,True,2.0,2.0,1.0,1.0,0.0,,,1.0,,,,,11.0,6.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,1.0,,,,,,1.0,,,,,Atlético Nacional,away,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,Kilian Toscano,,5,True,,,,,0.0,,,,,,,,11.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
Simon Garcia,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600,"{'value': 235000, 'currency': 'EUR'}",,Simon Garcia,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
Billy Arce,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
