name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,hitWoodwork,interceptionWon,totalTackle,keyPass,aerialWon,fouls,dispossessed,onTargetScoringAttempt,bigChanceCreated,blockedScoringAttempt,goals,captain,team,teamType,goodHighClaim,outfielderBlock,totalOffside
Yimmi Chará,,,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,23.0,21.0,2.0,2.0,0.0,5.0,2.0,2.0,,,82.0,34.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,,1.0,,2.0,1.0,,,,2.0,,,,,1.0,,,,True,Junior Barranquilla,away,,,
Jordan Barrera,Jordan Andres,Barrera Herrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600,"{'value': 235000, 'currency': 'EUR'}",,7,False,5.0,3.0,1.0,,0.0,5.0,,4.0,,,63.0,14.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,,,2.0,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,Junior Barranquilla,away,,1.0,
Steven Rodríguez,,,steven-rodriguez,S. Rodríguez,F,23,177,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,23,False,2.0,1.0,,,0.0,5.0,1.0,1.0,,,71.0,12.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,5.0,1.0,2.0,1.0,1.0,,,1.0,,2.0,,2.0,,,,,,Junior Barranquilla,away,,,
Bryan Castrillón,,,bryan-castrillon,B. Castrillón,F,88,169,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,88,False,12.0,7.0,4.0,2.0,1.0,4.0,3.0,1.0,,,70.0,35.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",6.0,2.0,,6.0,,7.0,2.0,2.0,,,1.0,2.0,,1.0,,,1.0,,,,Junior Barranquilla,away,,,
Guillermo Paiva,,,guillermo-paiva,G. Paiva,F,9,182,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,9,False,14.0,11.0,2.0,1.0,0.0,2.0,1.0,1.0,,,63.0,22.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,4.0,8.0,3.0,,,,,,,,1.0,,1.0,2.0,,,1.0,,Junior Barranquilla,away,,,
Luis Daniel González,,,luis-daniel-gonzalez,L. D. González,M,10,170,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,10,True,13.0,10.0,1.0,1.0,0.0,2.0,,,,,27.0,17.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,1.0,1.0,,,,,,1.0,,2.0,,,,,,Junior Barranquilla,away,,,2.0
Teófilo Gutiérrez,,,teofilo-gutierrez,T. Gutiérrez,F,29,177,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,29,True,21.0,14.0,2.0,1.0,0.0,1.0,,1.0,,,27.0,28.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,,,,,,,,,,1.0,,,,,,Junior Barranquilla,away,,,
Yani Quintero,,,yani-quintero,Yani Quintero,M,16,182,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,16,True,2.0,2.0,,,0.0,3.0,,1.0,,,20.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,,,,,,,2.0,,,,1.0,,,,,,Junior Barranquilla,away,,,
Carlos Bacca,,,carlos-bacca,C. Bacca,F,70,181,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,True,2.0,,,,0.0,,,,,,19.0,3.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,,,,,,,,,,1.0,,,,,,,Junior Barranquilla,away,,,
José Enamorado,,,enamorado-jose,J. Enamorado,M,99,167,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,99,True,6.0,2.0,1.0,,0.0,1.0,1.0,,,,8.0,7.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,,,1.0,1.0,,,,,,,Junior Barranquilla,away,,,
Jefersson Martínez,,,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,
Andres Colorado,,,andres-colorado,Andres Colorado,M,25,193,208,904350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912470400,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. كولورادو', 'hi': 'एन्ड्रेस कोलोराडो', 'bn': 'আন্দ্রেস কলোরাডো'}}",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,
