name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,fouls,totalOffside,onTargetScoringAttempt,interceptionWon,accurateCross,challengeLost,shotOffTarget,totalTackle,totalContest,wonContest,wasFouled,outfielderBlock,keyPass,goals,blockedScoringAttempt,captain,team,teamType,fieldTranslations
Brayan Montaño,,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600,"{'value': 340000, 'currency': 'EUR'}",,24,False,40.0,35.0,8.0,7.0,0.0,2.0,2.0,9.0,,,,,,,90.0,51.0,7.0,5.0,"{'original': 7, 'alternative': None}",,1.0,1.0,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Andres Correa,,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",,3,False,40.0,30.0,6.0,1.0,0.0,,1.0,2.0,,,,,,,90.0,59.0,6.9,17.0,"{'original': 6.9, 'alternative': None}",4.0,,2.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,,True,Deportivo La Equidad,away,
Samir Mayo,,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800,"{'value': 335000, 'currency': 'EUR'}",,16,False,35.0,28.0,3.0,2.0,0.0,,4.0,1.0,,,,,,,90.0,49.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",2.0,3.0,6.0,,2.0,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,,,,Deportivo La Equidad,away,
Santiago Orozco,,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400,"{'value': 270000, 'currency': 'EUR'}",,6,False,52.0,42.0,8.0,4.0,0.0,1.0,3.0,1.0,,,,,,,87.0,62.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,4.0,1.0,3.0,,,1.0,1.0,,,,,,2.0,,3.0,,1.0,,Deportivo La Equidad,away,
Sebastián Tamara,,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400,"{'value': 365000, 'currency': 'EUR'}",,8,False,20.0,16.0,4.0,2.0,0.0,1.0,1.0,,,,,,,,45.0,31.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",4.0,,2.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,Deportivo La Equidad,away,
Yair Joao Abonia Vasquez,Yair Joao,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000,"{'value': 310000, 'currency': 'EUR'}",Abonia Vásquez,13,False,18.0,14.0,2.0,1.0,0.0,,1.0,1.0,,,,,,,90.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,4.0,,3.0,,,,,,,1.0,,,,,,,,,Deportivo La Equidad,away,
Ayron Del Valle,,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",,7,False,19.0,17.0,1.0,1.0,0.0,,,,,,,,,,90.0,23.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,5.0,5.0,,,,,,,,,,,,,,3.0,,,,Deportivo La Equidad,away,
Beckham Castro,Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800,"{'value': 760000, 'currency': 'EUR'}",,11,False,15.0,12.0,,,0.0,,1.0,,,,,,,,45.0,24.0,7.0,9.0,"{'original': 7, 'alternative': None}",2.0,1.0,1.0,,,,2.0,,,,,,,,1.0,,,,,,Deportivo La Equidad,away,
Santiago Lopez,Santiago López,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800,,,25,True,11.0,9.0,,,0.0,,1.0,1.0,,,,,,,45.0,22.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,,1.0,1.0,,,2.0,,2.0,,,,,,1.0,,1.0,,,,Deportivo La Equidad,away,
Fabian Chaverra,Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600,,,28,True,11.0,5.0,1.0,,0.0,,3.0,1.0,,,,,,,45.0,26.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,2.0,,,1.0,,,,,2.0,,2.0,1.0,2.0,,,,,,Deportivo La Equidad,away,
Wilmar Cruz,,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",,10,True,6.0,3.0,,,0.0,,1.0,,,,,,,,25.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,,Deportivo La Equidad,away,
Felipe Acosta,,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",,14,True,5.0,2.0,1.0,,0.0,,,1.0,,,,,,,9.0,6.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Andres Perez,,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Daniel Polanco,Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Amaury Torralvo,,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800,"{'value': 260000, 'currency': 'EUR'}",,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
