name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,bigChanceCreated,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,keyPass,aerialLost,challengeLost,totalContest,wonContest,outfielderBlock,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,dispossessed,shotOffTarget,bigChanceMissed,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Miguel Amaya,Miguel Amaya,,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,20,False,36.0,30.0,6.0,4.0,0.0,1.0,4.0,,,,77.0,49.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",2.0,2.0,,1.0,,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,Deportivo La Equidad,away,,,
Daniel Polanco,Daniel Polanco,,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,2,False,28.0,26.0,6.0,4.0,0.0,,1.0,,,,90.0,32.0,6.0,3.0,"{'original': 6, 'alternative': None}",,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,
Bleiner Agrón,Bleiner Agrón,,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",30,False,10.0,9.0,,,0.0,1.0,2.0,,,,36.0,15.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,2.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,Deportivo La Equidad,away,,,
Andres Correa,,,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",3,False,23.0,18.0,3.0,1.0,0.0,1.0,1.0,,,,90.0,39.0,6.0,11.0,"{'original': 6, 'alternative': None}",2.0,4.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,3.0,3.0,,True,Deportivo La Equidad,away,,,
Deyson Copete,Deyson David,Copete Cuesta,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400.0,"{'value': 145000, 'currency': 'EUR'}",33,False,21.0,19.0,3.0,3.0,0.0,3.0,6.0,,,,77.0,31.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,3.0,,2.0,,2.0,1.0,3.0,,1.0,,,,,,,,,,,,,,Deportivo La Equidad,away,,,
Santiago Orozco,,,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",36,False,55.0,46.0,11.0,8.0,0.0,,8.0,,,,90.0,68.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,3.0,,2.0,,2.0,4.0,3.0,,1.0,,,2.0,2.0,,,,2.0,,,,,,Deportivo La Equidad,away,,,
Fabian Chaverra,Fabian Chaverra,,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,28,False,24.0,21.0,,,0.0,,,,,,90.0,39.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",2.0,5.0,,1.0,,,,,1.0,2.0,2.0,,2.0,,,1.0,1.0,1.0,,1.0,2.0,,,Deportivo La Equidad,away,,,
Samir Mayo,,,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",16,False,24.0,19.0,1.0,1.0,0.0,,3.0,,,,90.0,48.0,6.7,18.0,"{'original': 6.7, 'alternative': None}",6.0,6.0,,1.0,1.0,1.0,2.0,1.0,,4.0,,,3.0,,,2.0,,1.0,,2.0,1.0,,,Deportivo La Equidad,away,,,
Wilmar Cruz,,,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",10,False,10.0,5.0,,,0.0,1.0,1.0,,,,69.0,11.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,1.0,,,,,,,,,,1.0,,,,,,,,,,,,Deportivo La Equidad,away,,,
Brayan Montaño,,,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",24,True,42.0,39.0,3.0,1.0,0.0,1.0,2.0,,,,54.0,51.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,,,3.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,Deportivo La Equidad,away,,,
Santiago Lopez,Santiago López,,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,25,True,16.0,11.0,1.0,,0.0,,5.0,,,,45.0,27.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,,,,2.0,1.0,,,,,,3.0,2.0,1.0,1.0,,,,,,,,Deportivo La Equidad,away,,,
Renan Oliveira,,,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}",9,True,3.0,3.0,,,0.0,1.0,1.0,,,,21.0,5.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,1.0,,,,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",,
Felipe Acosta,,,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",14,True,11.0,7.0,2.0,1.0,0.0,,,,,,13.0,12.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,3.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,Deportivo La Equidad,away,,,
Carlos Paternina,,,paternina-carlos,C. Paternina,M,10,163.0,13,1175236,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987033600.0,,18,True,7.0,5.0,,,0.0,,1.0,,,,13.0,12.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",3.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,Deportivo La Equidad,away,,,
Nacho Carrasco,Nacho Carrasco,,nacho-carrasco,N. Carrasco,,23,,2,2148150,{},EUR,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,
Deivid Castro,Deivid Castro,,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,
