name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,keyPass,onTargetScoringAttempt,accurateCross,totalContest,wonContest,blockedScoringAttempt,aerialLost,duelLost,challengeLost,fouls,dispossessed,hitWoodwork,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock,bigChanceMissed,bigChanceCreated
Mateo García,,,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,19,False,26.0,21.0,5.0,3.0,0.0,90.0,38.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,5.0,1.0,2.0,,3.0,2.0,1.0,,,1.0,,,,2.0,,1.0,,,1.0,,Once Caldas,away,,,,,
Iván Rojas,,,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,5,False,10.0,7.0,1.0,,0.0,64.0,14.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,Once Caldas,away,,,,,
Luis Palacios,,,palacios-luis,L. Palacios,M,24,181.0,30,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,24,False,13.0,9.0,2.0,,0.0,76.0,29.0,5.8,15.0,"{'original': 5.8, 'alternative': None}",,,3.0,1.0,,,1.0,1.0,,,,6.0,1.0,,1.0,8.0,,1.0,1.0,,1.0,,Once Caldas,away,,,,1.0,
Alejandro García,,,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,20,False,12.0,11.0,,,0.0,76.0,18.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,,2.0,2.0,,,,,,,Once Caldas,away,,,,,1.0
Michael Barrios,,,michael-barrios,M. Barrios,M,7,163.0,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,7,False,8.0,6.0,1.0,1.0,0.0,45.0,13.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,Once Caldas,away,,,,,
Dayro Moreno,,,dayro-moreno,D. Moreno,F,17,178.0,1699,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,17,False,11.0,10.0,3.0,3.0,0.0,90.0,20.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,1.0,1.0,1.0,,,1.0,,,,,,2.0,3.0,,,1.0,,3.0,True,Once Caldas,away,,,,,
Mateo Rodas,,,mateo-rodas,M. Rodas,D,4,186.0,14,869998,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884476800,"{'value': 235000, 'currency': 'EUR'}",,4,True,6.0,5.0,4.0,3.0,0.0,62.0,16.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,1.0,3.0,,3.0,1.0,1.0,1.0,,,,,,,,2.0,,2.0,,,,,Once Caldas,away,,,2.0,,
Joel Contreras,,,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,16,True,4.0,4.0,,,0.0,45.0,11.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,2.0,,Once Caldas,away,,,,,
Juan Diaz,,,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,6,True,7.0,5.0,,,0.0,26.0,13.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,Once Caldas,away,,,1.0,,
Johan Esteban Beltran Montaño,,,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,8,True,3.0,2.0,,,0.0,14.0,4.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,1.0,1.0,,,,,,Once Caldas,away,,,,,
Mateo Zuleta,Mateo,Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,28,True,2.0,1.0,,,0.0,14.0,7.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,Once Caldas,away,,,,,
Juan Gallego,,,juan-gallego,J. Gallego,G,25,,11,1809356,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1098748800,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,,
Gilbert Álvarez,,,gilbert-alvarez,G. Álvarez,F,9,187.0,190,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,,
