name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,challengeLost,interceptionWon,fouls,duelWon,totalContest,wonContest,totalTackle,totalCross,dispossessed,keyPass,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,wasFouled,totalOffside,aerialLost,shotOffTarget,blockedScoringAttempt,goals,accurateCross,aerialWon,captain,team,teamType,penaltyConceded
José Mercado,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000,"{'value': 165000, 'currency': 'EUR'}",,José Mercado,,28,False,53.0,44.0,8.0,5.0,0.0,,,,,90.0,61.0,7.0,12.0,"{'original': 7, 'alternative': None}",2.0,1.0,,1.0,2.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,Unión Magdalena,away,
Juan José Tello,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600,,,Juan José Tello,,26,False,25.0,22.0,2.0,,0.0,1.0,,,,90.0,45.0,6.0,13.0,"{'original': 6, 'alternative': None}",9.0,2.0,,3.0,,,,,3.0,3.0,,,,,,,1.0,,,,1.0,,,Unión Magdalena,away,
Valentin Sanchez,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200,,,Valentin Sanchez,,8,False,16.0,9.0,3.0,,0.0,,,,,53.0,18.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",2.0,,,2.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,,Unión Magdalena,away,
Ricardo Márquez,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 245000, 'currency': 'EUR'}",,,,21,False,9.0,4.0,1.0,1.0,0.0,1.0,,,,84.0,19.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",4.0,,,2.0,4.0,,,,,2.0,,,,,4.0,,,,,,,,,Unión Magdalena,away,
Cristian Sención,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200,"{'value': 290000, 'currency': 'EUR'}",,,,16,False,34.0,28.0,5.0,2.0,0.0,1.0,,,,85.0,46.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",5.0,2.0,,,4.0,2.0,,3.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,Unión Magdalena,away,
Janeth Aleman,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400,,,,,7,True,13.0,7.0,1.0,,1.0,,,,,56.0,25.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",4.0,,2.0,,2.0,2.0,,2.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,Unión Magdalena,away,
Daniel Mera,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400,"{'value': 245000, 'currency': 'EUR'}",,Daniel Mera,,3,True,17.0,13.0,4.0,2.0,0.0,1.0,,,,31.0,26.0,6.1,8.0,"{'original': 6.1, 'alternative': None}",1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,Unión Magdalena,away,1.0
Juan Diego Giraldo,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800,"{'value': 185000, 'currency': 'EUR'}",,,,20,True,5.0,5.0,,,0.0,,,,,14.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,,,Unión Magdalena,away,
Ruyery Blanco,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800,"{'value': 230000, 'currency': 'EUR'}",,,,17,True,4.0,3.0,,,0.0,,,,,14.0,7.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,Unión Magdalena,away,
Dilan Ortiz,dilan-ortiz,D. Ortiz,D,6,,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800,,,Dilan Ortiz,,6,True,4.0,3.0,,,0.0,,,,,13.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Guillermo Gómez,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000,"{'value': 105000, 'currency': 'EUR'}",,Guillermo Gómez,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Óscar Barreto,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 245000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
