name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wasFouled,keyPass,bigChanceCreated,shotOffTarget,interceptionWon,fouls,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,goals,challengeLost,bigChanceMissed,penaltyMiss,penaltyWon,totalOffside,captain,team,teamType,fieldTranslations,penaltySave,punches,outfielderBlock,penaltyConceded
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",185.0,12,False,34.0,23.0,12.0,5.0,0.0,,,90.0,47.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,,3.0,2.0,2.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,,Deportivo Cali,away,,,,2.0,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",170.0,26,False,13.0,10.0,1.0,1.0,0.0,,,90.0,23.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,Deportivo Cali,away,,,,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",182.0,6,False,20.0,13.0,2.0,1.0,0.0,,,50.0,25.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,Deportivo Cali,away,,,,,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",176.0,30,False,26.0,19.0,1.0,1.0,0.0,,,90.0,45.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,,4.0,6.0,2.0,2.0,3.0,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,Deportivo Cali,away,,,,2.0,1.0
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",171.0,7,False,23.0,18.0,,,1.0,,,77.0,36.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",4.0,2.0,2.0,,5.0,3.0,,,2.0,2.0,,,,,1.0,2.0,1.0,,,,1.0,,,,,,Deportivo Cali,away,,,,,
Javier Reina,,,javier-reina,J. Reina,M,10,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",173.0,10,False,13.0,10.0,3.0,3.0,0.0,,,45.0,20.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,1.0,,4.0,2.0,,,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,Deportivo Cali,away,,,,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",175.0,11,False,11.0,8.0,1.0,,0.0,,,69.0,25.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,2.0,3.0,9.0,6.0,,,3.0,,,,,2.0,2.0,2.0,,1.0,,,1.0,,,,,,Deportivo Cali,away,,,,1.0,
Emiliano Rodriguez,,,rodriguez-emiliano,E. Rodriguez,F,9,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600.0,"{'value': 1300000, 'currency': 'EUR'}",190.0,9,False,19.0,15.0,,,1.0,,,90.0,31.0,8.1,12.0,"{'original': 8.1, 'alternative': None}",1.0,,3.0,3.0,6.0,4.0,,,1.0,1.0,1.0,,,1.0,,2.0,,2.0,,1.0,,,,,2.0,,Deportivo Cali,away,,,,,
Michael John Kamara,,,mj-kamara,M. Kamara,D,42,7,1890278,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1156982400.0,,185.0,42,True,25.0,19.0,3.0,,0.0,,,45.0,29.0,5.9,7.0,"{'original': 5.9, 'alternative': None}",,,,,2.0,1.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,Deportivo Cali,away,,,,,1.0
Juan Camilo Cantillo,Juan Camilo Cantillo,,juan-camilo-cantillo,J. C. Cantillo,F,18,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000.0,"{'value': 105000, 'currency': 'EUR'}",175.0,18,True,9.0,8.0,,,0.0,,,45.0,18.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,Deportivo Cali,away,,,,,
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",178.0,28,True,12.0,9.0,1.0,,0.0,,,40.0,16.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,,,1.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,Deportivo Cali,away,,,,,
Jhon Cabal,,,cabal-jhon,J. Cabal,F,46,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800.0,,,46,True,4.0,,,,0.0,,,21.0,7.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,1.0,,2.0,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,Deportivo Cali,away,,,,,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",172.0,8,True,3.0,,1.0,,0.0,,,13.0,4.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",190.0,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",176.0,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,,,
