name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,aerialLost,errorLeadToAGoal,wasFouled,fouls,shotOffTarget,keyPass,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,hitWoodwork,goals,bigChanceCreated
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",,José Cuenú,,4,False,26.0,20.0,5.0,2.0,0.0,90.0,39.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,,8.0,1.0,2.0,,1.0,6.0,2.0,1.0,4.0,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Jhon Navia,jhon-navia,J. Navia,D,26,180.0,29,1128891,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059264000,"{'value': 340000, 'currency': 'EUR'}",,Jhon Navia,,26,False,16.0,9.0,2.0,,0.0,89.0,35.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,5.0,4.0,1.0,,2.0,4.0,,2.0,1.0,,,2.0,,,1.0,,,,1.0,,Junior Barranquilla,away,,,,,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,39.0,32.0,4.0,1.0,0.0,62.0,46.0,6.1,8.0,"{'original': 6.1, 'alternative': None}",,,,2.0,2.0,,,,3.0,1.0,2.0,1.0,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Jhon Velez,jhon-velez,J. Velez,M,13,178.0,108,1174853,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059091200,"{'value': 415000, 'currency': 'EUR'}",,Jhon Velez,,13,False,29.0,27.0,1.0,1.0,0.0,90.0,45.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,2.0,4.0,7.0,2.0,1.0,,1.0,4.0,5.0,,,,1.0,,,,,,,2.0,,Junior Barranquilla,away,,,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,21.0,16.0,2.0,,0.0,82.0,50.0,7.4,17.0,"{'original': 7.4, 'alternative': None}",3.0,1.0,,7.0,11.0,1.0,1.0,8.0,,1.0,4.0,1.0,,3.0,,2.0,1.0,4.0,,,,,,Junior Barranquilla,away,,,,1.0,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,32.0,29.0,2.0,1.0,0.0,66.0,42.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",1.0,,,2.0,4.0,,,3.0,,,,1.0,,2.0,,,,2.0,1.0,,,,,Junior Barranquilla,away,,,,,1.0,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,11.0,9.0,1.0,,0.0,67.0,22.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,Junior Barranquilla,away,,,,,1.0,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2209,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,12.0,10.0,1.0,1.0,1.0,66.0,16.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",,,4.0,2.0,4.0,,,,2.0,,,1.0,,,1.0,,3.0,,,,,,True,Junior Barranquilla,away,,,,,,1.0
Andres Colorado,andres-colorado,Andres Colorado,M,25,193.0,208,904350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912470400,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. كولورادو', 'hi': 'एन्ड्रेस कोलोराडो', 'bn': 'আন্দ্রেস কলোরাডো'}}",,,25,True,4.0,1.0,1.0,,0.0,24.0,4.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,,,,1.0,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,169,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,4.0,3.0,1.0,1.0,0.0,24.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,4.0,1.0,,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,True,,,,,0.0,23.0,7.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,,6.0,,,1.0,,,1.0,,,,,,,1.0,,Junior Barranquilla,away,,,,,,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,4.0,2.0,,,0.0,8.0,9.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Carlos Cantillo,carlos-cantillo,C. Cantillo,M,19,176.0,48,1174862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045785600,"{'value': 140000, 'currency': 'EUR'}",,Carlos Cantillo,,19,True,,,,,0.0,8.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,275,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
