name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,fouls,aerialLost,outfielderBlock,hitWoodwork,totalContest,wonContest,keyPass,challengeLost,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,onTargetScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim
Juan Quintero,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,,,3,False,32.0,26.0,2.0,1.0,0.0,6.0,7.0,1.0,,,,90.0,41.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,5.0,2.0,,,1.0,,,2.0,,,,,,,,,,,,,Deportivo Cali,away,
Francisco Meza,francisco-meza,F. Meza,D,21,187.0,65,162493,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,683424000.0,"{'value': 260000, 'currency': 'EUR'}",,,,21,False,33.0,26.0,4.0,,0.0,2.0,5.0,,,,,90.0,45.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,,6.0,,,2.0,2.0,2.0,3.0,1.0,,,,,2.0,,,,,,True,Deportivo Cali,away,
Yulián Gómez,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,,,26,False,22.0,13.0,5.0,1.0,0.0,5.0,4.0,1.0,,,,90.0,42.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",2.0,,3.0,6.0,,,1.0,,1.0,2.0,,,3.0,1.0,,1.0,,,,1.0,,,Deportivo Cali,away,
Victor Mejia,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,,,6,False,35.0,29.0,1.0,1.0,0.0,5.0,1.0,2.0,,,,71.0,46.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,,2.0,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,Deportivo Cali,away,
Jean Colorado,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,,,23,False,13.0,8.0,1.0,1.0,0.0,1.0,2.0,,,,,45.0,22.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,,4.0,2.0,,,1.0,,2.0,,,,,1.0,,,,,,,,Deportivo Cali,away,
Jarlan Barrera,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,,,7,False,41.0,27.0,9.0,5.0,0.0,8.0,,5.0,,,,89.0,66.0,7.9,24.0,"{'original': 7.9, 'alternative': None}",6.0,2.0,,6.0,3.0,1.0,,1.0,,2.0,,,2.0,2.0,5.0,1.0,1.0,,,1.0,,,Deportivo Cali,away,
Gian Cabezas,gian-cabezas,G. Cabezas,M,28,178.0,42,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,Gian Cabezas,,28,False,38.0,26.0,5.0,,0.0,2.0,,,,,,90.0,52.0,7.0,16.0,"{'original': 7, 'alternative': None}",,,,3.0,1.0,1.0,3.0,1.0,,,,,2.0,1.0,2.0,1.0,1.0,,,,,,Deportivo Cali,away,
Cristian Graciano,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,,,44,False,20.0,15.0,5.0,3.0,0.0,6.0,1.0,2.0,,,,62.0,33.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,1.0,3.0,,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,1.0,,,Deportivo Cali,away,
Juan Camilo Cantillo,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000.0,"{'value': 105000, 'currency': 'EUR'}",,Juan Camilo Cantillo,,18,False,11.0,8.0,,,0.0,1.0,,,,,,70.0,19.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,1.0,3.0,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,,3.0,,,Deportivo Cali,away,
Jean Galindo,jean-galindo,J. Galindo,,33,,18,1965572,{},EUR,,,,Jean Galindo,,33,True,5.0,3.0,,,0.0,4.0,1.0,,,,,45.0,13.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,5.0,,1.0,,2.0,1.0,4.0,,,,,1.0,,,,,,1.0,,Deportivo Cali,away,
Fabián Castillo,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200.0,"{'value': 195000, 'currency': 'EUR'}",,,,8,True,8.0,7.0,,,0.0,2.0,,,,,,28.0,16.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,4.0,2.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,Deportivo Cali,away,
Juan Arango,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,,Juan Arango,,17,True,2.0,,,,0.0,,,,,,,20.0,7.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,,5.0,1.0,,,,,2.0,,,1.0,,,1.0,,,,1.0,,,Deportivo Cali,away,
Yeison Gordillo,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,,,30,True,5.0,4.0,2.0,1.0,0.0,2.0,1.0,,,,,19.0,10.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,Deportivo Cali,away,
Guzmán Corujo,guzman-corujo,G. Corujo,D,16,189.0,117,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",,,,16,True,,,,,0.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Deportivo Cali,away,
Gastón Guruceaga,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,
Javier Reina,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,
