name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalClearance,totalTackle,fouls,aerialLost,interceptionWon,wasFouled,aerialWon,challengeLost,shotOffTarget,penaltyConceded,keyPass,dispossessed,blockedScoringAttempt,accurateCross,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,fieldTranslations,punches,outfielderBlock
Ewil Murillo,,,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600.0,"{'value': 380000, 'currency': 'EUR'}",21,False,18.0,13.0,3.0,1.0,0.0,,,45.0,29.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,5.0,4.0,1.0,,,1.0,2.0,1.0,2.0,,2.0,,,,,,1.0,,,,,,,,Independiente Santa Fe,away,,,1.0
Alexis Zapata,,,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000.0,"{'value': 670000, 'currency': 'EUR'}",10,False,27.0,24.0,,,1.0,,,67.0,40.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",3.0,3.0,4.0,2.0,2.0,,,2.0,1.0,,2.0,,,1.0,,,1.0,1.0,,1.0,,,,,,Independiente Santa Fe,away,,,
Harold Santiago Mosquera,,,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200.0,"{'value': 680000, 'currency': 'EUR'}",23,False,30.0,27.0,1.0,1.0,3.0,,,77.0,43.0,8.7,11.0,"{'original': 8.7, 'alternative': None}",2.0,2.0,4.0,3.0,3.0,1.0,,,,,,,1.0,,,,4.0,2.0,,,1.0,1.0,,,,Independiente Santa Fe,away,,,
Omar Fernández,,,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800.0,"{'value': 945000, 'currency': 'EUR'}",8,False,30.0,26.0,1.0,1.0,1.0,,,90.0,38.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,,1.0,,,,,,,2.0,,,,1.0,,2.0,,,1.0,,,1.0,,,Independiente Santa Fe,away,,,
Hugo Rodallega,,,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",11,False,30.0,24.0,3.0,3.0,0.0,,,90.0,44.0,10.0,10.0,"{'original': 10, 'alternative': None}",,8.0,7.0,3.0,,4.0,2.0,,1.0,4.0,,3.0,4.0,,,,,,1.0,,,4.0,,,True,Independiente Santa Fe,away,,,
Yeicar Perlaza,Yaicar Perlaza,,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400.0,,27,True,9.0,6.0,1.0,,1.0,,,45.0,13.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,2.0,2.0,,,1.0,,1.0,1.0,,,1.0,,,,,2.0,1.0,,,,,,,,Independiente Santa Fe,away,,,
Ivan Scarpeta,,,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800.0,"{'value': 425000, 'currency': 'EUR'}",15,True,8.0,8.0,,,0.0,,,23.0,10.0,7.4,,"{'original': 7.4, 'alternative': None}",,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,Independiente Santa Fe,away,,,
Jeison Angulo,,,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600.0,"{'value': 310000, 'currency': 'EUR'}",24,True,6.0,5.0,1.0,,0.0,,,23.0,11.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,Independiente Santa Fe,away,,,
Omar Albornoz,,,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400.0,"{'value': 515000, 'currency': 'EUR'}",80,True,10.0,8.0,,,0.0,,,19.0,13.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,2.0,1.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,Independiente Santa Fe,away,,,
Ángelo Rodríguez,,,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",9,True,,,,,0.0,,,13.0,2.0,7.2,,"{'original': 7.2, 'alternative': None}",,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,Independiente Santa Fe,away,,,
Andrés Mehring,,,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600.0,"{'value': 275000, 'currency': 'EUR'}",12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
Lucas Ríos,,,lucas-rios,L. Ríos,M,29,176.0,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200.0,"{'value': 620000, 'currency': 'EUR'}",29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
