name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,fouls,aerialWon,interceptionWon,penaltyConceded,wasFouled,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,keyPass,blockedScoringAttempt,totalOffside,captain,team,teamType,fieldTranslations,outfielderBlock,hitWoodwork,bigChanceCreated
Juan Pereira,,,juan-pereira,J. Pereira,M,21,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 470000, 'currency': 'EUR'}",182.0,21,False,46.0,40.0,3.0,1.0,0.0,6.0,,,,,90.0,62.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,,1.0,3.0,,,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,Millonarios,away,,,,
Stiven Vega,,,stiven-vega,S. Vega,M,28,126,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200.0,"{'value': 630000, 'currency': 'EUR'}",175.0,28,False,38.0,37.0,1.0,1.0,0.0,1.0,,,,,90.0,51.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,3.0,2.0,,1.0,,2.0,2.0,,1.0,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",1.0,,
Daniel Ruiz,Daniel Ruiz,,daniel-ruiz,D. Ruiz,M,18,1050,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200.0,"{'value': 1300000, 'currency': 'EUR'}",171.0,18,False,27.0,18.0,2.0,1.0,0.0,,,,,,85.0,54.0,7.1,20.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,2.0,7.0,7.0,1.0,5.0,3.0,3.0,,,1.0,,1.0,2.0,2.0,1.0,,3.0,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",,1.0,
Daniel Cataño,,,daniel-catano,D. Cataño,M,10,258,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400.0,"{'value': 415000, 'currency': 'EUR'}",174.0,10,False,45.0,34.0,4.0,3.0,1.0,,,,,,66.0,61.0,7.1,18.0,"{'original': 7.1, 'alternative': None}",,,1.0,5.0,5.0,1.0,,,2.0,,,,,3.0,3.0,,1.0,,1.0,1.0,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,
Jader Valencia,,,jader-valencia,J. Valencia,M,16,140,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000.0,"{'value': 420000, 'currency': 'EUR'}",188.0,16,False,19.0,16.0,,,0.0,3.0,,,,,85.0,36.0,7.8,8.0,"{'original': 7.8, 'alternative': None}",1.0,,2.0,5.0,6.0,1.0,2.0,1.0,,,2.0,,,3.0,1.0,1.0,1.0,1.0,2.0,,,,Millonarios,away,,,,
Radamel Falcao,,,radamel-falcao,R. Falcao,F,9,12730,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600.0,"{'value': 260000, 'currency': 'EUR'}",177.0,9,False,12.0,11.0,,,0.0,1.0,,,,,66.0,19.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,,2.0,1.0,,,,1.0,,,,,,2.0,,2.0,1.0,,,,True,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,
Daniel Mantilla,,,daniel-mantilla,D. Mantilla,M,11,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000.0,"{'value': 550000, 'currency': 'EUR'}",173.0,11,True,11.0,9.0,,,1.0,,,,,,24.0,15.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,1.0,3.0,2.0,,,,1.0,,1.0,,,,2.0,,,,1.0,,,,Millonarios,away,,,,1.0
Santiago Giordana,,,santiago-giordana,S. Giordana,F,32,250,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200.0,"{'value': 550000, 'currency': 'EUR'}",181.0,32,True,5.0,3.0,1.0,,0.0,,,,,,24.0,13.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,4.0,2.0,,1.0,,2.0,3.0,,,,,1.0,1.0,,,,,,,Millonarios,away,,1.0,,
Jhon Córdoba,,,jhon-cordoba,J. Córdoba,M,15,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 1200000, 'currency': 'EUR'}",181.0,15,True,,,,,0.0,,,,,,12.0,4.0,7.8,,"{'original': 7.8, 'alternative': None}",,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,Millonarios,away,,1.0,,
Felix Charrupí,,,felix-charrupi,F. Charrupí,M,7,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000.0,"{'value': 760000, 'currency': 'EUR'}",182.0,7,True,2.0,2.0,,,0.0,,,,,,12.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,Millonarios,away,,,,
Diego Novoa,,,diego-novoa,D. Novoa,G,12,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000.0,"{'value': 185000, 'currency': 'EUR'}",186.0,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,
Sergio Mosquera,,,sergio-mosquera,S. Mosquera,D,6,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000.0,"{'value': 405000, 'currency': 'EUR'}",185.0,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
Delvin Alfonzo,,,alfonzo-delvin,D. Alfonzo,D,22,316,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600.0,"{'value': 745000, 'currency': 'EUR'}",178.0,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
