name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,onTargetScoringAttempt,interceptionWon,totalCross,wonContest,dispossessed,goals,totalOffside,accurateCross,blockedScoringAttempt,captain,team,teamType,goodHighClaim
Juan Quiceno,juan-quiceno,J. Quiceno,M,3,,2,1845285,{},EUR,,,,Juan Quiceno,,5,False,17.0,16.0,2.0,1.0,0.0,2.0,,,45.0,36.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",1.0,,2.0,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,1.0,,Boyacá Chicó FC,away,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,,21,False,6.0,5.0,,,0.0,,,,45.0,13.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,,,,,,2.0,1.0,,,,1.0,,,,,,,,Boyacá Chicó FC,away,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,8.0,6.0,,,1.0,,,,90.0,12.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",4.0,,4.0,1.0,,,1.0,,,1.0,,2.0,,,,,,,3.0,,2.0,,Boyacá Chicó FC,away,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,,,14,True,26.0,22.0,4.0,2.0,0.0,1.0,,,45.0,35.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,4.0,,,,,,,,Boyacá Chicó FC,away,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,True,3.0,1.0,,,0.0,,,,12.0,5.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,Boyacá Chicó FC,away,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,,Sebastián Colón,,29,True,2.0,2.0,,,0.0,,,,45.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,Boyacá Chicó FC,away,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,11.0,10.0,,,0.0,,,,33.0,17.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,Boyacá Chicó FC,away,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",,Wilmar Arango,,20,True,6.0,6.0,,,0.0,,,,22.0,10.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,Boyacá Chicó FC,away,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,
