name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,wasFouled,aerialLost,aerialWon,interceptionWon,totalTackle,penaltyConceded,fouls,outfielderBlock,shotOffTarget,blockedScoringAttempt,keyPass,accurateCross,onTargetScoringAttempt,penaltyWon,challengeLost,goals,bigChanceCreated,bigChanceMissed,totalOffside,penaltyMiss,captain,team,teamType,savedShotsFromInsideTheBox,penaltySave,saves,punches
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,22.0,18.0,2.0,0.0,,70.0,33.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,4.0,2.0,4.0,,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Carlos Cantillo,carlos-cantillo,C. Cantillo,M,19,176.0,48,1174862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045785600,"{'value': 140000, 'currency': 'EUR'}",Carlos Cantillo,,,19,False,15.0,13.0,1.0,0.0,,62.0,22.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,2.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,Junior Barranquilla,away,,,,
Miller Bacca,miller-bacca,M. Bacca,F,22,,50,1461241,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1067126400,"{'value': 180000, 'currency': 'EUR'}",,,,22,False,5.0,5.0,,0.0,,62.0,15.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,1.0,7.0,1.0,1.0,,,,1.0,5.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,,Junior Barranquilla,away,,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",Jhomier Guerrero,,,34,True,6.0,5.0,1.0,0.0,,28.0,9.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,away,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,6.0,5.0,1.0,0.0,,28.0,8.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,True,3.0,1.0,,0.0,,28.0,3.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,12.0,10.0,3.0,0.0,,20.0,21.0,7.0,6.0,"{'original': 7, 'alternative': None}",2.0,3.0,1.0,3.0,1.0,,,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,away,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,3.0,1.0,,0.0,,13.0,7.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000,"{'value': 485000, 'currency': 'EUR'}",,,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,
