name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,fouls,aerialLost,wasFouled,challengeLost,totalContest,keyPass,accurateCross,wonContest,dispossessed,totalOffside,goals,hitWoodwork,captain,team,teamType,fieldTranslations,goodHighClaim,penaltyConceded
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400.0,"{'value': 370000, 'currency': 'EUR'}",,,5,False,46.0,45.0,5.0,5.0,0.0,6.0,,,90.0,57.0,7.2,2.0,"{'original': 7.2, 'alternative': None}",,6.0,3.0,8.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,Rionegro Águilas Doradas,away,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 620000, 'currency': 'EUR'}",,,16,False,50.0,45.0,10.0,8.0,0.0,2.0,,,90.0,58.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400.0,"{'value': 160000, 'currency': 'EUR'}",Nicolás Lara,,30,False,41.0,37.0,5.0,3.0,0.0,2.0,,,90.0,50.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,3.0,4.0,4.0,1.0,,,,3.0,1.0,,3.0,,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000.0,,,,32,False,25.0,20.0,4.0,2.0,0.0,4.0,,,81.0,44.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,,5.0,3.0,1.0,,,,,2.0,3.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,Rionegro Águilas Doradas,away,,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400.0,"{'value': 855000, 'currency': 'EUR'}",,,20,False,35.0,23.0,2.0,,0.0,,,,90.0,53.0,7.1,22.0,"{'original': 7.1, 'alternative': None}",9.0,,4.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,5.0,4.0,,1.0,,,,True,Rionegro Águilas Doradas,away,,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800.0,"{'value': 820000, 'currency': 'EUR'}",,,22,False,67.0,61.0,6.0,3.0,0.0,,,,81.0,77.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,,4.0,4.0,,,,,,2.0,3.0,,2.0,1.0,,1.0,,,,,,,,Rionegro Águilas Doradas,away,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000.0,"{'value': 49000, 'currency': 'EUR'}",,,27,False,36.0,32.0,4.0,3.0,0.0,,,,90.0,39.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,1.0,4.0,1.0,,,,,1.0,,4.0,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 545000, 'currency': 'EUR'}",,,11,False,35.0,30.0,2.0,1.0,0.0,1.0,,,90.0,55.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",2.0,4.0,3.0,9.0,4.0,,,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,3.0,,1.0,1.0,,,,,Rionegro Águilas Doradas,away,,,1.0
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600.0,"{'value': 53000, 'currency': 'EUR'}",,,19,False,14.0,14.0,1.0,1.0,0.0,,,,72.0,21.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,1.0,3.0,4.0,2.0,,1.0,,,,,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,Rionegro Águilas Doradas,away,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400.0,"{'value': 340000, 'currency': 'EUR'}",,,23,True,15.0,12.0,2.0,2.0,0.0,,,,23.0,23.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",5.0,,,,,,1.0,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Royner Benitez,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000.0,"{'value': 53000, 'currency': 'EUR'}",Royner Benitez,,90,True,5.0,2.0,,,0.0,,,,18.0,6.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400.0,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,6,True,8.0,7.0,1.0,1.0,0.0,,,,9.0,16.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",2.0,,3.0,1.0,,,,,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,Rionegro Águilas Doradas,away,,,
Carlos Rojas,carlos-rojas,C. Rojas,F,25,173.0,4,870003,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896313600.0,"{'value': 27000, 'currency': 'EUR'}",,,25,True,7.0,7.0,2.0,2.0,0.0,,,,9.0,7.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,,,,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000.0,"{'value': 52000, 'currency': 'EUR'}",,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Juan Ávalo,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000.0,,Juan Ávalo,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
Ismael López,ismael-lopez,I. López,,18,,1,2126534,{},EUR,,,Ismael López,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,
