name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,interceptionWon,totalOffside,keyPass,aerialLost,aerialWon,duelLost,duelWon,totalTackle,wasFouled,fouls,shotOffTarget,onTargetScoringAttempt,dispossessed,totalContest,blockedScoringAttempt,accurateCross,wonContest,goals,bigChanceCreated,captain,team,teamType,challengeLost,errorLeadToAGoal,outfielderBlock,hitWoodwork,clearanceOffLine
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,39.0,34.0,12.0,7.0,0.0,1.0,,,90.0,51.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,2.0,,,,,1.0,2.0,2.0,,,1.0,,1.0,,,,,,,True,Alianza Valledupar FC,away,,,3.0,,
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400,"{'value': 245000, 'currency': 'EUR'}",,Kalazan Suárez,,22,False,13.0,10.0,2.0,2.0,0.0,1.0,,,64.0,21.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",2.0,1.0,,,,,2.0,2.0,1.0,1.0,3.0,,,,,,1.0,,,,,Alianza Valledupar FC,away,,,,,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",,Luis Pérez,,19,False,36.0,29.0,7.0,5.0,0.0,1.0,,,90.0,49.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,4.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,Alianza Valledupar FC,away,,,,,
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",,Diego Mendoza,,23,False,26.0,21.0,4.0,3.0,0.0,1.0,,,90.0,35.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,,,2.0,,,,3.0,1.0,2.0,,,1.0,,,,1.0,,,,,Alianza Valledupar FC,away,,,,,
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,8.0,7.0,,,0.0,,,,45.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,Alianza Valledupar FC,away,,,,,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,20.0,14.0,3.0,2.0,0.0,,,,65.0,31.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,,,,,1.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,,Alianza Valledupar FC,away,1.0,,,,
Jesús Muñoz,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000,"{'value': 375000, 'currency': 'EUR'}",,Jesús Muñoz,,24,False,14.0,10.0,1.0,,0.0,,,,78.0,24.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,2.0,4.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,Alianza Valledupar FC,away,,,,,
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200,"{'value': 210000, 'currency': 'EUR'}",,,,17,False,8.0,5.0,2.0,1.0,0.0,,,,65.0,13.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,1.0,,2.0,,6.0,2.0,1.0,1.0,2.0,,,1.0,,,,,,,,Alianza Valledupar FC,away,1.0,,,,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800,"{'value': 360000, 'currency': 'EUR'}",,,,7,True,15.0,10.0,3.0,1.0,0.0,,,,45.0,26.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,Alianza Valledupar FC,away,,,,,
Kevin Moreno,kevin-moreno,K. Moreno,D,3,187.0,13,940994,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,964310400,"{'value': 260000, 'currency': 'EUR'}",,,,3,True,10.0,7.0,2.0,,0.0,,,,26.0,14.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",1.0,,,,,3.0,,3.0,,,,2.0,,,,,,,,,,Alianza Valledupar FC,away,,,1.0,1.0,1.0
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800,,,,,11,True,3.0,3.0,,,0.0,,,,25.0,9.0,6.1,5.0,"{'original': 6.1, 'alternative': None}",1.0,,,1.0,1.0,,6.0,,,,2.0,,,2.0,1.0,,1.0,,,,,Alianza Valledupar FC,away,,,,,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200,"{'value': 160000, 'currency': 'EUR'}",,Cristian Vergara,,15,True,5.0,4.0,,,0.0,,,,25.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,1.0,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,
Johan Parra,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800,,,,,25,True,4.0,3.0,,,0.0,,,,12.0,5.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800,"{'value': 430000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",Mayer Gil,,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,
