name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,possessionLostCtrl,keyPass,aerialWon,onTargetScoringAttempt,goals,totalContest,wonContest,blockedScoringAttempt,dispossessed,outfielderBlock,shotOffTarget,accurateCross,bigChanceMissed,hitWoodwork,captain,team,teamType,errorLeadToAShot,totalKeeperSweeper,accurateKeeperSweeper,clearanceOffLine,bigChanceCreated
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200,"{'value': 265000, 'currency': 'EUR'}",,,,21,False,14.0,11.0,1.0,,0.0,,,,50.0,19.0,5.4,"{'original': 5.4, 'alternative': None}",,,2.0,1.0,,,,,,1.0,,5.0,,1.0,,,,,,1.0,,,,,,,Deportivo Pasto,away,,,,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,,22,False,28.0,20.0,6.0,3.0,0.0,,,,90.0,55.0,6.9,"{'original': 6.9, 'alternative': None}",10.0,,3.0,1.0,1.0,3.0,1.0,,1.0,2.0,,20.0,4.0,,,,,,1.0,,,,4.0,,,True,Deportivo Pasto,away,,,,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,,77,False,7.0,3.0,,,0.0,,,,80.0,20.0,7.2,"{'original': 7.2, 'alternative': None}",,,3.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,,8.0,,,1.0,1.0,,,,,,1.0,,,,,Deportivo Pasto,away,,,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,,8,False,28.0,23.0,2.0,1.0,0.0,,,,67.0,42.0,7.2,"{'original': 7.2, 'alternative': None}",,,2.0,7.0,,,3.0,3.0,3.0,1.0,,7.0,1.0,,,,2.0,1.0,,,,,,,,,Deportivo Pasto,away,,,,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,,17,False,21.0,18.0,3.0,1.0,0.0,,,,67.0,26.0,6.5,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,1.0,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,,70,False,13.0,11.0,,,0.0,,,,56.0,23.0,6.6,"{'original': 6.6, 'alternative': None}",,,4.0,5.0,,,,,2.0,,,6.0,,1.0,1.0,,5.0,2.0,,1.0,,,,,,,Deportivo Pasto,away,,,,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,,10,False,19.0,13.0,1.0,1.0,1.0,,,,56.0,32.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,4.0,4.0,,,1.0,2.0,2.0,1.0,1.0,11.0,1.0,,,,1.0,,,1.0,,,1.0,,,,Deportivo Pasto,away,,,,,1.0
Felipe Ordonez,ordonez-felipe,F. Ordonez,M,18,168.0,28,1158789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1075680000,"{'value': 48000, 'currency': 'EUR'}",,,,18,True,5.0,3.0,1.0,1.0,0.0,,,,34.0,12.0,6.9,"{'original': 6.9, 'alternative': None}",,1.0,1.0,3.0,,,1.0,1.0,2.0,,,2.0,,,1.0,,,,,,1.0,,,,,,Deportivo Pasto,away,,,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,,9,True,8.0,5.0,,,0.0,,,,34.0,12.0,6.6,"{'original': 6.6, 'alternative': None}",,2.0,2.0,2.0,,,,1.0,,,,5.0,,1.0,,,,,,,,1.0,,,,,Deportivo Pasto,away,,,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,,13,True,12.0,12.0,1.0,1.0,0.0,,,,23.0,17.0,6.3,"{'original': 6.3, 'alternative': None}",1.0,1.0,4.0,1.0,1.0,,,1.0,,,,3.0,,,,,1.0,,1.0,1.0,,,,,,,Deportivo Pasto,away,,,,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",,Johan Caicedo,,6,True,11.0,10.0,,,0.0,,,,23.0,21.0,7.0,"{'original': 7, 'alternative': None}",,1.0,1.0,4.0,,3.0,,2.0,1.0,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,Deportivo Pasto,away,,,,,
Johan Campaña,johan-campana,J. Campaña,F,29,170.0,28,980934,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1031529600,"{'value': 94000, 'currency': 'EUR'}",,,,29,True,3.0,3.0,,,0.0,,,,10.0,5.0,6.6,"{'original': 6.6, 'alternative': None}",,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,,
Fabian Villa,fabian-villa,F. Villa,F,38,,5,1808388,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600,,,Fabian Villa,,38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,,
