name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,bigChanceCreated,totalClearance,totalTackle,keyPass,fouls,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,goals,challengeLost,shotOffTarget,outfielderBlock,totalOffside,dispossessed,totalContest,wasFouled,penaltyConceded,wonContest,interceptionWon,bigChanceMissed,captain,team,teamType,fieldTranslations,penaltyWon
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}",,,8,False,28.0,27.0,,,0.0,,,45.0,31.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,6,False,56.0,48.0,7.0,5.0,0.0,,,90.0,71.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,4.0,5.0,,8.0,2.0,,2.0,3.0,,,,2.0,,,,,,,,,1.0,,,Junior Barranquilla,away,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,99,False,26.0,21.0,4.0,1.0,0.0,,,69.0,35.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,1.0,6.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,2.0,2.0,,,,1.0,,,Junior Barranquilla,away,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,,10,False,23.0,20.0,2.0,2.0,0.0,,,45.0,30.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,,Junior Barranquilla,away,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,20,False,25.0,23.0,2.0,2.0,1.0,,,80.0,38.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,,5.0,5.0,,,1.0,2.0,3.0,2.0,,1.0,,,1.0,,,2.0,2.0,1.0,,1.0,,,,Junior Barranquilla,away,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,,29,False,22.0,18.0,,,0.0,,,45.0,28.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,True,Junior Barranquilla,away,,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200,"{'value': 495000, 'currency': 'EUR'}",José Cuenú,,4,True,20.0,18.0,2.0,1.0,0.0,,,45.0,23.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,2.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,80,True,32.0,30.0,5.0,4.0,0.0,,,45.0,37.0,7.7,2.0,"{'original': 7.7, 'alternative': None}",,,,,4.0,,,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,Junior Barranquilla,away,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,23,True,12.0,11.0,1.0,1.0,0.0,,,45.0,20.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,6.0,2.0,,,,,1.0,,,1.0,,,1.0,,,3.0,2.0,1.0,,1.0,,,,Junior Barranquilla,away,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,9,True,12.0,11.0,,,0.0,,,21.0,19.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",1.0,,1.0,3.0,1.0,,,,1.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,Junior Barranquilla,away,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}",,,70,True,2.0,1.0,1.0,,0.0,,,10.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Carlos Cantillo,carlos-cantillo,C. Cantillo,M,19,176.0,48,1174862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045785600,"{'value': 140000, 'currency': 'EUR'}",Carlos Cantillo,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
