name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,totalContest,wonContest,outfielderBlock,totalTackle,fouls,keyPass,interceptionWon,penaltyConceded,aerialLost,aerialWon,challengeLost,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,captain,team,teamType,errorLeadToAGoal,penaltyWon
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,33.0,27.0,5.0,2.0,0.0,5.0,8.0,,,,,90.0,46.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,1.0,2.0,,,,,2.0,3.0,,,,,,,,,,,Millonarios,away,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,43.0,33.0,8.0,4.0,0.0,4.0,6.0,1.0,,,,90.0,65.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,3.0,1.0,,,2.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,Millonarios,away,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,29.0,25.0,2.0,2.0,0.0,3.0,5.0,1.0,,,,67.0,44.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",1.0,,3.0,,,,,,,2.0,,3.0,2.0,,,2.0,,,,,,1.0,,Millonarios,away,,1.0
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,False,17.0,13.0,2.0,1.0,0.0,2.0,,2.0,,,,80.0,28.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,2.0,,,,,1.0,,,,,1.0,2.0,,,,,1.0,,,,Millonarios,away,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,False,29.0,27.0,,,0.0,1.0,1.0,,,,,63.0,39.0,6.0,4.0,"{'original': 6, 'alternative': None}",2.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,Millonarios,away,,
Felix Charrupí,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000,"{'value': 760000, 'currency': 'EUR'}",,,,7,False,11.0,9.0,1.0,,0.0,3.0,,1.0,,,,45.0,18.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",1.0,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,Millonarios,away,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,29.0,24.0,1.0,,0.0,2.0,1.0,2.0,,,,80.0,43.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",6.0,3.0,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,Millonarios,away,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,15.0,7.0,2.0,1.0,0.0,5.0,,2.0,,,,57.0,28.0,8.1,12.0,"{'original': 8.1, 'alternative': None}",,,5.0,2.0,,,,2.0,1.0,,,1.0,3.0,,1.0,2.0,2.0,,,,,,,Millonarios,away,,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,3.0,2.0,,,0.0,,,,,,,22.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,Millonarios,away,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,18.0,14.0,1.0,,1.0,1.0,,1.0,,,,23.0,19.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,Millonarios,away,,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,True,12.0,11.0,1.0,1.0,0.0,,,,,,,23.0,15.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,,,,1.0,,,,,,,,,,,,,,,Millonarios,away,,
Sebastián Mosquera,sebastian-mosquera,S. Mosquera,M,35,,10,2078760,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1165190400,,,Sebastián Mosquera,,35,True,1.0,1.0,,,0.0,,,,,,,10.0,2.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,1.0,,,,,,,,Millonarios,away,,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,True,6.0,3.0,1.0,,0.0,,1.0,,,,,10.0,7.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,Millonarios,away,,
Diego Novoa,diego-novoa,D. Novoa,G,12,186.0,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
