name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,keyPass,challengeLost,shotOffTarget,wasFouled,fouls,hitWoodwork,onTargetScoringAttempt,accurateCross,outfielderBlock,dispossessed,captain,team,teamType,goodHighClaim,goals,totalOffside,blockedScoringAttempt
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",Jhostin Medranda,,,24,False,38.0,28.0,9.0,2.0,0.0,,,90.0,58.0,7.9,10.0,"{'original': 7.9, 'alternative': None}",,1.0,4.0,2.0,5.0,,,11.0,5.0,,,,,1.0,1.0,,1.0,,,,,Deportivo Pereira,away,,1.0,,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,33.0,26.0,6.0,3.0,0.0,,,90.0,53.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",,1.0,1.0,2.0,2.0,1.0,,4.0,1.0,1.0,1.0,,,,,,,,,,,Deportivo Pereira,away,,,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,30.0,23.0,3.0,1.0,0.0,,,90.0,38.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,Deportivo Pereira,away,,,,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,41.0,31.0,7.0,5.0,0.0,,,90.0,48.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,1.0,,5.0,2.0,,,3.0,1.0,1.0,,,,1.0,4.0,,,,,,True,Deportivo Pereira,away,,,,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",Yuber Quiñones,,,13,False,23.0,19.0,1.0,1.0,0.0,,,63.0,34.0,6.2,10.0,"{'original': 6.2, 'alternative': None}",,1.0,,5.0,1.0,1.0,,,,,,,,1.0,,,,,,3.0,,Deportivo Pereira,away,,,,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,False,30.0,28.0,1.0,1.0,0.0,,,63.0,34.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,Deportivo Pereira,away,,,,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,25.0,19.0,2.0,1.0,0.0,,,89.0,32.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,2.0,2.0,6.0,4.0,2.0,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,Deportivo Pereira,away,,,,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",99,False,10.0,4.0,,,0.0,,,45.0,13.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,2.0,2.0,3.0,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,Deportivo Pereira,away,,,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",Gianfranco Peña,,,9,True,6.0,6.0,,,0.0,,,45.0,14.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,4.0,,6.0,4.0,2.0,1.0,1.0,,,1.0,,1.0,3.0,2.0,,,,,,,Deportivo Pereira,away,,,1.0,
Adrián Estacio,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,,,97,True,8.0,4.0,2.0,,0.0,,,27.0,17.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",3.0,,,3.0,1.0,2.0,,,,,3.0,,1.0,1.0,1.0,,,2.0,,,,Deportivo Pereira,away,,,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",Felipe Mosquera,,,77,True,7.0,5.0,2.0,,0.0,,,27.0,13.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,3.0,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,Deportivo Pereira,away,,,,1.0
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",Eber Moreno,,,16,True,3.0,2.0,1.0,1.0,0.0,,,1.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,Franklin Mosquera,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",Santiago Aguilar,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",Jhon Largacha,,,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,
