name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,aerialLost,interceptionWon,dispossessed,totalContest,shotOffTarget,wonContest,totalOffside,onTargetScoringAttempt,goals,captain,team,teamType,goodHighClaim,clearanceOffLine
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",Bleiner Agrón,,,31,False,37.0,29.0,8.0,3.0,0.0,,,3.0,,,90.0,45.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,5.0,1.0,2.0,,1.0,,,,,,,2.0,,2.0,,,,,Deportivo La Equidad,away,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,22.0,18.0,4.0,4.0,0.0,2.0,,1.0,,,90.0,38.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",3.0,2.0,,,,3.0,2.0,,,,,2.0,,,1.0,,,,,True,Deportivo La Equidad,away,,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",Yair Joao,Abonia Vásquez,,13,False,18.0,15.0,1.0,1.0,0.0,4.0,1.0,1.0,,,69.0,38.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,3.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,Deportivo La Equidad,away,,
Deivid Castro,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Deivid Castro,,,15,False,33.0,22.0,9.0,4.0,0.0,5.0,1.0,4.0,,,89.0,42.0,6.1,15.0,"{'original': 6.1, 'alternative': None}",,,,,,3.0,,,,,1.0,1.0,,,,,,,,,Deportivo La Equidad,away,,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,43.0,35.0,8.0,5.0,0.0,3.0,2.0,1.0,,,90.0,53.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,5.0,2.0,1.0,,1.0,2.0,,,,2.0,1.0,,1.0,,,,,,Deportivo La Equidad,away,,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,Fabian Chaverra,,,28,False,15.0,9.0,1.0,1.0,0.0,7.0,,,,,90.0,39.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",1.0,,10.0,1.0,3.0,3.0,1.0,,2.0,,1.0,,1.0,8.0,1.0,6.0,1.0,1.0,,,Deportivo La Equidad,away,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,19.0,16.0,,,0.0,5.0,,,,,69.0,30.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,Deportivo La Equidad,away,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,13.0,9.0,4.0,1.0,0.0,1.0,,,,,69.0,20.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,3.0,,2.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,Deportivo La Equidad,away,,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800.0,"{'value': 260000, 'currency': 'EUR'}",,,,36,True,12.0,10.0,1.0,,0.0,,,,,,21.0,16.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,Deportivo La Equidad,away,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,4.0,4.0,,,0.0,1.0,,,,,21.0,7.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,Deportivo La Equidad,away,,
Ronaldo Julio,ronaldo-julio,R. Julio,,32,,3,2123056,{},EUR,,,Ronaldo Julio,,,32,True,6.0,6.0,,,0.0,1.0,,,,,21.0,16.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",3.0,,2.0,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,Deportivo La Equidad,away,,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",9,True,1.0,,,,0.0,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,
Brandon Quiñonez,brandon-quinonez,B. Quiñonez,M,19,,18,1868370,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1121299200.0,,Brandon Quiñonez,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,
