name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,duelWon,challengeLost,totalContest,wonContest,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,shotOffTarget,hitWoodwork,totalClearance,interceptionWon,fouls,keyPass,aerialWon,totalTackle,outfielderBlock,aerialLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,goals,penaltyWon,captain,team,teamType,fieldTranslations,penaltyConceded,totalOffside
Jefferson Mena,,,jefferson-mena,J. Mena,D,2,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",183.0,2,False,29.0,23.0,6.0,4.0,0.0,5.0,7.0,,1.0,,,,,90.0,48.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,,,12.0,1.0,3.0,,4.0,3.0,1.0,1.0,,,,,,True,Atlético Bucaramanga,away,,,
Alejandro Artunduaga,,,alejandro-artunduaga,A. Artunduaga,D,16,36,841959,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,873763200.0,"{'value': 195000, 'currency': 'EUR'}",174.0,16,False,19.0,13.0,5.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,,,67.0,29.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. أرتوندواجا', 'hi': 'ए. आर्टुंडुआगा', 'bn': 'এ. আর্তুনডুয়াগা'}}",,
Andrés Andrade,,,andres-andrade,A. Andrade,M,17,161,248065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,604195200.0,"{'value': 145000, 'currency': 'EUR'}",177.0,17,False,23.0,18.0,1.0,1.0,0.0,3.0,2.0,,1.0,,,,,76.0,37.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",6.0,,,,1.0,,,2.0,,2.0,,1.0,1.0,1.0,,,,,Atlético Bucaramanga,away,,,
Diego Chávez,Diego Chavez,,diego-chavez,D. Chávez,M,15,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",180.0,15,False,38.0,35.0,5.0,2.0,0.0,4.0,2.0,,1.0,,1.0,,,67.0,48.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,,,,,2.0,3.0,,1.0,,,1.0,2.0,,,,,Atlético Bucaramanga,away,,,
Edwin Castro,,,edwin-castro,E. Castro,M,22,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",183.0,22,False,42.0,30.0,9.0,5.0,0.0,3.0,7.0,,,,2.0,,,90.0,55.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",,,2.0,,1.0,1.0,1.0,,1.0,4.0,,,2.0,,,,,,Atlético Bucaramanga,away,,,
Jhon Vásquez,,,jhon-vasquez,Jhon Vásquez,F,11,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",176.0,11,False,29.0,23.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,,5.0,,,90.0,51.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,1.0,,,1.0,,,,,1.0,2.0,1.0,,1.0,,,,Atlético Bucaramanga,away,,,1.0
Sherman Cárdenas,,,sherman-cardenas,S. Cárdenas,M,30,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200.0,"{'value': 49000, 'currency': 'EUR'}",168.0,30,False,42.0,39.0,4.0,3.0,0.0,2.0,4.0,,,,3.0,,,66.0,48.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,Atlético Bucaramanga,away,,,
Adalberto Peñaranda,,,adalberto-penaranda,A. Peñaranda,F,97,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800.0,"{'value': 210000, 'currency': 'EUR'}",183.0,97,False,18.0,13.0,,,0.0,4.0,4.0,,,,3.0,,,67.0,31.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",,
Kevin Londoño,,,kevin-londono,K. Londoño,F,7,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",180.0,7,True,8.0,5.0,1.0,,0.0,3.0,1.0,,1.0,,1.0,,,24.0,14.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",3.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,Atlético Bucaramanga,away,,,
José García,José Daniel García,,jose-daniel-garcia,J. García,D,4,27,1175766,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,188.0,4,True,7.0,5.0,2.0,,0.0,2.0,1.0,,1.0,1.0,,,,23.0,16.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,,,3.0,,2.0,,,,1.0,,,,,,,,Atlético Bucaramanga,away,,,
Aldair Zárate,Aldair Zárate,,zarate-aldair,A. Zárate,M,20,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600.0,"{'value': 465000, 'currency': 'EUR'}",177.0,20,True,11.0,9.0,2.0,1.0,0.0,4.0,,3.0,,,,,,23.0,12.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,,,,1.0,,,,1.0,,,,,,,Atlético Bucaramanga,away,,,
Luciano Pons,,,luciano-pons,L. Pons,F,27,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800.0,"{'value': 315000, 'currency': 'EUR'}",180.0,27,True,6.0,4.0,3.0,3.0,0.0,2.0,,1.0,,,,,,23.0,9.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,1.0,1.0,,1.0,,,Atlético Bucaramanga,away,,,
Juan Mosquera,Juan Camilo Mosquera,,juan-camilo-mosquera,J. Mosquera,D,14,54,1174008,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 215000, 'currency': 'EUR'}",187.0,14,True,2.0,2.0,1.0,1.0,0.0,,,,,,,,,14.0,3.0,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Luis Vásquez,,,luis-vasquez,L. Vásquez,G,12,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",187.0,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Carlos Romaña,,,carlos-romana,C. Romaña,D,23,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000.0,"{'value': 475000, 'currency': 'EUR'}",187.0,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
