name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,totalContest,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelWon,challengeLost,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,aerialWon,accurateCross,wonContest,clearanceOffLine,dispossessed,onTargetScoringAttempt,goals,keyPass,bigChanceMissed,shotOffTarget,hitWoodwork,captain,team,teamType,fieldTranslations,bigChanceCreated,blockedScoringAttempt,totalOffside
Jerson Malagón,,,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800.0,"{'value': 380000, 'currency': 'EUR'}",3,False,34.0,25.0,5.0,1.0,0.0,,,,,,90.0,40.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,4.0,,,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,Once Caldas,away,,,,
Juan Patiño,,,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600.0,"{'value': 605000, 'currency': 'EUR'}",33,False,24.0,19.0,3.0,,1.0,6.0,1.0,,,,90.0,44.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",3.0,,3.0,2.0,3.0,,1.0,,1.0,3.0,2.0,1.0,,,,,,1.0,,1.0,,,Once Caldas,away,,1.0,1.0,
Iván Rojas,,,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 670000, 'currency': 'EUR'}",5,False,19.0,18.0,,,0.0,2.0,,,,,63.0,22.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,Once Caldas,away,,,,
Jefry Zapata,Jefry Zapata,,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000.0,"{'value': 570000, 'currency': 'EUR'}",14,False,15.0,13.0,1.0,1.0,0.0,8.0,2.0,,,,52.0,26.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",2.0,2.0,3.0,1.0,,,,,1.0,2.0,1.0,,1.0,,2.0,,,1.0,,1.0,,,Once Caldas,away,,,,
Mateo García,,,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400.0,"{'value': 955000, 'currency': 'EUR'}",19,False,33.0,29.0,3.0,3.0,0.0,5.0,2.0,,,,84.0,42.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,5.0,,,,1.0,2.0,3.0,2.0,,,,,,,,,,,,,Once Caldas,away,,,,
Michael Barrios,,,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000.0,"{'value': 570000, 'currency': 'EUR'}",7,False,26.0,19.0,1.0,,0.0,2.0,,,,,90.0,38.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",4.0,,3.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,Once Caldas,away,,,1.0,
Alejandro García,,,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400.0,"{'value': 835000, 'currency': 'EUR'}",20,False,38.0,31.0,5.0,4.0,0.0,2.0,,,,,83.0,54.0,8.1,12.0,"{'original': 8.1, 'alternative': None}",6.0,,5.0,,,,,3.0,2.0,1.0,,4.0,,,1.0,,,5.0,,1.0,,,Once Caldas,away,,2.0,,1.0
Dayro Moreno,,,dayro-moreno,D. Moreno,F,17,178.0,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800.0,"{'value': 95000, 'currency': 'EUR'}",17,False,22.0,18.0,3.0,1.0,0.0,2.0,,,,,90.0,28.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,True,Once Caldas,away,,,,1.0
Mateo Zuleta,Mateo,Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000.0,"{'value': 405000, 'currency': 'EUR'}",28,True,14.0,11.0,,,0.0,1.0,2.0,,,,38.0,23.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,,4.0,,1.0,,,2.0,,1.0,,,2.0,,,,,,,,,,Once Caldas,away,,,,
Johan Esteban Beltran Montaño,,,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,,8,True,13.0,11.0,2.0,2.0,0.0,1.0,,,,,27.0,19.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,Once Caldas,away,,,1.0,
Juan García,,,juan-garcia,J. García,M,2,185.0,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400.0,"{'value': 155000, 'currency': 'EUR'}",2,True,1.0,,1.0,,0.0,1.0,,,,,11.0,3.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,Once Caldas,away,,,,
Gilbert Álvarez,,,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800.0,"{'value': 235000, 'currency': 'EUR'}",9,True,,,,,0.0,,,,,,10.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,,
Felipe Parra,,,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200.0,"{'value': 410000, 'currency': 'EUR'}",35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,
Juan Castaño,,,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800.0,"{'value': 235000, 'currency': 'EUR'}",15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,
Jaider Riquett,,,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600.0,"{'value': 215000, 'currency': 'EUR'}",18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,
