name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,totalContest,wonContest,totalTackle,fouls,keyPass,aerialLost,outfielderBlock,shotOffTarget,onTargetScoringAttempt,interceptionWon,challengeLost,hitWoodwork,goals,totalOffside,blockedScoringAttempt,bigChanceCreated,captain,team,teamType
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,,,7,False,52.0,46.0,6.0,3.0,0.0,,2.0,,,,,,,90.0,61.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",2.0,,2.0,,,,2.0,1.0,3.0,,,1.0,1.0,2.0,1.0,,,,,,,Alianza Valledupar FC,away
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",,Diego Mendoza,,23,False,47.0,41.0,5.0,1.0,0.0,,,1.0,,,,,,70.0,55.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",,,6.0,3.0,,,,2.0,2.0,,,,,2.0,1.0,,,,,,,Alianza Valledupar FC,away
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",Mayer Gil,,99,False,16.0,13.0,,,0.0,1.0,1.0,,,,,,,62.0,20.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,Alianza Valledupar FC,away
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,15.0,10.0,3.0,,0.0,1.0,1.0,1.0,,,,,,62.0,29.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,3.0,,1.0,,,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,Alianza Valledupar FC,away
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,,,17,False,18.0,15.0,4.0,3.0,0.0,,,1.0,,,,,,50.0,20.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,away
Misael Martínez,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000.0,"{'value': 405000, 'currency': 'EUR'}",,,,77,False,6.0,6.0,,,0.0,,5.0,,3.0,,,,,62.0,23.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,,4.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,Alianza Valledupar FC,away
José Muñoz,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,,,10,True,19.0,15.0,1.0,,0.0,,2.0,,2.0,,,,,40.0,33.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",4.0,,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,Alianza Valledupar FC,away
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,,,6,True,11.0,7.0,,,0.0,2.0,2.0,1.0,,,,,,28.0,15.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,Alianza Valledupar FC,away
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,,,11,True,12.0,7.0,2.0,,0.0,1.0,3.0,,1.0,,,,,28.0,22.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,4.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,,,,,,,,,,Alianza Valledupar FC,away
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",,Cristian Vergara,,15,True,4.0,4.0,,,0.0,2.0,3.0,,1.0,,,,,28.0,12.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,Alianza Valledupar FC,away
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",,Ruben Manjarres,,21,True,20.0,16.0,2.0,,0.0,,1.0,,,,,,,20.0,27.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,Alianza Valledupar FC,away
Antonio Simancas,antonio-simancas,A. Simancas,G,13,,10,1984197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Antonio Simancas,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away
