name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,fouls,totalOffside,shotOffTarget,outfielderBlock,totalContest,wonContest,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,wasFouled,accurateCross,hitWoodwork,onTargetScoringAttempt,goals,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",,Jhostin Medranda,,24,False,28.0,26.0,4.0,2.0,0.0,,,90.0,36.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,,,2.0,,2.0,1.0,2.0,,,1.0,2.0,,,,,,,,,1.0,,,,Deportivo Pereira,away,,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,38.0,34.0,7.0,3.0,0.0,,,90.0,60.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,1.0,2.0,4.0,1.0,2.0,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,Deportivo Pereira,away,,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,66.0,58.0,11.0,6.0,0.0,,,90.0,74.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,,4.0,7.0,1.0,,,4.0,2.0,,,,2.0,2.0,,1.0,,,1.0,,,,,True,Deportivo Pereira,away,,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,44.0,38.0,1.0,1.0,0.0,,,85.0,51.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,,1.0,5.0,,,1.0,2.0,1.0,,,,,,,,,,3.0,,,1.0,,,Deportivo Pereira,away,,
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",,Eduar Arízalas,,22,False,11.0,9.0,2.0,2.0,0.0,,,73.0,22.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,4.0,2.0,,1.0,,1.0,1.0,,,,2.0,1.0,2.0,1.0,,,,1.0,,,,,Deportivo Pereira,away,,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,False,51.0,45.0,5.0,2.0,0.0,,,86.0,63.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,,5.0,5.0,,,,2.0,3.0,,,,,,,1.0,,,3.0,,,,,,Deportivo Pereira,away,,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,23.0,20.0,,,0.0,,,90.0,47.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",4.0,1.0,1.0,6.0,9.0,,,,2.0,,,2.0,,8.0,3.0,1.0,,,1.0,3.0,1.0,,,,,Deportivo Pereira,away,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,False,8.0,6.0,,,0.0,,,74.0,17.0,7.0,5.0,"{'original': 7, 'alternative': None}",,2.0,1.0,3.0,4.0,,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,,,1.0,,,Deportivo Pereira,away,,
Javier Andres Mena,mena-javier-andres,J. A. Mena,D,17,175.0,39,1478896,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127001600.0,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,2.0,,,,0.0,,,17.0,6.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,,99,True,4.0,2.0,,,0.0,,,16.0,6.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,1.0,,,Deportivo Pereira,away,,
Alejandro Álvarez,alejandro-alvarez,A. Álvarez,F,30,175.0,10,1643442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083542400.0,,,Alejandro Álvarez,,30,True,1.0,1.0,,,0.0,,,11.0,2.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,
Nicolas Rengifo,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,,Nicolas Rengifo,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,
