name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,interceptionWon,totalTackle,fouls,dispossessed,outfielderBlock,onTargetScoringAttempt,goals,shotOffTarget,blockedScoringAttempt,accurateCross,keyPass,challengeLost,totalOffside,penaltyConceded,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon
Juan Ojeda,,,juan-ojeda,J. Ojeda,D,30,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000,"{'value': 110000, 'currency': 'EUR'}",188.0,30,False,20.0,13.0,6.0,2.0,0.0,3.0,,,7.0,1.0,,,90.0,34.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,2.0,1.0,2.0,,1.0,,,2.0,1.0,,,,,,,,,,Boyacá Chicó FC,away,,,,1.0
Jonathan Herrera,,,jonathan-herrera,J. Herrera,D,18,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",177.0,18,False,20.0,12.0,5.0,,0.0,2.0,1.0,,1.0,,,,90.0,43.0,6.4,20.0,"{'original': 6.4, 'alternative': None}",1.0,3.0,2.0,6.0,3.0,,1.0,,,,,,,,1.0,1.0,,,,Boyacá Chicó FC,away,,,,
Estefáno Arango,,,estefano-arango,E. Arango,M,24,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200,"{'value': 195000, 'currency': 'EUR'}",170.0,7,False,11.0,10.0,1.0,1.0,0.0,2.0,,,,,,,61.0,21.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,3.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,1.0,,,,Boyacá Chicó FC,away,,,,
Delio Ramírez,,,delio-ramirez,D. Ramírez,M,10,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",160.0,10,False,17.0,12.0,2.0,,0.0,6.0,2.0,1.0,,3.0,,,61.0,31.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,,,6.0,2.0,2.0,4.0,,,,,,1.0,,,2.0,,,,Boyacá Chicó FC,away,,,,
Frank Lozano,,,frank-lozano,F. Lozano,M,19,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",175.0,19,False,23.0,17.0,2.0,,0.0,2.0,1.0,1.0,2.0,,,,90.0,32.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,2.0,,,,1.0,,,,,,,1.0,1.0,,,True,Boyacá Chicó FC,away,,,,
Kevin Londoño,Kevin Londoño,,kevin-londono,K. Londoño,M,27,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",180.0,27,False,27.0,19.0,5.0,2.0,0.0,1.0,,,,1.0,,,83.0,35.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,2.0,2.0,,1.0,,,,,1.0,,,2.0,1.0,,,,Boyacá Chicó FC,away,,,,
Eduardo Banguero,,,eduardo-banguero,E. Banguero,D,22,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800,"{'value': 410000, 'currency': 'EUR'}",177.0,14,False,9.0,6.0,1.0,1.0,0.0,1.0,2.0,,,,,,61.0,20.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,,3.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,Boyacá Chicó FC,away,,,,
Jairo Molina,,,jairo-molina,J. Molina,F,9,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",183.0,9,False,12.0,5.0,,,0.0,7.0,1.0,,2.0,3.0,,,90.0,28.0,7.0,14.0,"{'original': 7, 'alternative': None}",,7.0,4.0,11.0,,,,1.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,,,Boyacá Chicó FC,away,,,,
Wilmar Arango,Wilmar Arango,,wilmar-arango,W. Arango,M,20,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000,"{'value': 185000, 'currency': 'EUR'}",170.0,20,True,6.0,5.0,,,0.0,4.0,3.0,2.0,1.0,1.0,,,29.0,14.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",1.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,2.0,,,,,Boyacá Chicó FC,away,,,,
Ronald Valencia,Ronald Valencia,,ronald-valencia,R. Valencia,F,77,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600,"{'value': 135000, 'currency': 'EUR'}",180.0,24,True,1.0,1.0,,,0.0,3.0,,,1.0,3.0,,,29.0,10.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",2.0,,,,,,,,,,,1.0,,1.0,,,,,,Boyacá Chicó FC,away,,,,
Jacobo Pimentel,,,jacobo-pimentel,J. Pimentel,F,21,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000,"{'value': 140000, 'currency': 'EUR'}",176.0,21,True,4.0,1.0,1.0,,0.0,,1.0,,,,,,29.0,6.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,1.0,,5.0,,,2.0,,,,,,,,,1.0,,,,Boyacá Chicó FC,away,,,,
Edgard Camargo,Edgard Camargo,,edgard-camargo,E. Camargo,M,28,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400,"{'value': 140000, 'currency': 'EUR'}",181.0,28,True,,,,,0.0,,,,,,,,20.0,,6.2,,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,
Sebastián Colón,Sebastián Colón,,sebastian-colon,S. Colón,F,29,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,177.0,29,True,1.0,,,,0.0,1.0,,,,1.0,,,17.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,1.0,,,,,1.0,,,,,,,,Boyacá Chicó FC,away,,,,
Darío Denis,,,dario-denis,D. Denis,G,23,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",186.0,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,
Arlen Banguero,Arlen Banguero,,arlen-banguero,A. Banguero,D,26,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,
