name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalContest,shotOffTarget,blockedScoringAttempt,totalClearance,wasFouled,fouls,keyPass,totalTackle,aerialLost,aerialWon,challengeLost,interceptionWon,dispossessed,onTargetScoringAttempt,penaltyConceded,totalOffside,wonContest,outfielderBlock,captain,team,teamType,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,goals,bigChanceCreated
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,42.0,34.0,11.0,5.0,0.0,,,90.0,48.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,1.0,1.0,,,1.0,3.0,,,,,1.0,1.0,,,,,,,,1.0,,Junior Barranquilla,away,,,,,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",Daniel Rivera,,,5,False,29.0,24.0,4.0,1.0,0.0,,,90.0,45.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,2.0,,,,4.0,,,,1.0,1.0,1.0,,3.0,,,,,,2.0,,Junior Barranquilla,away,,,,,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400.0,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,24.0,20.0,3.0,2.0,0.0,,,90.0,37.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,4.0,2.0,1.0,1.0,,3.0,,2.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,Junior Barranquilla,away,,,,,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,26.0,21.0,4.0,2.0,0.0,,,71.0,37.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,3.0,4.0,2.0,1.0,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,Junior Barranquilla,away,,,,1.0,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,41.0,34.0,1.0,,0.0,,,90.0,52.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,4.0,9.0,,,,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,,,,,,,,Junior Barranquilla,away,,,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,9.0,8.0,,,0.0,,,64.0,21.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,1.0,2.0,4.0,,,,,2.0,,1.0,2.0,1.0,,,,1.0,,,,,,,Junior Barranquilla,away,,,,,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,,,10,False,36.0,32.0,6.0,3.0,0.0,,,64.0,45.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,Junior Barranquilla,away,,,,,1.0,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,14.0,11.0,2.0,2.0,0.0,,,43.0,19.0,5.9,6.0,"{'original': 5.9, 'alternative': None}",,,2.0,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,Junior Barranquilla,away,,,,,,1.0
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,False,13.0,10.0,,,0.0,,,71.0,16.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,3.0,1.0,,,,,1.0,,,,1.0,,,,2.0,,,,,,True,Junior Barranquilla,away,,,,,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,4.0,4.0,,,0.0,,,26.0,9.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,4.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,Junior Barranquilla,away,,,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,6.0,4.0,1.0,,0.0,,,26.0,11.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,3.0,,,,,3.0,2.0,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200.0,"{'value': 190000, 'currency': 'EUR'}",Yeferson Moreno,,,15,True,4.0,3.0,1.0,,0.0,,,15.0,8.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,Junior Barranquilla,away,,,,,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169.0,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400.0,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,2.0,1.0,,,0.0,,,19.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,,,9,True,2.0,2.0,,,0.0,,,11.0,8.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,2.0,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,,,,,
